"","tableSlug","name","slug","sourceName","sourceLink","dataPublishedBy","unit","shortUnit","tolerance","description"
"1","cons_only","Entity","Entity",NA,NA,NA,NA,NA,NA,"The name of the entity to which the row relates. Two types f entity are included in this dataset:

1) Countries, whose names have been standardized to a common set of country names used across Our World in Data 
2) Regional aggregates provided as standard within the PIP data according to World Bank region definitions."
"2","cons_only","Year","Year",NA,NA,NA,NA,NA,NA,"The following description is adapted from PIP Methodology Handbook: 

Within the PIP data, observations are alocated two different year variables: Year and Survey Year. 

If all fieldwork for a survey took place during one calendar year, and relate to the consumption or income of that year, Year and Survey year are both equal to this calendar year.

When household surveys span two calendar years, the Survey year noted in the PIP data is not an integer. The Gambia, for example, has a Survey year of 2015.31. This means that 69% of the fieldwork for this particular survey took place in 2015 while 31% of the fieldwork months took place in 2016. In these cases, Year is the floor of Survey year (i.e. Survey year always rounded down)."
"3","cons_only","Income or expenditure survey data?","welfare_type","World Bank Poverty and Inequality Platform","https://pip.worldbank.org/","World Bank Poverty and Inequality Platform (PIP)",NA,NA,NA,"Indicates whether the survey data relates to household income or consumption expenditure."
"4","cons_only","Survey year","survey_year","World Bank Poverty and Inequality Platform","https://pip.worldbank.org/","World Bank Poverty and Inequality Platform (PIP)",NA,NA,NA,"The following description is adapted from PIP Methodology Handbook:

Within the PIP data, observations are alocated two different year variables: Year and Survey Year. 

If all fieldwork for a survey took place during one calendar year, and relate to the consumption or income of that year, Year and Survey year are both equal to this calendar year. When household surveys span two calendar years, the Survey year noted in the PIP data is not an integer. The Gambia, for example, has a Survey year of 2015.31. This means that 69% of the fieldwork for this particular survey took place in 2015 while 31% of the fieldwork months took place in 2016. In these cases, Year is the floor of Survey year (i.e. Survey year always rounded down). 

This Survey year variable is used by the World Bank for the purposes of 'linining up' the different country-level estimates in order to calculate regional aggregates."
"5","cons_only","Survey comparable spell group","survey_comparability","World Bank Poverty and Inequality Platform","https://pip.worldbank.org/","World Bank Poverty and Inequality Platform (PIP)",NA,NA,NA,"A variable produced by the World Bank that codes more comparable spells of survey data over time within individual countries. A change in the spell group number indicates a break in survey comparability.

The following description is adapted from PIP Methodology Handbook:

As countries frequently improve the questionnaire design of household surveys and the methodology for the construction of welfare aggregates, poverty estimates over time for a country are not always comparable to each other.

In order to guide users about when poverty can be compared over time within a country, [the PIP database includes a 'Comparability over time' variable]. Within a country, comparability of poverty estimates over time is assumed unless there is a known change to the survey instrument, survey methodology, measurement, or data structure. The assessment of comparability is country-dependent and relies on the accumulation of knowledge from past and current World Bank staff, as well as close dialogue with national data producers with knowledge of survey design and methodology. The complete documentation of this dataset is available in Atamanov et al. (2019).

Atamanov, Aziz, R. Andres Castaneda Aguilar, Carolina Diaz-Bonilla, Dean Jolliffe, Christoph Lakner, Daniel Gerszon Mahler, Jose Montes, et al. 2019. “September 2019 PovcalNet Update: What’s New.” Global Poverty Monitoring Technical Note 10. https://openknowledge.worldbank.org/handle/10986/32478."
"6","cons_only","$1 a day - share of population below poverty line","headcount_ratio_100","World Bank Poverty and Inequality Platform","https://pip.worldbank.org/","World Bank Poverty and Inequality Platform (PIP)","%","%","5","% of population living in households with expenditure or income per person below $1 a day"
"7","cons_only","$1.90 a day - share of population below poverty line","headcount_ratio_190","World Bank Poverty and Inequality Platform","https://pip.worldbank.org/","World Bank Poverty and Inequality Platform (PIP)","%","%","5","% of population living in households with expenditure or income per person below $1.90 a day"
"8","cons_only","$3.20 a day - share of population below poverty line","headcount_ratio_320","World Bank Poverty and Inequality Platform","https://pip.worldbank.org/","World Bank Poverty and Inequality Platform (PIP)","%","%","5","% of population living in households with expenditure or income per person below $3.20 a day"
"9","cons_only","$5.50 a day - share of population below poverty line","headcount_ratio_550","World Bank Poverty and Inequality Platform","https://pip.worldbank.org/","World Bank Poverty and Inequality Platform (PIP)","%","%","5","% of population living in households with expenditure or income per person below $5.50 a day"
"10","cons_only","$10 a day - share of population below poverty line","headcount_ratio_1000","World Bank Poverty and Inequality Platform","https://pip.worldbank.org/","World Bank Poverty and Inequality Platform (PIP)","%","%","5","% of population living in households with expenditure or income per person below $10 a day"
