"Notes"	"Age of Infant at Death in days"	"Age of Infant at Death in days Code"	Deaths	Births	Death Rate
	"0 days"	"0"	7983	3613647	2.20913
	"1 day"	"1"	428	3613647	0.11844
	"2 days"	"2"	681	3613647	0.18845
	"3 days"	"3"	438	3613647	0.12121
	"4 days"	"4"	311	3613647	0.08606
	"5 days"	"5"	269	3613647	0.07444
	"6 days"	"6"	238	3613647	0.06586
	"7 days"	"7"	222	3613647	0.06143
	"8 days"	"8"	198	3613647	0.05479
	"9 days"	"9"	192	3613647	0.05313
	"10 days"	"10"	173	3613647	0.04787
	"11 days"	"11"	154	3613647	0.04262
	"12 days"	"12"	159	3613647	0.04400
	"13 days"	"13"	129	3613647	0.03570
	"14 days"	"14"	122	3613647	0.03376
	"15 days"	"15"	111	3613647	0.03072
	"16 days"	"16"	95	3613647	0.02629
	"17 days"	"17"	97	3613647	0.02684
	"18 days"	"18"	101	3613647	0.02795
	"19 days"	"19"	91	3613647	0.02518
	"20 days"	"20"	95	3613647	0.02629
	"21 days"	"21"	101	3613647	0.02795
	"22 days"	"22"	81	3613647	0.02242
	"23 days"	"23"	91	3613647	0.02518
	"24 days"	"24"	81	3613647	0.02242
	"25 days"	"25"	78	3613647	0.02158
	"26 days"	"26"	77	3613647	0.02131
	"27 days"	"27"	66	3613647	0.01826
	"28 days"	"28"	82	3613647	0.02269
	"29 days"	"29"	86	3613647	0.02380
	"30 days"	"30"	68	3613647	0.01882
	"31 days"	"31"	61	3613647	0.01688
	"32 days"	"32"	60	3613647	0.01660
	"33 days"	"33"	72	3613647	0.01992
	"34 days"	"34"	60	3613647	0.01660
	"35 days"	"35"	70	3613647	0.01937
	"36 days"	"36"	49	3613647	0.01356
	"37 days"	"37"	49	3613647	0.01356
	"38 days"	"38"	69	3613647	0.01909
	"39 days"	"39"	59	3613647	0.01633
	"40 days"	"40"	55	3613647	0.01522
	"41 days"	"41"	60	3613647	0.01660
	"42 days"	"42"	48	3613647	0.01328
	"43 days"	"43"	59	3613647	0.01633
	"44 days"	"44"	57	3613647	0.01577
	"45 days"	"45"	55	3613647	0.01522
	"46 days"	"46"	51	3613647	0.01411
	"47 days"	"47"	47	3613647	0.01301
	"48 days"	"48"	58	3613647	0.01605
	"49 days"	"49"	51	3613647	0.01411
	"50 days"	"50"	49	3613647	0.01356
	"51 days"	"51"	65	3613647	0.01799
	"52 days"	"52"	45	3613647	0.01245
	"53 days"	"53"	44	3613647	0.01218
	"54 days"	"54"	33	3613647	0.00913
	"55 days"	"55"	42	3613647	0.01162
	"56 days"	"56"	44	3613647	0.01218
	"57 days"	"57"	51	3613647	0.01411
	"58 days"	"58"	47	3613647	0.01301
	"59 days"	"59"	51	3613647	0.01411
	"60 days"	"60"	49	3613647	0.01356
	"61 days"	"61"	48	3613647	0.01328
	"62 days"	"62"	39	3613647	0.01079
	"63 days"	"63"	45	3613647	0.01245
	"64 days"	"64"	46	3613647	0.01273
	"65 days"	"65"	37	3613647	0.01024
	"66 days"	"66"	51	3613647	0.01411
	"67 days"	"67"	30	3613647	0.00830
	"68 days"	"68"	52	3613647	0.01439
	"69 days"	"69"	47	3613647	0.01301
	"70 days"	"70"	44	3613647	0.01218
	"71 days"	"71"	46	3613647	0.01273
	"72 days"	"72"	39	3613647	0.01079
	"73 days"	"73"	54	3613647	0.01494
	"74 days"	"74"	38	3613647	0.01052
	"75 days"	"75"	39	3613647	0.01079
	"76 days"	"76"	30	3613647	0.00830
	"77 days"	"77"	39	3613647	0.01079
	"78 days"	"78"	38	3613647	0.01052
	"79 days"	"79"	35	3613647	0.00969
	"80 days"	"80"	41	3613647	0.01135
	"81 days"	"81"	31	3613647	0.00858
	"82 days"	"82"	35	3613647	0.00969
	"83 days"	"83"	41	3613647	0.01135
	"84 days"	"84"	46	3613647	0.01273
	"85 days"	"85"	38	3613647	0.01052
	"86 days"	"86"	36	3613647	0.00996
	"87 days"	"87"	41	3613647	0.01135
	"88 days"	"88"	30	3613647	0.00830
	"89 days"	"89"	41	3613647	0.01135
	"90 days"	"90"	35	3613647	0.00969
	"91 days"	"91"	32	3613647	0.00886
	"92 days"	"92"	40	3613647	0.01107
	"93 days"	"93"	33	3613647	0.00913
	"94 days"	"94"	32	3613647	0.00886
	"95 days"	"95"	26	3613647	0.00719
	"96 days"	"96"	35	3613647	0.00969
	"97 days"	"97"	35	3613647	0.00969
	"98 days"	"98"	36	3613647	0.00996
	"99 days"	"99"	30	3613647	0.00830
	"100 days"	"100"	33	3613647	0.00913
	"101 days"	"101"	32	3613647	0.00886
	"102 days"	"102"	39	3613647	0.01079
	"103 days"	"103"	28	3613647	0.00775
	"104 days"	"104"	27	3613647	0.00747
	"105 days"	"105"	27	3613647	0.00747
	"106 days"	"106"	26	3613647	0.00719
	"107 days"	"107"	32	3613647	0.00886
	"108 days"	"108"	28	3613647	0.00775
	"109 days"	"109"	21	3613647	0.00581
	"110 days"	"110"	27	3613647	0.00747
	"111 days"	"111"	24	3613647	0.00664
	"112 days"	"112"	33	3613647	0.00913
	"113 days"	"113"	21	3613647	0.00581
	"114 days"	"114"	33	3613647	0.00913
	"115 days"	"115"	36	3613647	0.00996
	"116 days"	"116"	31	3613647	0.00858
	"117 days"	"117"	23	3613647	0.00636
	"118 days"	"118"	34	3613647	0.00941
	"119 days"	"119"	23	3613647	0.00636
	"120 days"	"120"	25	3613647	0.00692
	"121 days"	"121"	25	3613647	0.00692
	"122 days"	"122"	30	3613647	0.00830
	"123 days"	"123"	30	3613647	0.00830
	"124 days"	"124"	25	3613647	0.00692
	"125 days"	"125"	28	3613647	0.00775
	"126 days"	"126"	25	3613647	0.00692
	"127 days"	"127"	29	3613647	0.00803
	"128 days"	"128"	20	3613647	0.00553
	"129 days"	"129"	23	3613647	0.00636
	"130 days"	"130"	29	3613647	0.00803
	"131 days"	"131"	27	3613647	0.00747
	"132 days"	"132"	19	3613647	0.00526 (Unreliable)
	"133 days"	"133"	28	3613647	0.00775
	"134 days"	"134"	24	3613647	0.00664
	"135 days"	"135"	18	3613647	0.00498 (Unreliable)
	"136 days"	"136"	22	3613647	0.00609
	"137 days"	"137"	21	3613647	0.00581
	"138 days"	"138"	27	3613647	0.00747
	"139 days"	"139"	27	3613647	0.00747
	"140 days"	"140"	25	3613647	0.00692
	"141 days"	"141"	27	3613647	0.00747
	"142 days"	"142"	21	3613647	0.00581
