"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FLUVACCIN","TOT","PC_POP65","A","2000",74,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2001",78,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2002",76.9,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2003",76.9,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2004",79.1,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2006",77.5,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2009",74.6,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2019",56.2,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2020",62.2,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2021",61.9,"B"
"AUT","FLUVACCIN","TOT","PC_POP65","A","2006",36.1,
"AUT","FLUVACCIN","TOT","PC_POP65","A","2014",20.3,"B"
"AUT","FLUVACCIN","TOT","PC_POP65","A","2019",18.3,
"BEL","FLUVACCIN","TOT","PC_POP65","A","2001",58,
"BEL","FLUVACCIN","TOT","PC_POP65","A","2004",64,
"BEL","FLUVACCIN","TOT","PC_POP65","A","2008",65,
"BEL","FLUVACCIN","TOT","PC_POP65","A","2013",58,
"BEL","FLUVACCIN","TOT","PC_POP65","A","2018",59.1,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2000",63,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2003",67.2,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2005",70.9,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2007",69,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2008",66.6,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2009",66.5,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2010",59.4,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2011",64.4,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2012",64.1,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2013",64.1,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2014",63.1,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2015",60.8,"B"
"CAN","FLUVACCIN","TOT","PC_POP65","A","2016",59.8,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2017",61.1,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2018",59,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2019",60.2,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2020",64.7,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2002",16.5,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2008",19.4,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2010",17.4,"B"
"CZE","FLUVACCIN","TOT","PC_POP65","A","2011",17.7,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2012",18,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2013",19.6,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2014",18.8,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2015",19.3,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2016",20.2,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2017",20.3,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2018",21.5,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2019",22.9,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2020",23.9,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2002",6.2,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2003",19.9,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2004",30.6,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2005",34,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2006",33.4,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2007",39.3,
