Country,Our World In Data Name
AUS,Australia
AUS,Australia
AUS,Australia
AUS,Australia
AUS,Australia
AUS,Australia
AUS,Australia
AUS,Australia
AUS,Australia
AUS,Australia
AUT,Austria
AUT,Austria
AUT,Austria
BEL,Belgium
BEL,Belgium
BEL,Belgium
BEL,Belgium
BEL,Belgium
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CAN,Canada
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
CZE,Czechia
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
DNK,Denmark
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
FRA,France
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
DEU,Germany
GRC,Greece
GRC,Greece
GRC,Greece
GRC,Greece
GRC,Greece
GRC,Greece
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
HUN,Hungary
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
IRL,Ireland
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
ITA,Italy
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
JPN,Japan
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
KOR,South Korea
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
LUX,Luxembourg
