Year,Entity,Gini,Top 1pc share,Top 10pc share,Bottom 50pc share,Ratio Top 10 Bottom 50 share,MLD,welfare_type
1996,Albania,27.01034197508885,3.27914699000027,21.21557312580965,31.23301974406617,67.92674323410662,0.1191043265843859,consumption
2002,Albania,31.73897983352211,4.97889772750813,25.435636949619266,28.58681146768849,88.97682407976497,0.1648115996389384,consumption
2005,Albania,30.59565572811917,4.78027170412767,24.3411680965624,29.28926838081918,83.10609804273167,0.1544127564826953,consumption
2008,Albania,29.98467042234797,5.62406501487626,24.458310898489017,29.85454148518228,81.92492559508382,0.1488933809532339,consumption
2012,Albania,28.960484558592093,4.12425143725159,22.93433964125372,30.110824127713443,76.16642953370838,0.1384170680420969,consumption
2014,Albania,34.59889646678993,4.25302302835214,25.54432240126554,26.07365582975956,97.96985343386385,0.1986615663134147,consumption
2015,Albania,32.75373177638622,3.91395232866633,24.77930791254988,27.467186760142802,90.21421861996708,0.1754954700241342,consumption
2016,Albania,33.73629871613544,3.96184820239067,25.04955458194103,26.69053825504254,93.8518149861909,0.1875805822918761,consumption
2016,Albania,38.56564270560209,4.32129121612507,27.46694868275898,23.553176390783992,116.61674938037821,0.2737398437318146,income
2017,Albania,33.0556627406811,4.32129121612507,24.61243013288557,27.141175436343744,90.6829926751366,0.1799084650483842,consumption
2017,Albania,37.09512668663948,3.96797735610558,26.45336326502365,24.52985749431633,107.84148775080737,0.2541749295129492,income
2018,Albania,30.14828173658326,3.96797735610558,22.74231233085836,29.118465655496742,78.10271530074682,0.1524044142302725,consumption
2018,Albania,35.98875190138543,4.060400537126481,26.0018688293932,25.26795173207903,102.90453735663276,0.2330512870273137,income
2019,Albania,30.77173903513966,4.060400537126481,23.75788003269388,28.84861339310754,82.35362895594167,0.1546262875496766,consumption
1988,Algeria,40.19490917151458,11.308118125109349,32.812365151613385,24.174448131856856,135.73159963214866,0.2817322920908802,consumption
1995,Algeria,35.33005431139451,4.563191798773881,26.888585661938706,25.99770959729917,103.42674827297895,0.2085175579872219,consumption
