Entity,Year,Number_ai_publications,Number_patent_filings,Conference_attendance,Top1_accuracy,Imagenet_extra_training_data,Top5_accuracy,Total_investment_billions_US_dollars,Focus_area
Human-computer interaction,2016,6781,,,,,,,
Other AI,2017,89373,,,,,,,
Pattern recognition,2017,32603,,,,,,,
Computer vision,2017,19296,,,,,,,
Machine learning,2017,13706,,,,,,,
Algorithm,2017,12538,,,,,,,
Natural language processing,2017,9017,,,,,,,
Data mining,2017,7705,,,,,,,
Human-computer interaction,2017,7499,,,,,,,
Linguistics,2017,7449,,,,,,,
Control theory,2017,7206,,,,,,,
Other AI,2018,101591,,,,,,,
Pattern recognition,2018,38089,,,,,,,
Computer vision,2018,21352,,,,,,,
Machine learning,2018,19072,,,,,,,
Algorithm,2018,14314,,,,,,,
Natural language processing,2018,10979,,,,,,,
Data mining,2018,9203,,,,,,,
Human-computer interaction,2018,8352,,,,,,,
Control theory,2018,7618,,,,,,,
Linguistics,2018,6912,,,,,,,
Other AI,2019,121111,,,,,,,
Pattern recognition,2019,45133,,,,,,,
Machine learning,2019,26492,,,,,,,
Computer vision,2019,23597,,,,,,,
Algorithm,2019,16404,,,,,,,
Natural language processing,2019,12463,,,,,,,
Data mining,2019,11839,,,,,,,
Human-computer interaction,2019,9533,,,,,,,
Control theory,2019,8284,,,,,,,
Linguistics,2019,6803,,,,,,,
Other AI,2020,137272,,,,,,,
Pattern recognition,2020,47313,,,,,,,
Machine learning,2020,33247,,,,,,,
Computer vision,2020,24099,,,,,,,
Algorithm,2020,17212,,,,,,,
Natural language processing,2020,13989,,,,,,,
Data mining,2020,13333,,,,,,,
Human-computer interaction,2020,9672,,,,,,,
Control theory,2020,8311,,,,,,,
Linguistics,2020,7227,,,,,,,
Other AI,2021,147147,,,,,,,
Pattern recognition,2021,51687,,,,,,,
Machine learning,2021,39931,,,,,,,
Computer vision,2021,24798,,,,,,,
Algorithm,2021,18296,,,,,,,
Data mining,2021,15268,,,,,,,
Natural language processing,2021,13433,,,,,,,
Human-computer interaction,2021,9703,,,,,,,
Control theory,2021,8451,,,,,,,
Linguistics,2021,5783,,,,,,,
World,2010,162444,2560,,,,,,
World,2011,170168,2577,,,,,,
World,2012,176611,2949,,,,,,
World,2013,183656,3175,,,,,,
World,2014,192310,3676,,,,,,
World,2015,194000,4617,,,,,,
World,2016,194194,6077,,,,,,
World,2017,206392,10216,,,,,,
World,2018,237482,18282,,,,,,
World,2019,281659,39840,,,,,,
World,2020,311675,81472,,,,,,
World,2021,334497,141241,,,,,,
ICCV,2021,,,5011,,,,,
EMNLP,2021,,,3760,,,,,
FaccT,2021,,,1345,,,,,
UAI,2021,,,2099,,,,,
IROS,2021,,,2593,,,,,
NeurIPS,2021,,,17091,,,,,
ICML,2021,,,29537,,,,,
CVPR,2021,,,8237,,,,,
AAAI,2021,,,4086,,,,,
IJCAI,2021,,,1904,,,,,
ICRA,2021,,,1000,,,,,
ICLR,2021,,,6306,,,,,
ACL,2021,,,3531,,,,,
AAMAS,2021,,,1076,,,,,
KR,2021,,,666,,,,,
ICAPS,2021,,,513,,,,,
ICCV,2020,,,,,,,,
EMNLP,2020,,,4069,,,,,
FaccT,2020,,,686,,,,,
UAI,2020,,,352,,,,,
IROS,2020,,,25719,,,,,
NeurIPS,2020,,,22011,,,,,
ICML,2020,,,10800,,,,,
CVPR,2020,,,7500,,,,,
AAAI,2020,,,4884,,,,,
IJCAI,2020,,,,,,,,
ICRA,2020,,,,,,,,
ICLR,2020,,,5600,,,,,
ACL,2020,,,3972,,,,,
AAMAS,2020,,,3726,,,,,
KR,2020,,,469,,,,,
ICAPS,2020,,,450,,,,,
ICCV,2019,,,7546,,,,,
EMNLP,2019,,,1938,,,,,
FaccT,2019,,,500,,,,,
UAI,2019,,,334,,,,,
IROS,2019,,,3509,,,,,
NeurIPS,2019,,,13000,,,,,
ICML,2019,,,6481,,,,,
CVPR,2019,,,9227,,,,,
AAAI,2019,,,3227,,,,,
IJCAI,2019,,,3015,,,,,
ICRA,2019,,,3050,,,,,
ICLR,2019,,,2720,,,,,
ACL,2019,,,3283,,,,,
AAMAS,2019,,,701,,,,,
KR,2019,,,,,,,,
ICAPS,2019,,,283,,,,,
ICCV,2018,,,,,,,,
EMNLP,2018,,,2458,,,,,
FaccT,2018,,,,,,,,
UAI,2018,,,359,,,,,
IROS,2018,,,3678,,,,,
NeurIPS,2018,,,8648,,,,,
ICML,2018,,,5023,,,,,
CVPR,2018,,,6512,,,,,
AAAI,2018,,,2251,,,,,
IJCAI,2018,,,2550,,,,,
ICRA,2018,,,3000,,,,,
ICLR,2018,,,2000,,,,,
ACL,2018,,,1322,,,,,
AAMAS,2018,,,670,,,,,
KR,2018,,,171,,,,,
ICAPS,2018,,,262,,,,,
ICCV,2017,,,2922,,,,,
EMNLP,2017,,,1233,,,,,
FaccT,2017,,,,,,,,
UAI,2017,,,201,,,,,
IROS,2017,,,2678,,,,,
NeurIPS,2017,,,8008,,,,,
ICML,2017,,,2431,,,,,
CVPR,2017,,,4976,,,,,
AAAI,2017,,,1838,,,,,
IJCAI,2017,,,2085,,,,,
ICRA,2017,,,2000,,,,,
ICLR,2017,,,1224.5,,,,,
ACL,2017,,,1765,,,,,
AAMAS,2017,,,415,,,,,
KR,2017,,,,,,,,
ICAPS,2017,,,201,,,,,
ICCV,2016,,,,,,,,
EMNLP,2016,,,806,,,,,
FaccT,2016,,,,,,,,
UAI,2016,,,,,,,,
IROS,2016,,,2174,,,,,
NeurIPS,2016,,,5231,,,,,
ICML,2016,,,3103,,,,,
CVPR,2016,,,3606,,,,,
AAAI,2016,,,1289,,,,,
IJCAI,2016,,,1671,,,,,
ICRA,2016,,,1500,,,,,
ICLR,2016,,,449,,,,,
ACL,2016,,,1649,,,,,
AAMAS,2016,,,461,,,,,
KR,2016,,,157,,,,,
ICAPS,2016,,,226,,,,,
ICCV,2015,,,1533,,,,,
EMNLP,2015,,,755,,,,,
FaccT,2015,,,,,,,,
UAI,2015,,,,,,,,
IROS,2015,,,2079,,,,,
NeurIPS,2015,,,3852,,,,,
ICML,2015,,,1200,,,,,
CVPR,2015,,,2750,,,,,
AAAI,2015,,,1380,,,,,
IJCAI,2015,,,1134,,,,,
ICRA,2015,,,1300,,,,,
ICLR,2015,,,369,,,,,
ACL,2015,,,745,,,,,
AAMAS,2015,,,424,,,,,
KR,2015,,,,,,,,
ICAPS,2015,,,160,,,,,
ICCV,2014,,,,,,,,
EMNLP,2014,,,,,,,,
FaccT,2014,,,,,,,,
UAI,2014,,,,,,,,
IROS,2014,,,1615,,,,,
NeurIPS,2014,,,2581,,,,,
ICML,2014,,,800,,,,,
CVPR,2014,,,2061,,,,,
AAAI,2014,,,1019,,,,,
IJCAI,2014,,,,,,,,
ICRA,2014,,,1200,,,,,
ICLR,2014,,,176,,,,,
ACL,2014,,,1437,,,,,
AAMAS,2014,,,798,,,,,
KR,2014,,,171,,,,,
ICAPS,2014,,,222,,,,,
ICCV,2013,,,1225,,,,,
EMNLP,2013,,,518,,,,,
FaccT,2013,,,,,,,,
UAI,2013,,,,,,,,
IROS,2013,,,1472,,,,,
NeurIPS,2013,,,1994,,,,,
ICML,2013,,,500,,,,,
CVPR,2013,,,1991,,,,,
AAAI,2013,,,807,,,,,
IJCAI,2013,,,920,,,,,
ICRA,2013,,,1300,,,,,
ICLR,2013,,,105,,,,,
ACL,2013,,,987,,,,,
AAMAS,2013,,,552,,,,,
KR,2013,,,,,,,,
ICAPS,2013,,,214,,,,,
ICCV,2012,,,,,,,,
EMNLP,2012,,,,,,,,
FaccT,2012,,,,,,,,
UAI,2012,,,,,,,,
IROS,2012,,,1447,,,,,
NeurIPS,2012,,,1676,,,,,
ICML,2012,,,744,,,,,
CVPR,2012,,,1811,,,,,
AAAI,2012,,,934,,,,,
IJCAI,2012,,,,,,,,
ICRA,2012,,,1200,,,,,
ICLR,2012,,,,,,,,
ACL,2012,,,973,,,,,
AAMAS,2012,,,577,,,,,
KR,2012,,,190,,,,,
ICAPS,2012,,,133,,,,,
ICCV,2011,,,1544,,,,,
EMNLP,2011,,,,,,,,
FaccT,2011,,,,,,,,
UAI,2011,,,,,,,,
IROS,2011,,,1556,,,,,
NeurIPS,2011,,,1452,,,,,
ICML,2011,,,546,,,,,
CVPR,2011,,,1496,,,,,
AAAI,2011,,,1108,,,,,
IJCAI,2011,,,1493,,,,,
ICRA,2011,,,1200,,,,,
ICLR,2011,,,,,,,,
ACL,2011,,,1101,,,,,
AAMAS,2011,,,450,,,,,
KR,2011,,,,,,,,
ICAPS,2011,,,225,,,,,
ICCV,2010,,,,,,,,
EMNLP,2010,,,,,,,,
FaccT,2010,,,,,,,,
UAI,2010,,,,,,,,
IROS,2010,,,1200,,,,,
NeurIPS,2010,,,1354,,,,,
ICML,2010,,,514,,,,,
CVPR,2010,,,1306,,,,,
AAAI,2010,,,918,,,,,
IJCAI,2010,,,,,,,,
ICRA,2010,,,2200,,,,,
ICLR,2010,,,,,,,,
ACL,2010,,,955,,,,,
AAMAS,2010,,,593,,,,,
KR,2010,,,175,,,,,
ICAPS,2010,,,206,,,,,
Alexnet,2012,,,,0.633,Without Extra Training Data,,,
Five base + five hires,2013,,,,0.663,Without Extra Training Data,,,
Vgg-19,2014,,,,0.745,Without Extra Training Data,,,
Inception v3,2015,,,,0.788,Without Extra Training Data,,,
Resnext-101 64x4 + multi-scale dense testing,2016,,,,0.823,Without Extra Training Data,,,
Pnasnet-5,2017,,,,0.829,Without Extra Training Data,,,
Gpipe,2018,,,,0.844,Without Extra Training Data,,,
Advprop (efficientnet-b8),2019,,,,0.855,Without Extra Training Data,,,
Fix-efficientnet-b8 (maxup + cutmix),2020,,,,0.858,Without Extra Training Data,,,
"Mae (vit-h, 448)",2021,,,,0.878,Without Extra Training Data,,,
Alexnet - 7cnns + imagenet 2011 pretrain,2012,,,,0.633,With Extra Training Data,,,
Vgg-19,2014,,,,0.745,With Extra Training Data,,,
Inception v3,2015,,,,0.788,With Extra Training Data,,,
Jft-300m finetuning,2017,,,,0.792,With Extra Training Data,,,
Resnext-101 32x48d,2018,,,,0.854,With Extra Training Data,,,
Bit-l (resnet),2019,,,,0.8754,With Extra Training Data,,,
Efficientnet-l2-475 (sam),2020,,,,0.8861,With Extra Training Data,,,
Coatnet-7,2021,,,,0.9088,With Extra Training Data,,,
Alexnet,2012,,,,,Without Extra Training Data,0.846,,
Overfeat - 7 accurate models,2013,,,,,Without Extra Training Data,0.868,,
Vgg-19,2014,,,,,Without Extra Training Data,0.92,,
Inception v3,2015,,,,,Without Extra Training Data,0.944,,
"Inception resnet v2 + multi-crop, multi-scale",2016,,,,,Without Extra Training Data,0.963,,
Nasnet-a(6),2017,,,,,Without Extra Training Data,0.962,,
Resnext-101 32x16d,2018,,,,,Without Extra Training Data,0.972,,
Advprop (efficientnet-b8),2019,,,,,Without Extra Training Data,0.973,,
Fixefficientnet-b8,2020,,,,,Without Extra Training Data,0.976,,
Nfnet-f6 w/ sam,2021,,,,,Without Extra Training Data,0.979,,
Alexnet - 7cnns + imagenet 2011 pretrain,2012,,,,,With Extra Training Data,0.846,,
Resnet-101,2015,,,,,With Extra Training Data,0.9395,,
Jft-300m finetuning,2017,,,,,With Extra Training Data,0.947,,
Resnext-101 32x48d,2018,,,,,With Extra Training Data,0.976,,
Bit-l (resnet),2019,,,,,With Extra Training Data,0.9846,,
Noisystudent (efficientnet-l2),2020,,,,,With Extra Training Data,0.987,,
Florence-coswim-h,2021,,,,,With Extra Training Data,0.9902,,
Australia,,,,,,,,1.251114736,
Canada,,,,,,,,1.865972581,
China,,,,,,,,17.210048199,
France,,,,,,,,1.551918506,
Germany,,,,,,,,1.983560306,
Hong Kong,,,,,,,,0.62892,
India,,,,,,,,1.349038569,
Israel,,,,,,,,2.408546712,
Portugal,,,,,,,,0.519515341,
Singapore,,,,,,,,0.933902052,
South Korea,,,,,,,,1.099606364,
Spain,,,,,,,,0.894816921,
United Arab Emirates,,,,,,,,0.8197,
United Kingdom,,,,,,,,4.650457482,
United States,,,,,,,,52.878619257,
World,2017,,,,,,,0.094008158,Insurtech
World,2020,,,,,,,0.098469346,Geospatial
World,2017,,,,,,,0.108073346,Drones
World,2017,,,,,,,0.111421271,Entertainment
World,2019,,,,,,,0.118792235,VC
World,2019,,,,,,,0.125808045,Entertainment
World,2018,,,,,,,0.133974023,Entertainment
World,2020,,,,,,,0.144139205,"Music, Video Content"
World,2020,,,,,,,0.144171096,VC
World,2019,,,,,,,0.158128478,"Music, Video Content"
World,2017,,,,,,,0.164996816,VC
World,2017,,,,,,,0.193566515,"Music, Video Content"
World,2019,,,,,,,0.195209829,Drones
World,2017,,,,,,,0.224974937,Geospatial
World,2017,,,,,,,0.225312975,Legal Tech
World,2020,,,,,,,0.23658707,Entertainment
World,2017,,,,,,,0.244478675,HR Tech
World,2017,,,,,,,0.253812442,AR/VR
World,2018,,,,,,,0.256064034,Agritech
World,2019,,,,,,,0.256987051,Geospatial
World,2021,,,,,,,0.290656926,VC
World,2017,,,,,,,0.301139142,Fitness and Wellness
World,2018,,,,,,,0.315460749,Geospatial
World,2018,,,,,,,0.338232474,AR/VR
World,2018,,,,,,,0.362772974,HR Tech
World,2018,,,,,,,0.363540939,"Music, Video Content"
World,2017,,,,,,,0.373646085,Agritech
World,2018,,,,,,,0.379913682,Legal Tech
World,2020,,,,,,,0.411911447,Drones
World,2019,,,,,,,0.416634296,Insurtech
World,2019,,,,,,,0.427439815,Agritech
World,2017,,,,,,,0.444036305,Sales Enablement
World,2021,,,,,,,0.472245294,"Music, Video Content"
World,2019,,,,,,,0.476244371,Sales Enablement
World,2018,,,,,,,0.478199338,VC
World,2018,,,,,,,0.479598041,Insurtech
World,2018,,,,,,,0.515776853,Sales Enablement
World,2020,,,,,,,0.528302143,Legal Tech
World,2020,,,,,,,0.528729215,Insurtech
World,2020,,,,,,,0.552470672,AR/VR
World,2019,,,,,,,0.578363648,Legal Tech
World,2017,,,,,,,0.613068301,"Cybersecurity, Data Protection"
World,2020,,,,,,,0.644546038,Agritech
World,2017,,,,,,,0.70491821,Semiconductor
World,2021,,,,,,,0.706492233,Entertainment
World,2019,,,,,,,0.713780055,HR Tech
World,2018,,,,,,,0.714667936,Drones
World,2020,,,,,,,0.767367539,HR Tech
World,2017,,,,,,,0.767517852,"NLP, Customer Support"
World,2019,,,,,,,0.776122043,Ed Tech
World,2020,,,,,,,0.82792788,Sales Enablement
World,2017,,,,,,,0.842306682,"Marketing, Digital Ads"
World,2018,,,,,,,0.87657958,"Energy, Oil, and Gas"
World,2021,,,,,,,0.90612454,Legal Tech
World,2018,,,,,,,0.911294775,Fitness and Wellness
World,2017,,,,,,,0.911568545,Facial Recognition
World,2021,,,,,,,0.925033928,Geospatial
World,2017,,,,,,,1.006503502,AV
World,2019,,,,,,,1.028928918,"NLP, Customer Support"
World,2018,,,,,,,1.038284829,"NLP, Customer Support"
World,2020,,,,,,,1.086473898,"Marketing, Digital Ads"
World,2017,,,,,,,1.099687124,Ed Tech
World,2020,,,,,,,1.108319408,Facial Recognition
World,2019,,,,,,,1.142510818,"Cybersecurity, Data Protection"
World,2018,,,,,,,1.167259441,"Cybersecurity, Data Protection"
World,2020,,,,,,,1.203015054,"Energy, Oil, and Gas"
World,2018,,,,,,,1.222491789,Semiconductor
World,2019,,,,,,,1.23403835,"Energy, Oil, and Gas"
World,2021,,,,,,,1.242150888,Ed Tech
World,2021,,,,,,,1.26494888,AR/VR
World,2018,,,,,,,1.271939478,"Marketing, Digital Ads"
World,2021,,,,,,,1.28093459,Sales Enablement
World,2019,,,,,,,1.30119874,Fitness and Wellness
World,2021,,,,,,,1.428772088,Agritech
World,2019,,,,,,,1.4528025470000001,Facial Recognition
World,2020,,,,,,,1.608171974,"NLP, Customer Support"
World,2019,,,,,,,1.683636774,"Marketing, Digital Ads"
World,2019,,,,,,,1.693681917,Semiconductor
World,2017,,,,,,,1.725580941,"Energy, Oil, and Gas"
World,2020,,,,,,,1.735516729,"Cybersecurity, Data Protection"
World,2021,,,,,,,1.771675486,Insurtech
World,2017,,,,,,,1.783482771,Fintech
World,2021,,,,,,,1.874072234,Facial Recognition
World,2019,,,,,,,1.87677833,"Industrial Automation, Network"
World,2018,,,,,,,1.970948323,Ed Tech
World,2019,,,,,,,2.047761997,AR/VR
World,2018,,,,,,,2.138964319,Facial Recognition
World,2021,,,,,,,2.180100559,HR Tech
World,2020,,,,,,,2.281138262,Semiconductor
World,2021,,,,,,,2.313249674,"Marketing, Digital Ads"
World,2017,,,,,,,2.31598073,"Data Management, Processing, Cloud"
World,2021,,,,,,,2.477475661,Drones
World,2017,,,,,,,2.492184504,Retail
World,2019,,,,,,,2.642116336,AV
World,2021,,,,,,,2.645209666,"Cybersecurity, Data Protection"
World,2020,,,,,,,2.673984102,Fitness and Wellness
World,2013,,,,,,,2.736516936,
World,2021,,,,,,,2.779850136,"Energy, Oil, and Gas"
World,2018,,,,,,,2.787551691,Medical and Healthcare
World,2017,,,,,,,2.891236849,Medical and Healthcare
World,2018,,,,,,,2.933062064,"Data Management, Processing, Cloud"
World,2017,,,,,,,3.016692488,"Industrial Automation, Network"
World,2018,,,,,,,3.056582298,Retail
World,2020,,,,,,,3.07038105,Ed Tech
World,2020,,,,,,,3.182670965,Fintech
World,2020,,,,,,,3.399496764,AV
World,2020,,,,,,,3.402189705,Retail
World,2018,,,,,,,3.423787714,Fintech
World,2018,,,,,,,3.455842936,AV
World,2020,,,,,,,3.619799818,"Industrial Automation, Network"
World,2019,,,,,,,3.888987229,Medical and Healthcare
World,2021,,,,,,,4.005563433,"NLP, Customer Support"
World,2018,,,,,,,4.66346227,"Industrial Automation, Network"
World,2020,,,,,,,4.68776845,"Data Management, Processing, Cloud"
World,2019,,,,,,,4.803511614,"Data Management, Processing, Cloud"
World,2021,,,,,,,5.561635501,Fitness and Wellness
World,2021,,,,,,,5.740676995,Retail
World,2021,,,,,,,5.853281183,"Industrial Automation, Network"
World,2014,,,,,,,5.920354774,
World,2021,,,,,,,6.003831097,Semiconductor
World,2019,,,,,,,6.270317789,Fintech
World,2019,,,,,,,7.262851986,Retail
World,2020,,,,,,,8.059113645,Medical and Healthcare
World,2021,,,,,,,8.094824175,AV
World,2015,,,,,,,8.980714017,
World,2021,,,,,,,10.259479432,Fintech
World,2021,,,,,,,11.290055324,Medical and Healthcare
World,2021,,,,,,,12.167417279,"Data Management, Processing, Cloud"
World,2016,,,,,,,15.730530245,
World,2017,,,,,,,23.092889664,
World,2018,,,,,,,35.25625255,
World,2019,,,,,,,42.572633211,
World,2020,,,,,,,46.002661475,
World,2021,,,,,,,93.535757202,
