Entity,Year,Number_ai_publications,Number_patent_filings,Conference_attendance,Top1_accuracy,Imagenet_extra_training_data,Top5_accuracy,Total_investment_billions_US_dollars,Focus_area
Other AI,2010,69408,,,,,,,
Pattern recognition,2010,23285,,,,,,,
Computer vision,2010,17454,,,,,,,
Algorithm,2010,12095,,,,,,,
Linguistics,2010,8528,,,,,,,
Natural language processing,2010,7313,,,,,,,
Data mining,2010,6761,,,,,,,
Control theory,2010,6193,,,,,,,
Machine learning,2010,5999,,,,,,,
Human-computer interaction,2010,5408,,,,,,,
Other AI,2011,73973,,,,,,,
Pattern recognition,2011,24195,,,,,,,
Computer vision,2011,18414,,,,,,,
Algorithm,2011,11761,,,,,,,
Linguistics,2011,9353,,,,,,,
Natural language processing,2011,6969,,,,,,,
Control theory,2011,6618,,,,,,,
Data mining,2011,6529,,,,,,,
Machine learning,2011,6373,,,,,,,
Human-computer interaction,2011,5983,,,,,,,
Other AI,2012,76148,,,,,,,
Pattern recognition,2012,25539,,,,,,,
Computer vision,2012,19341,,,,,,,
Algorithm,2012,12031,,,,,,,
Linguistics,2012,9436,,,,,,,
Natural language processing,2012,7825,,,,,,,
Machine learning,2012,6916,,,,,,,
Data mining,2012,6770,,,,,,,
Control theory,2012,6630,,,,,,,
Human-computer interaction,2012,5975,,,,,,,
Other AI,2013,79208,,,,,,,
Pattern recognition,2013,26843,,,,,,,
Computer vision,2013,19930,,,,,,,
Algorithm,2013,12450,,,,,,,
Linguistics,2013,9453,,,,,,,
Natural language processing,2013,7803,,,,,,,
Machine learning,2013,7566,,,,,,,
Control theory,2013,6992,,,,,,,
Data mining,2013,6986,,,,,,,
Human-computer interaction,2013,6425,,,,,,,
Other AI,2014,82500,,,,,,,
Pattern recognition,2014,28784,,,,,,,
Computer vision,2014,20292,,,,,,,
Algorithm,2014,12675,,,,,,,
Linguistics,2014,9925,,,,,,,
Natural language processing,2014,8665,,,,,,,
Machine learning,2014,8371,,,,,,,
Data mining,2014,7389,,,,,,,
Control theory,2014,7177,,,,,,,
Human-computer interaction,2014,6532,,,,,,,
Other AI,2015,83266,,,,,,,
Pattern recognition,2015,28965,,,,,,,
Computer vision,2015,20291,,,,,,,
Algorithm,2015,12330,,,,,,,
Linguistics,2015,10283,,,,,,,
Machine learning,2015,9335,,,,,,,
Natural language processing,2015,8562,,,,,,,
Data mining,2015,7317,,,,,,,
Control theory,2015,6849,,,,,,,
Human-computer interaction,2015,6802,,,,,,,
Other AI,2016,83874,,,,,,,
Pattern recognition,2016,29733,,,,,,,
Computer vision,2016,18766,,,,,,,
Algorithm,2016,12276,,,,,,,
Machine learning,2016,10744,,,,,,,
Natural language processing,2016,8909,,,,,,,
Linguistics,2016,8810,,,,,,,
Data mining,2016,7346,,,,,,,
Control theory,2016,6955,,,,,,,
