ENTITY,YEAR,Number of objects
Rocket bodies,1958,1
Payloads,1958,1
Debris,1958,1
Rocket bodies,1959,3
Payloads,1959,4
Debris,1959,4
Rocket bodies,1960,9
Payloads,1960,10
Debris,1960,15
Rocket bodies,1961,13
Payloads,1961,16
Debris,1961,292
Rocket bodies,1962,23
Payloads,1962,26
Debris,1962,308
Rocket bodies,1963,34
Payloads,1963,40
Debris,1963,424
Rocket bodies,1964,51
Payloads,1964,68
Debris,1964,501
Rocket bodies,1965,81
Payloads,1965,128
Debris,1965,1169
Rocket bodies,1966,103
Payloads,1966,153
Debris,1966,1343
Rocket bodies,1967,129
Payloads,1967,185
Debris,1967,1403
Rocket bodies,1968,151
Payloads,1968,211
Debris,1968,1680
Rocket bodies,1969,172
Payloads,1969,240
Debris,1969,1923
Rocket bodies,1970,201
Payloads,1970,280
Debris,1970,2482
Rocket bodies,1971,243
Payloads,1971,350
Debris,1971,2639
Rocket bodies,1972,277
Payloads,1972,405
Debris,1972,2893
Rocket bodies,1973,308
Payloads,1973,461
Debris,1973,3120
Rocket bodies,1974,348
Payloads,1974,513
Debris,1974,3353
Rocket bodies,1975,406
Payloads,1975,584
Debris,1975,3914
Rocket bodies,1976,470
Payloads,1976,664
Debris,1976,4336
Rocket bodies,1977,514
Payloads,1977,716
Debris,1977,4548
Rocket bodies,1978,544
Payloads,1978,768
Debris,1978,4683
Rocket bodies,1979,555
Payloads,1979,786
Debris,1979,4802
Rocket bodies,1980,566
Payloads,1980,806
Debris,1980,4778
Rocket bodies,1981,605
Payloads,1981,866
Debris,1981,5156
Rocket bodies,1982,626
Payloads,1982,908
Debris,1982,7011
Rocket bodies,1983,683
Payloads,1983,959
Debris,1983,7239
Rocket bodies,1984,737
Payloads,1984,1019
Debris,1984,7274
Rocket bodies,1985,802
Payloads,1985,1080
Debris,1985,7429
Rocket bodies,1986,839
Payloads,1986,1148
Debris,1986,8025
Rocket bodies,1987,874
Payloads,1987,1209
Debris,1987,8419
Rocket bodies,1988,906
Payloads,1988,1239
Debris,1988,8290
Rocket bodies,1989,933
Payloads,1989,1253
Debris,1989,8174
Rocket bodies,1990,977
Payloads,1990,1304
Debris,1990,8187
Rocket bodies,1991,1002
Payloads,1991,1338
Debris,1991,8436
Rocket bodies,1992,1045
Payloads,1992,1363
Debris,1992,8742
Rocket bodies,1993,1089
Payloads,1993,1398
Debris,1993,10604
Rocket bodies,1994,1130
Payloads,1994,1440
Debris,1994,11549
Rocket bodies,1995,1157
Payloads,1995,1459
Debris,1995,11794
Rocket bodies,1996,1185
Payloads,1996,1483
Debris,1996,11693
Rocket bodies,1997,1224
Payloads,1997,1561
Debris,1997,12113
Rocket bodies,1998,1234
Payloads,1998,1973
Debris,1998,12030
Rocket bodies,1999,1239
Payloads,1999,2029
Debris,1999,15763
Rocket bodies,2000,1234
Payloads,2000,2058
Debris,2000,16012
Rocket bodies,2001,1210
Payloads,2001,2060
Debris,2001,16148
Rocket bodies,2002,1200
Payloads,2002,2080
Debris,2002,15974
Rocket bodies,2003,1211
Payloads,2003,2105
Debris,2003,15818
Rocket bodies,2004,1216
Payloads,2004,2126
Debris,2004,15772
Rocket bodies,2005,1218
Payloads,2005,2141
Debris,2005,15700
Rocket bodies,2006,1234
Payloads,2006,2173
Debris,2006,16494
Rocket bodies,2007,1257
Payloads,2007,2214
Debris,2007,16493
Rocket bodies,2008,1276
Payloads,2008,2254
Debris,2008,16049
Rocket bodies,2009,1287
Payloads,2009,2310
Debris,2009,15993
Rocket bodies,2010,1311
Payloads,2010,2341
Debris,2010,15897
Rocket bodies,2011,1321
Payloads,2011,2377
Debris,2011,15932
Rocket bodies,2012,1332
Payloads,2012,2411
Debris,2012,15797
Rocket bodies,2013,1337
Payloads,2013,2531
Debris,2013,15528
Rocket bodies,2014,1341
Payloads,2014,2579
Debris,2014,15107
Rocket bodies,2015,1360
Payloads,2015,2599
Debris,2015,14821
Rocket bodies,2016,1381
Payloads,2016,2654
Debris,2016,14729
Rocket bodies,2017,1404
Payloads,2017,2927
Debris,2017,14677
Rocket bodies,2018,1446
Payloads,2018,3122
Debris,2018,14771
Rocket bodies,2019,1464
Payloads,2019,3406
Debris,2019,14814
Rocket bodies,2020,1471
Payloads,2020,4481
Debris,2020,14689
Rocket bodies,2021,1497
Payloads,2021,5998
Debris,2021,14500
Rocket bodies,2022,1521
Payloads,2022,7788
Debris,2022,13176
Low Earth orbit,1958,2
Low Earth orbit,1959,7
Low Earth orbit,1960,19
Low Earth orbit,1961,29
Medium Earth orbit,1961,2
Low Earth orbit,1962,49
Medium Earth orbit,1962,3
Low Earth orbit,1963,74
Medium Earth orbit,1963,9
Geostationary orbit,1963,1
High Earth orbit,1963,2
Low Earth orbit,1964,119
Medium Earth orbit,1964,10
Geostationary orbit,1964,2
High Earth orbit,1964,3
Low Earth orbit,1965,209
Medium Earth orbit,1965,16
Geostationary orbit,1965,3
High Earth orbit,1965,5
Low Earth orbit,1966,256
Medium Earth orbit,1966,32
Geostationary orbit,1966,4
High Earth orbit,1966,6
Low Earth orbit,1967,314
Medium Earth orbit,1967,55
Geostationary orbit,1967,8
High Earth orbit,1967,8
Low Earth orbit,1968,362
Medium Earth orbit,1968,69
Geostationary orbit,1968,10
High Earth orbit,1968,9
Low Earth orbit,1969,412
Medium Earth orbit,1969,77
Geostationary orbit,1969,14
High Earth orbit,1969,12
Low Earth orbit,1970,481
Medium Earth orbit,1970,86
Geostationary orbit,1970,17
High Earth orbit,1970,13
Low Earth orbit,1971,593
Medium Earth orbit,1971,87
Geostationary orbit,1971,22
High Earth orbit,1971,15
Low Earth orbit,1972,682
Medium Earth orbit,1972,92
Geostationary orbit,1972,25
High Earth orbit,1972,17
Low Earth orbit,1973,769
Medium Earth orbit,1973,93
Geostationary orbit,1973,29
High Earth orbit,1973,22
Low Earth orbit,1974,861
Medium Earth orbit,1974,100
Geostationary orbit,1974,36
High Earth orbit,1974,23
Low Earth orbit,1975,990
Medium Earth orbit,1975,106
Geostationary orbit,1975,49
High Earth orbit,1975,24
Low Earth orbit,1976,1134
Medium Earth orbit,1976,111
Geostationary orbit,1976,61
High Earth orbit,1976,33
Low Earth orbit,1977,1230
Medium Earth orbit,1977,122
Geostationary orbit,1977,71
High Earth orbit,1977,41
Low Earth orbit,1978,1312
Medium Earth orbit,1978,132
Geostationary orbit,1978,77
High Earth orbit,1978,51
Low Earth orbit,1979,1341
Medium Earth orbit,1979,141
Geostationary orbit,1979,86
High Earth orbit,1979,57
Low Earth orbit,1980,1372
Medium Earth orbit,1980,151
Geostationary orbit,1980,94
High Earth orbit,1980,62
Low Earth orbit,1981,1471
Medium Earth orbit,1981,164
Geostationary orbit,1981,106
High Earth orbit,1981,69
Low Earth orbit,1982,1534
Medium Earth orbit,1982,177
Geostationary orbit,1982,120
High Earth orbit,1982,79
Low Earth orbit,1983,1642
Medium Earth orbit,1983,194
Geostationary orbit,1983,135
High Earth orbit,1983,90
Low Earth orbit,1984,1756
Medium Earth orbit,1984,223
Geostationary orbit,1984,151
High Earth orbit,1984,105
Low Earth orbit,1985,1882
Medium Earth orbit,1985,245
Geostationary orbit,1985,171
High Earth orbit,1985,115
Low Earth orbit,1986,1987
Medium Earth orbit,1986,259
Geostationary orbit,1986,179
High Earth orbit,1986,124
Low Earth orbit,1987,2083
Medium Earth orbit,1987,274
Geostationary orbit,1987,190
High Earth orbit,1987,132
Low Earth orbit,1988,2145
Medium Earth orbit,1988,290
Geostationary orbit,1988,206
High Earth orbit,1988,147
Low Earth orbit,1989,2186
Medium Earth orbit,1989,318
Geostationary orbit,1989,216
High Earth orbit,1989,164
Low Earth orbit,1990,2281
Medium Earth orbit,1990,337
Geostationary orbit,1990,235
High Earth orbit,1990,180
Low Earth orbit,1991,2340
Medium Earth orbit,1991,351
Geostationary orbit,1991,248
High Earth orbit,1991,198
Low Earth orbit,1992,2408
Medium Earth orbit,1992,375
Geostationary orbit,1992,261
High Earth orbit,1992,214
Low Earth orbit,1993,2487
Medium Earth orbit,1993,393
Geostationary orbit,1993,276
High Earth orbit,1993,224
Low Earth orbit,1994,2570
Medium Earth orbit,1994,414
Geostationary orbit,1994,297
High Earth orbit,1994,240
Low Earth orbit,1995,2616
Medium Earth orbit,1995,431
Geostationary orbit,1995,313
High Earth orbit,1995,258
Low Earth orbit,1996,2668
Medium Earth orbit,1996,439
Geostationary orbit,1996,328
High Earth orbit,1996,275
Low Earth orbit,1997,2785
Medium Earth orbit,1997,457
Geostationary orbit,1997,341
High Earth orbit,1997,295
Low Earth orbit,1998,3207
Medium Earth orbit,1998,465
Geostationary orbit,1998,347
High Earth orbit,1998,317
Low Earth orbit,1999,3268
Medium Earth orbit,1999,488
Geostationary orbit,1999,358
High Earth orbit,1999,328
Low Earth orbit,2000,3292
Medium Earth orbit,2000,510
Geostationary orbit,2000,384
High Earth orbit,2000,348
Low Earth orbit,2001,3270
Medium Earth orbit,2001,521
Geostationary orbit,2001,398
High Earth orbit,2001,358
Low Earth orbit,2002,3280
Medium Earth orbit,2002,530
Geostationary orbit,2002,414
High Earth orbit,2002,371
Low Earth orbit,2003,3316
Medium Earth orbit,2003,547
Geostationary orbit,2003,434
High Earth orbit,2003,379
Low Earth orbit,2004,3342
Medium Earth orbit,2004,562
Geostationary orbit,2004,447
High Earth orbit,2004,389
Low Earth orbit,2005,3359
Medium Earth orbit,2005,575
Geostationary orbit,2005,463
High Earth orbit,2005,396
Low Earth orbit,2006,3407
Medium Earth orbit,2006,590
Geostationary orbit,2006,483
High Earth orbit,2006,402
Low Earth orbit,2007,3471
Medium Earth orbit,2007,606
Geostationary orbit,2007,499
High Earth orbit,2007,410
Low Earth orbit,2008,3530
Medium Earth orbit,2008,627
Geostationary orbit,2008,529
High Earth orbit,2008,413
