Year,Entity,"Number of people living in extreme poverty, by world region"
1990,East Asia and Pacific,977088368.0
1991,East Asia and Pacific,959416121.0
1992,East Asia and Pacific,927808316.0
1993,East Asia and Pacific,891527725.0
1994,East Asia and Pacific,843485756.0
1995,East Asia and Pacific,765857310.0
1996,East Asia and Pacific,699471829.0
1997,East Asia and Pacific,706249070.0
1998,East Asia and Pacific,737279471.0
1999,East Asia and Pacific,681207380.0
2000,East Asia and Pacific,631964512.0
2001,East Asia and Pacific,600142453.0
2002,East Asia and Pacific,537870540.0
2003,East Asia and Pacific,482622806.0
2004,East Asia and Pacific,422843136.0
2005,East Asia and Pacific,347048056.0
2006,East Asia and Pacific,340904969.0
2007,East Asia and Pacific,302146535.0
2008,East Asia and Pacific,285557459.0
2009,East Asia and Pacific,250938372.0
2010,East Asia and Pacific,211739300.0
2011,East Asia and Pacific,161144385.0
2012,East Asia and Pacific,137081649.0
2013,East Asia and Pacific,65562329.0
2014,East Asia and Pacific,53808953.0
2015,East Asia and Pacific,42092020.0
2016,East Asia and Pacific,35440679.0
2017,East Asia and Pacific,30207381.0
2018,East Asia and Pacific,25022207.0
1990,Europe and Central Asia,10570492.0
1991,Europe and Central Asia,12855458.0
1992,Europe and Central Asia,19640156.0
1993,Europe and Central Asia,24122070.0
1994,Europe and Central Asia,31510861.0
1995,Europe and Central Asia,31807676.0
1996,Europe and Central Asia,32018881.0
1997,Europe and Central Asia,28138885.0
1998,Europe and Central Asia,28194035.0
1999,Europe and Central Asia,36876119.0
2000,Europe and Central Asia,34860912.0
2001,Europe and Central Asia,31059338.0
2002,Europe and Central Asia,26865269.0
2003,Europe and Central Asia,27155391.0
2004,Europe and Central Asia,22634019.0
2005,Europe and Central Asia,22041546.0
2006,Europe and Central Asia,18635147.0
2007,Europe and Central Asia,15610020.0
2008,Europe and Central Asia,12756047.0
2009,Europe and Central Asia,11831450.0
2010,Europe and Central Asia,11269767.0
2011,Europe and Central Asia,9773836.0
2012,Europe and Central Asia,9100971.0
2013,Europe and Central Asia,7892320.0
2014,Europe and Central Asia,8872839.0
2015,Europe and Central Asia,7475922.0
2016,Europe and Central Asia,6457513.0
2017,Europe and Central Asia,6467244.0
2018,Europe and Central Asia,4903270.0
1990,High income countries,4070622.0
1991,High income countries,4057982.0
1992,High income countries,4194210.0
1993,High income countries,4547720.0
1994,High income countries,4482187.0
1995,High income countries,4485853.0
1996,High income countries,4356472.0
1997,High income countries,5148284.0
1998,High income countries,5208773.0
1999,High income countries,4942608.0
2000,High income countries,4713282.0
2001,High income countries,4739489.0
2002,High income countries,4730433.0
