country,year,welfare,pipreportinglevel,pipwelfare,value,source,series_code
Albania,1996.0,Disposable income,national,consumption,0.03279147,PIP,p99p100Share_pip_disposable_perCapita
Albania,2002.0,Disposable income,national,consumption,0.049788977,PIP,p99p100Share_pip_disposable_perCapita
Albania,2005.0,Disposable income,national,consumption,0.047802717,PIP,p99p100Share_pip_disposable_perCapita
Albania,2008.0,Disposable income,national,consumption,0.05624065,PIP,p99p100Share_pip_disposable_perCapita
Albania,2012.0,Disposable income,national,consumption,0.041242514,PIP,p99p100Share_pip_disposable_perCapita
Albania,2014.0,Disposable income,national,consumption,0.04253023,PIP,p99p100Share_pip_disposable_perCapita
Albania,2015.0,Disposable income,national,consumption,0.039139523,PIP,p99p100Share_pip_disposable_perCapita
Albania,2016.0,Disposable income,national,consumption,0.039618482,PIP,p99p100Share_pip_disposable_perCapita
Albania,2017.0,Disposable income,national,consumption,0.038807097,PIP,p99p100Share_pip_disposable_perCapita
Albania,2018.0,Disposable income,national,consumption,0.034719866,PIP,p99p100Share_pip_disposable_perCapita
Albania,2019.0,Disposable income,national,consumption,0.037878899,PIP,p99p100Share_pip_disposable_perCapita
Algeria,1988.0,Disposable income,national,consumption,0.113081181,PIP,p99p100Share_pip_disposable_perCapita
Algeria,1995.0,Disposable income,national,consumption,0.045631918,PIP,p99p100Share_pip_disposable_perCapita
Algeria,2011.0,Disposable income,national,consumption,0.038747866,PIP,p99p100Share_pip_disposable_perCapita
Angola,2000.0,Disposable income,national,consumption,0.118633005,PIP,p99p100Share_pip_disposable_perCapita
Angola,2008.0,Disposable income,national,consumption,0.075052689,PIP,p99p100Share_pip_disposable_perCapita
Angola,2018.0,Disposable income,national,consumption,0.140208302,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1980.0,Disposable income,urban,income,0.055731566,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1986.0,Disposable income,urban,income,0.074746397,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1987.0,Disposable income,urban,income,0.082885737,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1991.0,Disposable income,urban,income,0.107473901,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1992.0,Disposable income,urban,income,0.076619,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1993.0,Disposable income,urban,income,0.075035805,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1994.0,Disposable income,urban,income,0.081168686,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1995.0,Disposable income,urban,income,0.088381393,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1996.0,Disposable income,urban,income,0.092660019,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1997.0,Disposable income,urban,income,0.08029786,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1998.0,Disposable income,urban,income,0.09367433,PIP,p99p100Share_pip_disposable_perCapita
Argentina,1999.0,Disposable income,urban,income,0.08625844,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2000.0,Disposable income,urban,income,0.086276173,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2001.0,Disposable income,urban,income,0.09000927,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2002.0,Disposable income,urban,income,0.100378435,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2003.0,Disposable income,urban,income,0.097996378,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2004.0,Disposable income,urban,income,0.080415142,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2005.0,Disposable income,urban,income,0.081280191,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2006.0,Disposable income,urban,income,0.07810461,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2007.0,Disposable income,urban,income,0.080422727,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2008.0,Disposable income,urban,income,0.072762554,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2009.0,Disposable income,urban,income,0.063678448,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2010.0,Disposable income,urban,income,0.066024386,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2011.0,Disposable income,urban,income,0.0627134,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2012.0,Disposable income,urban,income,0.059102909,PIP,p99p100Share_pip_disposable_perCapita
Argentina,2013.0,Disposable income,urban,income,0.05668951,PIP,p99p100Share_pip_disposable_perCapita
