country,year,net_zero_status,has_net_zero_target
Afghanistan,2050,Proposed / in discussion,Yes
Angola,2050,Proposed / in discussion,Yes
Argentina,2050,In policy document,Yes
Armenia,2050,Proposed / in discussion,Yes
Antigua and Barbuda,2040,In policy document,Yes
Austria,2040,In law,Yes
Belgium,2050,In policy document,Yes
Benin,2000,Achieved (self-declared),Yes
Burkina Faso,2050,Proposed / in discussion,Yes
Bangladesh,2050,Proposed / in discussion,Yes
Bahamas,2050,Proposed / in discussion,Yes
Belize,2050,In policy document,Yes
Barbados,2030,In policy document,Yes
Bhutan,2030,Achieved (self-declared),Yes
Central African Republic,2050,Proposed / in discussion,Yes
Canada,2050,In law,Yes
Switzerland,2050,In law,Yes
Chile,2050,In law,Yes
China,2060,In policy document,Yes
Democratic Republic of Congo,2050,Proposed / in discussion,Yes
Colombia,2050,In law,Yes
Comoros,2050,Achieved (self-declared),Yes
Cape Verde,2050,In policy document,Yes
Costa Rica,2050,In policy document,Yes
Cyprus,2050,In policy document,Yes
Czechia,2050,Proposed / in discussion,Yes
Germany,2045,In law,Yes
Djibouti,2050,Proposed / in discussion,Yes
Dominica,2030,In policy document,Yes
Denmark,2050,In law,Yes
Dominican Republic,2050,Proposed / in discussion,Yes
Ecuador,2050,In policy document,Yes
Eritrea,2050,Proposed / in discussion,Yes
Spain,2050,In law,Yes
Estonia,2050,Declaration / pledge,Yes
Ethiopia,2050,Proposed / in discussion,Yes
Finland,2035,In law,Yes
Fiji,2050,In law,Yes
France,2050,In law,Yes
Micronesia,2050,Declaration / pledge,Yes
Gabon,2050,Achieved (self-declared),Yes
United Kingdom,2050,In law,Yes
Guinea,2050,Proposed / in discussion,Yes
Gambia,2050,In policy document,Yes
Guinea-Bissau,2050,Proposed / in discussion,Yes
Greece,2050,In law,Yes
Grenada,2050,Proposed / in discussion,Yes
Guyana,2050,Achieved (self-declared),Yes
Croatia,2050,In policy document,Yes
Haiti,2050,Declaration / pledge,Yes
Hungary,2050,In law,Yes
Ireland,2050,In law,Yes
Iceland,2040,In law,Yes
Italy,2050,In policy document,Yes
Jamaica,2050,Proposed / in discussion,Yes
Japan,2050,In law,Yes
Cambodia,2050,In policy document,Yes
Kiribati,2050,Proposed / in discussion,Yes
Saint Kitts and Nevis,2050,Proposed / in discussion,Yes
South Korea,2050,In law,Yes
Laos,2050,In policy document,Yes
Lebanon,2050,In policy document,Yes
Liberia,2050,In policy document,Yes
Saint Lucia,2050,Proposed / in discussion,Yes
Lesotho,2050,Proposed / in discussion,Yes
Lithuania,2050,In policy document,Yes
Luxembourg,2050,In law,Yes
Latvia,2050,In policy document,Yes
Monaco,2050,In policy document,Yes
Madagascar,2050,Proposed / in discussion,Yes
Maldives,2030,In law,Yes
Mexico,2050,Proposed / in discussion,Yes
Marshall Islands,2050,In policy document,Yes
Mali,2050,Proposed / in discussion,Yes
Malta,2050,In policy document,Yes
Myanmar,2050,Proposed / in discussion,Yes
Mozambique,2050,Proposed / in discussion,Yes
Mauritania,2030,Proposed / in discussion,Yes
Mauritius,2050,Proposed / in discussion,Yes
Malawi,2050,Proposed / in discussion,Yes
Namibia,2050,Proposed / in discussion,Yes
Niger,2050,Proposed / in discussion,Yes
Nicaragua,2050,Proposed / in discussion,Yes
Nepal,2045,In policy document,Yes
Nauru,2050,Proposed / in discussion,Yes
New Zealand,2050,In law,Yes
Peru,2050,In policy document,Yes
Palau,2050,Proposed / in discussion,Yes
Papua New Guinea,2050,In policy document,Yes
Portugal,2050,In law,Yes
Rwanda,2050,Proposed / in discussion,Yes
Senegal,2050,Proposed / in discussion,Yes
Solomon Islands,2050,Proposed / in discussion,Yes
Sierra Leone,2050,Proposed / in discussion,Yes
Sao Tome and Principe,2050,Proposed / in discussion,Yes
Suriname,2050,Achieved (self-declared),Yes
Slovakia,2050,In policy document,Yes
Slovenia,2050,In policy document,Yes
Sweden,2045,In law,Yes
Seychelles,2050,Proposed / in discussion,Yes
Chad,2050,Proposed / in discussion,Yes
Togo,2050,Proposed / in discussion,Yes
Timor-Leste,2050,Proposed / in discussion,Yes
Tonga,2050,Proposed / in discussion,Yes
Trinidad and Tobago,2050,Proposed / in discussion,Yes
Tuvalu,2050,In policy document,Yes
Uganda,2050,Proposed / in discussion,Yes
Uruguay,2050,In policy document,Yes
United States,2050,In law,Yes
Saint Vincent and the Grenadines,2050,Proposed / in discussion,Yes
Vanuatu,2050,In policy document,Yes
Samoa,2050,Proposed / in discussion,Yes
Yemen,2050,Proposed / in discussion,Yes
South Africa,2050,Declaration / pledge,Yes
Zambia,2050,Proposed / in discussion,Yes
Andorra,2050,In policy document,Yes
United Arab Emirates,2050,In policy document,Yes
Australia,2050,In law,Yes
Burundi,2050,Proposed / in discussion,Yes
Bulgaria,2050,Proposed / in discussion,Yes
Bahrain,2060,Declaration / pledge,Yes
Brazil,2050,In policy document,Yes
Georgia,2050,In policy document,Yes
Ghana,2070,Declaration / pledge,Yes
Indonesia,2060,Proposed / in discussion,Yes
India,2070,In policy document,Yes
Israel,2050,Proposed / in discussion,Yes
Kazakhstan,2060,In policy document,Yes
Kyrgyzstan,2050,Proposed / in discussion,Yes
Kuwait,2060,Declaration / pledge,Yes
Sri Lanka,2050,Declaration / pledge,Yes
Malaysia,2050,In policy document,Yes
Nigeria,2070,In law,Yes
Oman,2050,In policy document,Yes
Panama,2050,In policy document,Yes
Romania,2050,In policy document,Yes
Russia,2060,In policy document,Yes
Saudi Arabia,2060,In policy document,Yes
Sudan,2050,Proposed / in discussion,Yes
Somalia,2050,Proposed / in discussion,Yes
Thailand,2065,In policy document,Yes
Tunisia,2050,In policy document,Yes
Tanzania,2050,Proposed / in discussion,Yes
Ukraine,2060,In policy document,Yes
Vietnam,2050,In policy document,Yes
South Sudan,2050,Proposed / in discussion,Yes
Singapore,2050,In policy document,Yes
European Union,2050,In law,Yes
Niue,2050,Proposed / in discussion,Yes
