name,slug,sourceName,description,sourceLink,dataPublishedBy,unit,shortUnit,tolerance,type,colorScaleNumericMinValue,colorScaleNumericBins,colorScaleEqualSizeBins,colorScaleScheme
Share of population below $1 a day,headcount_ratio_100,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $1 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Share of population below $2.15 a day,headcount_ratio_215,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $2.15 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Share of population below $3.65 a day,headcount_ratio_365,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $3.65 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Share of population below $6.85 a day,headcount_ratio_685,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $6.85 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Share of population below $10 a day,headcount_ratio_1000,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $10 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Share of population below $20 a day,headcount_ratio_2000,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $20 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Share of population below $30 a day,headcount_ratio_3000,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $30 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Share of population below $40 a day,headcount_ratio_4000,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $40 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Number of people below $1 a day,headcount_100,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $1 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Number of people below $2.15 a day,headcount_215,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $2.15 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Number of people below $3.65 a day,headcount_365,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $3.65 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Number of people below $6.85 a day,headcount_685,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $6.85 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Number of people below $10 a day,headcount_1000,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $10 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Number of people below $20 a day,headcount_2000,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $20 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Number of people below $30 a day,headcount_3000,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $30 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Number of people below $40 a day,headcount_4000,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $40 a day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
