Country,Year,lead_paint_regulation
Afghanistan,2023,No
Andorra,2023,No
Angola,2023,No
Antigua and Barbuda,2023,No
Azerbaijan,2023,No
Bahrain,2023,No
Barbados,2023,No
Belize,2023,No
Benin,2023,No
Bhutan,2023,No
Bosnia and Herzegovina,2023,No
Burkina Faso,2023,No
Burundi,2023,No
Cambodia,2023,No
Central African Republic,2023,No
Chad,2023,No
Comoros,2023,No
Congo,2023,No
Cote d'Ivoire,2023,No
Democratic Republic of Congo,2023,No
Djibouti,2023,No
El Salvador,2023,No
Eswatini,2023,No
Fiji,2023,No
Gabon,2023,No
Gambia,2023,No
Ghana,2023,No
Guatemala,2023,No
Guinea,2023,No
Guinea-Bissau,2023,No
Haiti,2023,No
Honduras,2023,No
Japan,2023,No
Lesotho,2023,No
Liberia,2023,No
Madagascar,2023,No
Malaysia,2023,No
Maldives,2023,No
Mali,2023,No
Mauritius,2023,No
Mongolia,2023,No
Mozambique,2023,No
Myanmar,2023,No
Nicaragua,2023,No
Niger,2023,No
Nigeria,2023,No
Palau,2023,No
Moldova,2023,No
Rwanda,2023,No
Saint Kitts and Nevis,2023,No
Saint Lucia,2023,No
Samoa,2023,No
Sao Tome and Principe,2023,No
Senegal,2023,No
Sierra Leone,2023,No
Singapore,2023,No
Solomon Islands,2023,No
Sudan,2023,No
Suriname,2023,No
Syria,2023,No
Tajikistan,2023,No
Timor,2023,No
Togo,2023,No
Tunisia,2023,No
Turkey,2023,No
Tuvalu,2023,No
Uganda,2023,No
Vanuatu,2023,No
Yemen,2023,No
Zambia,2023,No
Zimbabwe,2023,No
Albania,2023,Yes
Jamaica,2023,Yes
Egypt,2023,Yes
Paraguay,2023,Yes
South Korea,2023,Yes
Georgia,2023,Yes
Laos,2023,Yes
Morocco,2023,Yes
Peru,2023,Yes
Ukraine,2023,Yes
China,2023,Yes
Colombia,2023,Yes
Malawi,2023,Yes
Saudi Arabia,2023,Yes
Vietnam,2023,Yes
Israel,2023,Yes
Lebanon,2023,Yes
Bangladesh,2023,Yes
Ethiopia,2023,Yes
Jordan,2023,Yes
Kuwait,2023,Yes
Cameroon,2023,Yes
Kenya,2023,Yes
Pakistan,2023,Yes
Canada,2023,Yes
India,2023,Yes
Thailand,2023,Yes
Tanzania,2023,Yes
Serbia,2023,Yes
Armenia,2023,Yes
North Macedonia,2023,Yes
United Arab Emirates,2023,Yes
Ecuador,2023,Yes
Kyrgyzstan,2023,Yes
Mexico,2023,Yes
Philippines,2023,Yes
Montenegro,2023,Yes
Trinidad and Tobago,2023,Yes
Iraq,2023,Yes
Uruguay,2023,Yes
Belarus,2023,Yes
New Zealand,2023,Yes
Russia,2023,Yes
Argentina,2023,Yes
South Africa,2023,Yes
Australia,2023,Yes
Austria,2023,Yes
Belgium,2023,Yes
Brazil,2023,Yes
Bulgaria,2023,Yes
Croatia,2023,Yes
Cyprus,2023,Yes
Czechia,2023,Yes
Denmark,2023,Yes
Estonia,2023,Yes
Finland,2023,Yes
France,2023,Yes
Germany,2023,Yes
Greece,2023,Yes
Hungary,2023,Yes
Iceland,2023,Yes
Ireland,2023,Yes
Italy,2023,Yes
Latvia,2023,Yes
Liechtenstein,2023,Yes
Lithuania,2023,Yes
Luxembourg,2023,Yes
Malta,2023,Yes
Monaco,2023,Yes
Netherlands,2023,Yes
Norway,2023,Yes
Oman,2023,Yes
Poland,2023,Yes
Portugal,2023,Yes
Romania,2023,Yes
Slovakia,2023,Yes
Slovenia,2023,Yes
Spain,2023,Yes
Sweden,2023,Yes
United Kingdom,2023,Yes
Dominica,2023,Yes
Kazakhstan,2023,Yes
Switzerland,2023,Yes
Qatar,2023,Yes
Guyana,2023,Yes
Sri Lanka,2023,Yes
Algeria,2023,Yes
Chile,2023,Yes
Nepal,2023,Yes
Panama,2023,Yes
Costa Rica,2023,Yes
Cuba,2023,Yes
United States,2023,Yes
