entity,year,cumulative_exoplanets
Microlensing,1992,0
Other methods,1992,2
Radial velocity,1992,0
Transit,1992,0
Microlensing,1994,0
Other methods,1994,3
Radial velocity,1994,0
Transit,1994,0
Microlensing,1995,0
Other methods,1995,3
Radial velocity,1995,1
Transit,1995,0
Microlensing,1996,0
Other methods,1996,3
Radial velocity,1996,7
Transit,1996,0
Microlensing,1997,0
Other methods,1997,3
Radial velocity,1997,8
Transit,1997,0
Microlensing,1998,0
Other methods,1998,3
Radial velocity,1998,14
Transit,1998,0
Microlensing,1999,0
Other methods,1999,3
Radial velocity,1999,27
Transit,1999,0
Microlensing,2000,0
Other methods,2000,3
Radial velocity,2000,43
Transit,2000,0
Microlensing,2001,0
Other methods,2001,3
Radial velocity,2001,55
Transit,2001,0
Microlensing,2002,0
Other methods,2002,3
Radial velocity,2002,83
Transit,2002,1
Microlensing,2003,0
Other methods,2003,4
Radial velocity,2003,104
Transit,2003,1
Microlensing,2004,1
Other methods,2004,7
Radial velocity,2004,122
Transit,2004,6
Microlensing,2005,3
Other methods,2005,8
Radial velocity,2005,155
Transit,2005,6
Microlensing,2006,4
Other methods,2006,12
Radial velocity,2006,176
Transit,2006,11
Microlensing,2007,4
Other methods,2007,14
Radial velocity,2007,210
Transit,2007,27
Microlensing,2008,8
Other methods,2008,21
Radial velocity,2008,247
Transit,2008,44
Microlensing,2009,10
Other methods,2009,22
Radial velocity,2009,320
Transit,2009,62
Microlensing,2010,12
Other methods,2010,30
Radial velocity,2010,361
Transit,2010,108
Microlensing,2011,13
Other methods,2011,41
Radial velocity,2011,408
Transit,2011,187
Microlensing,2012,20
Other methods,2012,46
Radial velocity,2012,442
Transit,2012,280
Microlensing,2013,25
Other methods,2013,55
Radial velocity,2013,474
Transit,2013,360
Microlensing,2014,31
Other methods,2014,72
Radial velocity,2014,524
Transit,2014,1162
Microlensing,2015,35
Other methods,2015,78
Radial velocity,2015,571
Transit,2015,1262
Microlensing,2016,45
Other methods,2016,82
Radial velocity,2016,620
Transit,2016,2717
Microlensing,2017,54
Other methods,2017,88
Radial velocity,2017,669
Transit,2017,2806
Microlensing,2018,75
Other methods,2018,91
Radial velocity,2018,718
Transit,2018,3059
Microlensing,2019,89
Other methods,2019,101
Radial velocity,2019,784
Transit,2019,3172
Microlensing,2020,108
Other methods,2020,104
Radial velocity,2020,829
Transit,2020,3338
Microlensing,2021,128
Other methods,2021,116
Radial velocity,2021,907
Transit,2021,3753
Microlensing,2022,148
Other methods,2022,124
Radial velocity,2022,1022
Transit,2022,3941
