year,reporting_level,welfare_type,p99p100_share,country
2000,national,consumption,11.86330052665759,Angola
2008,national,consumption,7.5052688678873105,Angola
2018,national,consumption,14.02083023103554,Angola
1996,national,consumption,3.27914699000027,Albania
2002,national,consumption,4.97889772750813,Albania
2005,national,consumption,4.78027170412767,Albania
2008,national,consumption,5.62406501487626,Albania
2012,national,consumption,4.12425143725159,Albania
2014,national,consumption,4.25302302835214,Albania
2015,national,consumption,3.91395232866633,Albania
2016,national,consumption,3.96184820239067,Albania
2016,national,income,4.32129121612507,Albania
2017,national,consumption,4.32129121612507,Albania
2017,national,income,3.96797735610558,Albania
2018,national,consumption,3.96797735610558,Albania
2018,national,income,4.060400537126481,Albania
2019,national,consumption,4.060400537126481,Albania
2020,national,consumption,3.48321879797966,Albania
2014,national,income,2.44982394107763,United Arab Emirates
2019,national,income,2.9798959014565902,United Arab Emirates
1986,urban,income,7.47463972544952,Argentina
1987,urban,income,8.28857372433778,Argentina
1991,urban,income,10.74739007699954,Argentina
1992,urban,income,7.661899967546421,Argentina
1993,urban,income,7.50358048693691,Argentina
1994,urban,income,8.11686863687279,Argentina
1995,urban,income,8.83813934859744,Argentina
1996,urban,income,9.26600191712044,Argentina
1997,urban,income,8.02978600651982,Argentina
1998,urban,income,9.36743301697921,Argentina
1999,urban,income,8.625843982749549,Argentina
2000,urban,income,8.6276172852012,Argentina
2001,urban,income,9.00092703450042,Argentina
2002,urban,income,10.03784348025151,Argentina
2003,urban,income,9.79963777672039,Argentina
2004,urban,income,8.04151420135406,Argentina
2005,urban,income,8.12801907984543,Argentina
2006,urban,income,7.8104610121874005,Argentina
2007,urban,income,8.04227273798585,Argentina
2008,urban,income,7.27625540530413,Argentina
2009,urban,income,6.367844813797941,Argentina
2010,urban,income,6.60243864651444,Argentina
2011,urban,income,6.2713399933451806,Argentina
2012,urban,income,5.91029088240499,Argentina
2013,urban,income,5.66895102457522,Argentina
2014,urban,income,6.09584235882948,Argentina
2016,urban,income,6.17665211179959,Argentina
2017,urban,income,5.751686636341931,Argentina
2018,urban,income,5.92263296972394,Argentina
2019,urban,income,6.499500167280341,Argentina
2020,urban,income,5.7841345780888505,Argentina
2021,urban,income,6.939832453604371,Argentina
1996,national,income,9.990623234305861,Armenia
1999,national,consumption,7.501645744922531,Armenia
2001,national,consumption,6.393682303207671,Armenia
2002,national,consumption,6.89115138701142,Armenia
2003,national,consumption,7.534493029954691,Armenia
2004,national,consumption,9.02310430366881,Armenia
2005,national,consumption,8.55105918495362,Armenia
2006,national,consumption,5.162957186818129,Armenia
2007,national,consumption,4.89609114927684,Armenia
2008,national,consumption,4.7247209388268905,Armenia
2009,national,consumption,4.352560539187119,Armenia
2010,national,consumption,5.86680275392539,Armenia
2011,national,consumption,5.19498280858308,Armenia
2012,national,consumption,5.60550277734315,Armenia
2013,national,consumption,5.59484382907005,Armenia
2014,national,consumption,5.96631803821753,Armenia
2015,national,consumption,6.36207207789318,Armenia
2016,national,consumption,6.793430350087459,Armenia
2017,national,consumption,8.24990389046516,Armenia
2018,national,consumption,7.7573063546910905,Armenia
2019,national,consumption,6.0635313566476094,Armenia
2020,national,consumption,4.1559472718695405,Armenia
2021,national,consumption,5.11544833074086,Armenia
1981,national,income,3.6108550967476805,Australia
1985,national,income,5.15975506017543,Australia
1989,national,income,4.63349853432106,Australia
1995,national,income,4.57024421203998,Australia
2001,national,income,4.7022342182749,Australia
2003,national,income,4.824930190521981,Australia
2004,national,income,4.96944069882892,Australia
2008,national,income,7.38223319717696,Australia
2010,national,income,6.606057026813369,Australia
2014,national,income,6.43264178684577,Australia
2016,national,income,5.65783112396257,Australia
2018,national,income,6.35645567193189,Australia
1994,national,income,4.70457090110135,Austria
1995,national,income,4.50054878597764,Austria
1996,national,income,4.50668545103955,Austria
1997,national,income,4.0200857703221,Austria
1998,national,income,5.86582009855396,Austria
1999,national,income,4.66745323897892,Austria
2000,national,income,4.12599364014865,Austria
2003,national,income,4.73516741517445,Austria
2004,national,income,4.6651217615394796,Austria
2005,national,income,4.06551329012711,Austria
2006,national,income,4.78435053760203,Austria
2007,national,income,4.5666321509877,Austria
2008,national,income,4.90202096477723,Austria
2009,national,income,5.13325776978783,Austria
2010,national,income,4.43552427289087,Austria
2011,national,income,4.69578176319042,Austria
2012,national,income,4.43108803216849,Austria
2013,national,income,5.46172706344468,Austria
2014,national,income,5.18549703563808,Austria
2015,national,income,5.23138555819697,Austria
2016,national,income,4.79007877399986,Austria
2017,national,income,4.34467421607136,Austria
2018,national,income,5.01146666649621,Austria
2019,national,income,4.34512747889293,Austria
2020,national,income,4.37100787813704,Austria
1995,national,consumption,5.26351795045389,Azerbaijan
2001,national,consumption,6.620536768688,Azerbaijan
2002,national,consumption,5.0017896071994405,Azerbaijan
2003,national,consumption,5.03910602227041,Azerbaijan
2004,national,consumption,5.75005592171936,Azerbaijan
2005,national,consumption,5.49299071823991,Azerbaijan
1992,national,consumption,5.03113987146942,Burundi
1998,national,consumption,8.699499520826489,Burundi
2006,national,consumption,5.8934388882145905,Burundi
2013,national,consumption,7.064598904855051,Burundi
1985,national,income,3.5021789294381898,Belgium
1988,national,income,4.19146352572084,Belgium
1992,national,income,3.21333727026496,Belgium
1995,national,income,4.75794125503295,Belgium
1997,national,income,3.70355378209848,Belgium
2000,national,income,11.47058097708938,Belgium
2003,national,income,4.21256232174407,Belgium
2004,national,income,8.05667303207855,Belgium
2005,national,income,6.34360602452329,Belgium
2006,national,income,4.385245989460341,Belgium
2007,national,income,5.67382533490172,Belgium
2008,national,income,4.97702208526364,Belgium
2009,national,income,4.94768842471077,Belgium
2010,national,income,4.92594222147735,Belgium
2011,national,income,4.57229109079279,Belgium
2012,national,income,4.26840102158764,Belgium
2013,national,income,4.16174934165151,Belgium
2014,national,income,4.66054583983739,Belgium
2015,national,income,4.3773745187897,Belgium
2016,national,income,4.508648282664749,Belgium
2017,national,income,4.4305502413112405,Belgium
2018,national,income,4.866594579833531,Belgium
2019,national,income,5.17754516704656,Belgium
2020,national,income,4.56954573089831,Belgium
2003,national,consumption,8.01249074494478,Benin
2011,national,consumption,7.6191696723570095,Benin
2015,national,consumption,9.07226372534364,Benin
2018,national,consumption,6.80722400066644,Benin
1994,national,consumption,11.18406288779953,Burkina Faso
1998,national,consumption,14.830209628174151,Burkina Faso
2003,national,consumption,9.17958495544298,Burkina Faso
2009,national,consumption,8.370893569736081,Burkina Faso
2014,national,consumption,6.8317442542943505,Burkina Faso
2018,national,consumption,8.353725999338819,Burkina Faso
1983,national,consumption,3.81305074489213,Bangladesh
1985,national,consumption,4.75315872310218,Bangladesh
1988,national,consumption,5.27000633500749,Bangladesh
1991,national,consumption,4.70635074384799,Bangladesh
1995,national,consumption,6.663228915246861,Bangladesh
2000,national,consumption,6.285642351632929,Bangladesh
2005,national,consumption,6.2675405043396495,Bangladesh
2010,national,consumption,6.06225055455515,Bangladesh
