country,year,pip_reporting_level,pip_welfare,indicator_code,value,indicator_name,welfare,unit_resource_sharing
Albania,1996,national,consumption,headcount_ratio_50_median,7.54812303918347,Share below 50% median,Consumption,"Household, per capita"
Albania,2002,national,consumption,headcount_ratio_50_median,8.406372784532019,Share below 50% median,Consumption,"Household, per capita"
Albania,2005,national,consumption,headcount_ratio_50_median,8.99153251423932,Share below 50% median,Consumption,"Household, per capita"
Albania,2008,national,consumption,headcount_ratio_50_median,7.227714347122539,Share below 50% median,Consumption,"Household, per capita"
Albania,2012,national,consumption,headcount_ratio_50_median,7.75311184523735,Share below 50% median,Consumption,"Household, per capita"
Albania,2014,national,consumption,headcount_ratio_50_median,14.37582774078003,Share below 50% median,Consumption,"Household, per capita"
Albania,2015,national,consumption,headcount_ratio_50_median,10.77823508542475,Share below 50% median,Consumption,"Household, per capita"
Albania,2016,national,consumption,headcount_ratio_50_median,12.71899533854483,Share below 50% median,Consumption,"Household, per capita"
Albania,2016,national,income,headcount_ratio_50_median,19.57238352960146,Share below 50% median,Disposable income,"Household, per capita"
Albania,2017,national,consumption,headcount_ratio_50_median,11.654406498098387,Share below 50% median,Consumption,"Household, per capita"
Albania,2017,national,income,headcount_ratio_50_median,18.91858559378516,Share below 50% median,Disposable income,"Household, per capita"
Albania,2018,national,consumption,headcount_ratio_50_median,11.77378607783045,Share below 50% median,Consumption,"Household, per capita"
Albania,2018,national,income,headcount_ratio_50_median,17.6749242038351,Share below 50% median,Disposable income,"Household, per capita"
Albania,2019,national,consumption,headcount_ratio_50_median,9.21500694943522,Share below 50% median,Consumption,"Household, per capita"
Algeria,1988,national,consumption,headcount_ratio_50_median,13.85694878471936,Share below 50% median,Consumption,"Household, per capita"
Algeria,1995,national,consumption,headcount_ratio_50_median,14.16732421875,Share below 50% median,Consumption,"Household, per capita"
Algeria,2011,national,consumption,headcount_ratio_50_median,6.258749999999989,Share below 50% median,Consumption,"Household, per capita"
Angola,2000,national,consumption,headcount_ratio_50_median,23.44608054653903,Share below 50% median,Consumption,"Household, per capita"
Angola,2008,national,consumption,headcount_ratio_50_median,17.1125910293619,Share below 50% median,Consumption,"Household, per capita"
Angola,2018,national,consumption,headcount_ratio_50_median,22.79037353043551,Share below 50% median,Consumption,"Household, per capita"
Argentina,1980,urban,income,headcount_ratio_50_median,19.31766113281249,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1986,urban,income,headcount_ratio_50_median,17.85650705063703,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1987,urban,income,headcount_ratio_50_median,18.72449386082168,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1991,urban,income,headcount_ratio_50_median,17.21424057398389,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1992,urban,income,headcount_ratio_50_median,19.55883620332938,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1993,urban,income,headcount_ratio_50_median,20.09194929613933,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1994,urban,income,headcount_ratio_50_median,20.7224954433599,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1995,urban,income,headcount_ratio_50_median,21.19430084422136,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1996,urban,income,headcount_ratio_50_median,22.554066267795992,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1997,urban,income,headcount_ratio_50_median,22.22956284061027,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1998,urban,income,headcount_ratio_50_median,23.020370813119868,Share below 50% median,Disposable income,"Household, per capita"
Argentina,1999,urban,income,headcount_ratio_50_median,22.4734556445175,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2000,urban,income,headcount_ratio_50_median,24.47724366539762,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2001,urban,income,headcount_ratio_50_median,25.0666809139068,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2002,urban,income,headcount_ratio_50_median,25.93698632826069,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2003,urban,income,headcount_ratio_50_median,24.48366124129906,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2004,urban,income,headcount_ratio_50_median,24.08317660042518,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2005,urban,income,headcount_ratio_50_median,23.620168823728648,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2006,urban,income,headcount_ratio_50_median,22.97757229862514,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2007,urban,income,headcount_ratio_50_median,23.21731266972603,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2008,urban,income,headcount_ratio_50_median,21.88611218676291,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2009,urban,income,headcount_ratio_50_median,22.14033503983347,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2010,urban,income,headcount_ratio_50_median,21.585410475262982,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2011,urban,income,headcount_ratio_50_median,20.67056278925361,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2012,urban,income,headcount_ratio_50_median,20.21813792024069,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2013,urban,income,headcount_ratio_50_median,20.17892109669326,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2014,urban,income,headcount_ratio_50_median,20.21038870924439,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2016,urban,income,headcount_ratio_50_median,20.713871916208408,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2017,urban,income,headcount_ratio_50_median,19.68046008513552,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2018,urban,income,headcount_ratio_50_median,20.23538502732417,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2019,urban,income,headcount_ratio_50_median,21.19709992980835,Share below 50% median,Disposable income,"Household, per capita"
Argentina,2020,urban,income,headcount_ratio_50_median,21.2034271148775,Share below 50% median,Disposable income,"Household, per capita"
Armenia,1996,national,income,headcount_ratio_50_median,16.7302880859375,Share below 50% median,Disposable income,"Household, per capita"
Armenia,1999,national,consumption,headcount_ratio_50_median,9.3244946036268,Share below 50% median,Consumption,"Household, per capita"
Armenia,2001,national,consumption,headcount_ratio_50_median,9.2677024200717,Share below 50% median,Consumption,"Household, per capita"
Armenia,2002,national,consumption,headcount_ratio_50_median,7.3418910457107,Share below 50% median,Consumption,"Household, per capita"
Armenia,2003,national,consumption,headcount_ratio_50_median,6.2292013311148,Share below 50% median,Consumption,"Household, per capita"
Armenia,2004,national,consumption,headcount_ratio_50_median,8.04335625087694,Share below 50% median,Consumption,"Household, per capita"
Armenia,2005,national,consumption,headcount_ratio_50_median,6.910645671079959,Share below 50% median,Consumption,"Household, per capita"
Armenia,2006,national,consumption,headcount_ratio_50_median,7.00212153754825,Share below 50% median,Consumption,"Household, per capita"
Armenia,2007,national,consumption,headcount_ratio_50_median,8.223758919847329,Share below 50% median,Consumption,"Household, per capita"
Armenia,2008,national,consumption,headcount_ratio_50_median,6.432164852605659,Share below 50% median,Consumption,"Household, per capita"
Armenia,2009,national,consumption,headcount_ratio_50_median,5.74275752125277,Share below 50% median,Consumption,"Household, per capita"
Armenia,2010,national,consumption,headcount_ratio_50_median,6.08008008235895,Share below 50% median,Consumption,"Household, per capita"
Armenia,2011,national,consumption,headcount_ratio_50_median,6.52797141686997,Share below 50% median,Consumption,"Household, per capita"
