,region,year,population
0,EE & CA,-10000,749642
1,EE & CA,-9000,884753
2,EE & CA,-8000,1049320
3,EE & CA,-7000,1253143
4,EE & CA,-6000,1546715
5,EE & CA,-5000,1894568
6,EE & CA,-4000,2362949
7,EE & CA,-3000,3017705
8,EE & CA,-2000,4191518
9,EE & CA,-1000,5790189
10,EE & CA,0,8474648
11,EE & CA,100,9011415
12,EE & CA,200,9566008
13,EE & CA,300,9858652
14,EE & CA,400,10165874
15,EE & CA,500,10126770
16,EE & CA,600,10108291
17,EE & CA,700,10855200
18,EE & CA,800,11641404
19,EE & CA,900,12638676
20,EE & CA,1000,13636832
21,EE & CA,1100,16793040
22,EE & CA,1200,23293105
23,EE & CA,1300,25874990
24,EE & CA,1400,24225748
25,EE & CA,1500,29946368
26,EE & CA,1600,36846108
27,EE & CA,1700,42109935
28,EE & CA,1710,44969545
29,EE & CA,1720,48092552
30,EE & CA,1730,51303651
31,EE & CA,1740,54609673
32,EE & CA,1750,58017664
33,EE & CA,1760,61534576
34,EE & CA,1770,65169672
35,EE & CA,1780,68930822
36,EE & CA,1790,72829311
37,EE & CA,1800,88812433
38,EE & CA,1801,88574829
39,EE & CA,1802,88722327
40,EE & CA,1803,88871138
41,EE & CA,1804,89021274
42,EE & CA,1805,89172748
43,EE & CA,1806,89325572
44,EE & CA,1807,89479758
45,EE & CA,1808,89635318
46,EE & CA,1809,89792267
47,EE & CA,1810,89952030
48,EE & CA,1811,90125566
49,EE & CA,1812,90314418
50,EE & CA,1813,90518729
51,EE & CA,1814,90738640
52,EE & CA,1815,90974295
53,EE & CA,1816,91225838
54,EE & CA,1817,91493420
55,EE & CA,1818,91777183
56,EE & CA,1819,92131101
57,EE & CA,1820,92939564
58,EE & CA,1821,93051769
59,EE & CA,1822,93619723
60,EE & CA,1823,94260232
61,EE & CA,1824,94920092
62,EE & CA,1825,95603159
63,EE & CA,1826,96354233
64,EE & CA,1827,97126060
65,EE & CA,1828,97918836
66,EE & CA,1829,98732761
67,EE & CA,1830,99568027
68,EE & CA,1831,100384264
69,EE & CA,1832,101207713
70,EE & CA,1833,102038431
71,EE & CA,1834,102876499
72,EE & CA,1835,103721963
73,EE & CA,1836,104574909
74,EE & CA,1837,105435396
75,EE & CA,1838,106303492
76,EE & CA,1839,107179274
77,EE & CA,1840,108062807
78,EE & CA,1841,108958205
79,EE & CA,1842,109861546
80,EE & CA,1843,110772906
81,EE & CA,1844,111692365
82,EE & CA,1845,112619986
83,EE & CA,1846,113555849
84,EE & CA,1847,114500027
85,EE & CA,1848,115452599
86,EE & CA,1849,116426121
87,EE & CA,1850,117420963
88,EE & CA,1851,118424948
89,EE & CA,1852,119450744
90,EE & CA,1853,120498708
91,EE & CA,1854,121556737
92,EE & CA,1855,122624938
93,EE & CA,1856,123703403
94,EE & CA,1857,124792247
95,EE & CA,1858,125891564
96,EE & CA,1859,127001465
97,EE & CA,1860,128122058
98,EE & CA,1861,129247747
99,EE & CA,1862,130384279
100,EE & CA,1863,131531753
101,EE & CA,1864,132690291
102,EE & CA,1865,133859995
103,EE & CA,1866,135040980
104,EE & CA,1867,136233368
105,EE & CA,1868,137437262
106,EE & CA,1869,138666271
107,EE & CA,1870,139920840
108,EE & CA,1871,141150144
109,EE & CA,1872,142461704
110,EE & CA,1873,143800248
111,EE & CA,1874,145152785
112,EE & CA,1875,146519470
113,EE & CA,1876,147900464
114,EE & CA,1877,149295927
115,EE & CA,1878,150706026
116,EE & CA,1879,152136541
117,EE & CA,1880,153587697
118,EE & CA,1881,155057499
119,EE & CA,1882,156548361
120,EE & CA,1883,158060524
121,EE & CA,1884,159588587
122,EE & CA,1885,161132737
123,EE & CA,1886,162693159
124,EE & CA,1887,164270027
125,EE & CA,1888,165863545
126,EE & CA,1889,167442976
127,EE & CA,1890,169007828
128,EE & CA,1891,170566314
129,EE & CA,1892,172109279
130,EE & CA,1893,173636182
131,EE & CA,1894,175177323
132,EE & CA,1895,176732849
133,EE & CA,1896,178302897
134,EE & CA,1897,179887612
135,EE & CA,1898,181487141
136,EE & CA,1899,183100329
137,EE & CA,1900,184727283
138,EE & CA,1901,186373584
139,EE & CA,1902,188032404
140,EE & CA,1903,189704851
141,EE & CA,1904,191392326
142,EE & CA,1905,193094977
143,EE & CA,1906,194811953
144,EE & CA,1907,196546403
145,EE & CA,1908,198295490
146,EE & CA,1909,199902969
147,EE & CA,1910,201370962
148,EE & CA,1911,202663248
149,EE & CA,1912,203840187
150,EE & CA,1913,204885754
151,EE & CA,1914,205950110
152,EE & CA,1915,206976235
153,EE & CA,1916,207956115
154,EE & CA,1917,208926737
155,EE & CA,1918,209905660
156,EE & CA,1919,211135948
157,EE & CA,1920,212714352
158,EE & CA,1921,214471673
159,EE & CA,1922,216527777
160,EE & CA,1923,218770600
161,EE & CA,1924,221033450
162,EE & CA,1925,223333639
163,EE & CA,1926,225640504
164,EE & CA,1927,227953361
165,EE & CA,1928,230292546
166,EE & CA,1929,232580200
167,EE & CA,1930,234819996
168,EE & CA,1931,237013597
169,EE & CA,1932,239149638
170,EE & CA,1933,241225711
171,EE & CA,1934,243315613
172,EE & CA,1935,245417547
173,EE & CA,1936,247532734
174,EE & CA,1937,249664388
175,EE & CA,1938,251788729
176,EE & CA,1939,253982671
177,EE & CA,1940,255831706
178,EE & CA,1941,257427267
179,EE & CA,1942,258811748
180,EE & CA,1943,260086504
181,EE & CA,1944,261482144
182,EE & CA,1945,262415673
183,EE & CA,1946,262623100
184,EE & CA,1947,263270445
185,EE & CA,1948,264753210
186,EE & CA,1949,266637939
187,EE & CA,1950,269450390
188,EE & CA,1951,273484984
189,EE & CA,1952,277652812
190,EE & CA,1953,281973900
191,EE & CA,1954,286405264
192,EE & CA,1955,290952346
193,EE & CA,1956,295571897
194,EE & CA,1957,300224429
195,EE & CA,1958,304973889
196,EE & CA,1959,309690321
197,EE & CA,1960,314387980
198,EE & CA,1961,319126510
199,EE & CA,1962,323589856
