year,reporting_level,welfare_type,percentile,avg_welfare,pop_share,top1_share_wb,quantile,country
2000,national,consumption,100,87.10384696,0.01004368,0.118633005,699.5363518,Angola
2008,national,consumption,100,48.76959866,0.010024167,0.075052689,365.274818,Angola
2018,national,consumption,100,76.71420822,0.010019566,0.140208302,894.0250102,Angola
1996,national,consumption,100,25.86333464,0.01005825,0.03279147,59.02183471,Albania
2002,national,consumption,100,40.28348613,0.010021487,0.049788977,117.1886962,Albania
2005,national,consumption,100,43.75145962,0.010014717,0.047802717,98.76206782,Albania
2008,national,consumption,100,56.31401669,0.010025091,0.05624065,234.4722863,Albania
2012,national,consumption,100,39.09458777,0.010040125,0.041242514,115.2703765,Albania
2014,national,consumption,100,43.00384276,0.010029621,0.04253023,101.8826004,Albania
2015,national,consumption,100,47.05971776,0.010026442,0.039139523,60.84417673,Albania
2016,national,consumption,100,49.61686845,0.010013914,0.039618482,75.95942474,Albania
2016,national,income,100,48.13667695,0.010052692,0.048623854,90.32429717,Albania
2017,national,consumption,100,48.15884055,0.010001142,0.038807097,64.20771583,Albania
2017,national,income,100,47.48557478,0.010004947,0.045633463,117.5162236,Albania
2018,national,consumption,100,46.18447227,0.010010883,0.034719866,70.66823527,Albania
2018,national,income,100,47.206752,0.010058323,0.043572562,128.9009038,Albania
2019,national,consumption,100,51.56392784,0.010100636,0.037878899,87.82181853,Albania
2020,national,consumption,100,48.55313598,0.010009349,0.034832188,67.25042115,Albania
2013,national,income,100,177.4920733,0.01,0.024498239,,United Arab Emirates
2018,national,income,100,234.74399,0.01,0.029798959,,United Arab Emirates
1980,urban,income,100,180.9761861,0.01,0.055731566,,Argentina
1986,urban,income,100,261.0233356,0.010070547,0.074746397,792.7286614,Argentina
1987,urban,income,100,265.1081775,0.010050272,0.082885737,1233.633896,Argentina
1991,urban,income,100,243.5142899,0.010067547,0.107473901,1144.497068,Argentina
1992,urban,income,100,175.6656225,0.010033714,0.076619,744.651594,Argentina
1993,urban,income,100,172.8767982,0.010005902,0.075035805,719.9715604,Argentina
1994,urban,income,100,184.8018218,0.010002975,0.081168686,520.746247,Argentina
1995,urban,income,100,191.144992,0.010003051,0.088381393,695.2176112,Argentina
1996,urban,income,100,195.8545323,0.010026522,0.092660019,746.0189055,Argentina
1997,urban,income,100,177.0685144,0.010070417,0.08029786,778.8731746,Argentina
1998,urban,income,100,201.6958529,0.01001495,0.09367433,1482.230487,Argentina
1999,urban,income,100,177.2487138,0.010002979,0.08625844,748.866908,Argentina
