country,year,pipreportinglevel,pipwelfare,value
Albania,1996,national,consumption,0.03279147
Albania,2002,national,consumption,0.049788978
Albania,2005,national,consumption,0.047802716
Albania,2008,national,consumption,0.05624065
Albania,2012,national,consumption,0.041242514
Albania,2014,national,consumption,0.04253023
Albania,2015,national,consumption,0.039139524
Albania,2016,national,consumption,0.03961848
Albania,2016,national,income,0.048623852
Albania,2017,national,consumption,0.038807098
Albania,2017,national,income,0.04563346
Albania,2018,national,consumption,0.034719866
Albania,2018,national,income,0.043572564
Albania,2019,national,consumption,0.037878897
Albania,2020,national,consumption,0.034832187
Algeria,1988,national,consumption,0.11308118
Algeria,1995,national,consumption,0.04563192
Algeria,2011,national,consumption,0.038747866
Angola,2000,national,consumption,0.118633
Angola,2008,national,consumption,0.075052686
Angola,2018,national,consumption,0.1402083
Argentina,1980,urban,income,0.055731565
Argentina,1986,urban,income,0.0747464
Argentina,1987,urban,income,0.082885735
Argentina,1991,urban,income,0.1074739
Argentina,1992,urban,income,0.076619
Argentina,1993,urban,income,0.0750358
Argentina,1994,urban,income,0.08116869
Argentina,1995,urban,income,0.088381395
Argentina,1996,urban,income,0.09266002
Argentina,1997,urban,income,0.08029786
Argentina,1998,urban,income,0.09367433
Argentina,1999,urban,income,0.08625844
Argentina,2000,urban,income,0.08627617
Argentina,2001,urban,income,0.09000927
Argentina,2002,urban,income,0.10037843
Argentina,2003,urban,income,0.09811251
Argentina,2004,urban,income,0.08060573
Argentina,2005,urban,income,0.081422865
Argentina,2006,urban,income,0.07816583
Argentina,2007,urban,income,0.08071894
Argentina,2008,urban,income,0.073052704
Argentina,2009,urban,income,0.063803956
Argentina,2010,urban,income,0.06613079
Argentina,2011,urban,income,0.06274267
Argentina,2012,urban,income,0.0593114
Argentina,2013,urban,income,0.056876905
Argentina,2014,urban,income,0.06145358
Argentina,2016,urban,income,0.06316046
Argentina,2017,urban,income,0.058403004
Argentina,2018,urban,income,0.060278196
Argentina,2019,urban,income,0.06633179
Argentina,2020,urban,income,0.059017487
Argentina,2021,urban,income,0.07133378
Argentina,2022,urban,income,0.05673435
Armenia,1996,national,income,0.099906236
Armenia,1999,national,consumption,0.075016454
Armenia,2001,national,consumption,0.06393682
Armenia,2002,national,consumption,0.068911515
Armenia,2003,national,consumption,0.07534493
Armenia,2004,national,consumption,0.090231046
Armenia,2005,national,consumption,0.08551059
Armenia,2006,national,consumption,0.051629573
Armenia,2007,national,consumption,0.048960913
Armenia,2008,national,consumption,0.04724721
Armenia,2009,national,consumption,0.043525606
Armenia,2010,national,consumption,0.05866803
Armenia,2011,national,consumption,0.05194983
Armenia,2012,national,consumption,0.056055028
Armenia,2013,national,consumption,0.05594844
Armenia,2014,national,consumption,0.05966318
Armenia,2015,national,consumption,0.063620724
Armenia,2016,national,consumption,0.067934304
Armenia,2017,national,consumption,0.08249904
Armenia,2018,national,consumption,0.07757306
Armenia,2019,national,consumption,0.060635313
Armenia,2020,national,consumption,0.041559473
