country,year,pipreportinglevel,pipwelfare,value
Albania,1996,national,consumption,0.21451713
Albania,2002,national,consumption,0.25454164
Albania,2005,national,consumption,0.24343303
Albania,2008,national,consumption,0.24466233
Albania,2012,national,consumption,0.22936356
Albania,2014,national,consumption,0.25550964
Albania,2015,national,consumption,0.24779451
Albania,2016,national,consumption,0.2505373
Albania,2016,national,income,0.2747379
Albania,2017,national,consumption,0.24616201
Albania,2017,national,income,0.26454222
Albania,2018,national,consumption,0.22743732
Albania,2018,national,income,0.26009676
Albania,2019,national,consumption,0.23658109
Albania,2020,national,consumption,0.22773746
Algeria,1988,national,consumption,0.32812366
Algeria,1995,national,consumption,0.26888585
Algeria,2011,national,consumption,0.22862358
Angola,2000,national,consumption,0.40266576
Angola,2008,national,consumption,0.32313234
Angola,2018,national,consumption,0.3962632
Argentina,1980,urban,income,0.3017537
Argentina,1986,urban,income,0.32209706
Argentina,1987,urban,income,0.34260577
Argentina,1991,urban,income,0.36613446
Argentina,1992,urban,income,0.34305906
Argentina,1993,urban,income,0.33205158
Argentina,1994,urban,income,0.34460637
Argentina,1995,urban,income,0.369761
Argentina,1996,urban,income,0.36892435
Argentina,1997,urban,income,0.3638767
Argentina,1998,urban,income,0.38054982
Argentina,1999,urban,income,0.37058988
Argentina,2000,urban,income,0.37701136
Argentina,2001,urban,income,0.39477834
Argentina,2002,urban,income,0.40530285
Argentina,2003,urban,income,0.3775378
Argentina,2004,urban,income,0.35306597
Argentina,2005,urban,income,0.34972435
Argentina,2006,urban,income,0.33801287
Argentina,2007,urban,income,0.337463
Argentina,2008,urban,income,0.32478306
Argentina,2009,urban,income,0.31318647
Argentina,2010,urban,income,0.3176301
Argentina,2011,urban,income,0.31013972
Argentina,2012,urban,income,0.29759705
Argentina,2013,urban,income,0.2946666
Argentina,2014,urban,income,0.3008097
Argentina,2016,urban,income,0.307063
Argentina,2017,urban,income,0.29956782
Argentina,2018,urban,income,0.3014859
Argentina,2019,urban,income,0.31350085
Argentina,2020,urban,income,0.30637825
Argentina,2021,urban,income,0.3125512
Argentina,2022,urban,income,0.29820797
Armenia,1996,national,income,0.35221514
Armenia,1999,national,consumption,0.29633754
Armenia,2001,national,consumption,0.2910801
Armenia,2002,national,consumption,0.29004866
Armenia,2003,national,consumption,0.28203657
Armenia,2004,national,consumption,0.3168965
Armenia,2005,national,consumption,0.3078408
Armenia,2006,national,consumption,0.24464072
Armenia,2007,national,consumption,0.25123528
Armenia,2008,national,consumption,0.23691162
Armenia,2009,national,consumption,0.22923778
Armenia,2010,national,consumption,0.25041285
Armenia,2011,national,consumption,0.23971051
Armenia,2012,national,consumption,0.24541134
Armenia,2013,national,consumption,0.24690422
Armenia,2014,national,consumption,0.2574725
Armenia,2015,national,consumption,0.26745066
Armenia,2016,national,consumption,0.25285268
Armenia,2017,national,consumption,0.28374755
Armenia,2018,national,consumption,0.29215407
Armenia,2019,national,consumption,0.2525098
Armenia,2020,national,consumption,0.21458453
Armenia,2021,national,consumption,0.23563178
Armenia,2022,national,consumption,0.2300137
Australia,1981,national,income,0.23345962
Australia,1985,national,income,0.24882396
Australia,1989,national,income,0.24709672
Australia,1995,national,income,0.24637267
Australia,2001,national,income,0.25103843
Australia,2003,national,income,0.251494
Australia,2004,national,income,0.25348788
Australia,2008,national,income,0.28000957
Australia,2010,national,income,0.27025723
Australia,2014,national,income,0.2703812
Australia,2016,national,income,0.25844136
Australia,2018,national,income,0.2665043
Austria,1994,national,income,0.24028787
Austria,1995,national,income,0.2340224
Austria,1996,national,income,0.23198912
Austria,1997,national,income,0.22694467
Austria,1998,national,income,0.25070125
Austria,1999,national,income,0.23791896
Austria,2000,national,income,0.22984129
Austria,2003,national,income,0.2346943
Austria,2004,national,income,0.23852065
Austria,2005,national,income,0.22852038
Austria,2006,national,income,0.23714189
Austria,2007,national,income,0.23853081
Austria,2008,national,income,0.24110582
Austria,2009,national,income,0.24690835
Austria,2010,national,income,0.23573232
Austria,2011,national,income,0.23690999
Austria,2012,national,income,0.2345689
Austria,2013,national,income,0.24287389
Austria,2014,national,income,0.24069107
Austria,2015,national,income,0.23850232
Austria,2016,national,income,0.23856908
Austria,2017,national,income,0.23006994
Austria,2018,national,income,0.23922175
Austria,2019,national,income,0.23218001
Austria,2020,national,income,0.23103517
Austria,2021,national,income,0.23796575
Azerbaijan,1995,national,consumption,0.26824102
Azerbaijan,2001,national,consumption,0.29524136
Azerbaijan,2002,national,consumption,0.23186685
Azerbaijan,2003,national,consumption,0.23592561
Azerbaijan,2004,national,consumption,0.24357249
Azerbaijan,2005,national,consumption,0.24185592
Bangladesh,1983,national,consumption,0.2186563
Bangladesh,1985,national,consumption,0.23405549
Bangladesh,1988,national,consumption,0.24582231
Bangladesh,1991,national,consumption,0.2329663
Bangladesh,1995,national,consumption,0.28102493
Bangladesh,2000,national,consumption,0.2786613
Bangladesh,2005,national,consumption,0.27997068
Bangladesh,2010,national,consumption,0.2692915
Bangladesh,2016,national,consumption,0.26838613
Bangladesh,2022,national,consumption,0.27386728
Belarus,1993,national,income,0.19404814
Belarus,1995,national,income,0.22574207
Belarus,1998,national,consumption,0.24918869
Belarus,1999,national,consumption,0.24049968
Belarus,2000,national,consumption,0.24057728
Belarus,2001,national,consumption,0.23994675
Belarus,2002,national,consumption,0.24031085
Belarus,2003,national,consumption,0.2263919
Belarus,2004,national,consumption,0.21354094
Belarus,2005,national,consumption,0.21809229
Belarus,2006,national,consumption,0.22404367
Belarus,2007,national,consumption,0.235763
Belarus,2008,national,consumption,0.22338013
Belarus,2009,national,consumption,0.22589298
Belarus,2010,national,consumption,0.22854367
Belarus,2011,national,consumption,0.21869755
Belarus,2012,national,consumption,0.21800196
Belarus,2013,national,consumption,0.22067377
Belarus,2014,national,consumption,0.2259867
Belarus,2015,national,consumption,0.21213885
Belarus,2016,national,consumption,0.21276785
Belarus,2017,national,consumption,0.21280867
Belarus,2018,national,consumption,0.21400213
Belarus,2019,national,consumption,0.21326849
Belarus,2020,national,consumption,0.20732135
Belgium,1985,national,income,0.2066575
Belgium,1988,national,income,0.21104947
Belgium,1992,national,income,0.2018543
Belgium,1995,national,income,0.22931066
Belgium,1997,national,income,0.21594486
Belgium,2000,national,income,0.28336546
Belgium,2003,national,income,0.22247285
Belgium,2004,national,income,0.25122482
Belgium,2005,national,income,0.23879671
Belgium,2006,national,income,0.22412646
Belgium,2007,national,income,0.23547277
Belgium,2008,national,income,0.2273045
Belgium,2009,national,income,0.22721225
Belgium,2010,national,income,0.22751027
Belgium,2011,national,income,0.22353509
Belgium,2012,national,income,0.21949759
Belgium,2013,national,income,0.21833588
Belgium,2014,national,income,0.2245413
Belgium,2015,national,income,0.22228432
Belgium,2016,national,income,0.22168009
Belgium,2017,national,income,0.21958883
Belgium,2018,national,income,0.22245464
Belgium,2019,national,income,0.22320478
Belgium,2020,national,income,0.2137034
Belgium,2021,national,income,0.21875314
Belize,1993,national,income,0.51156276
Belize,1994,national,income,0.52520806
Belize,1995,national,consumption,0.44175878
Belize,1996,national,income,0.46549258
Belize,1997,national,income,0.5031776
Belize,1998,national,income,0.43721896
Belize,1999,national,income,0.42449546
Benin,2003,national,consumption,0.31123257
Benin,2011,national,consumption,0.3447897
Benin,2015,national,consumption,0.37625027
Benin,2018,national,consumption,0.3004681
Benin,2021,national,consumption,0.27163082
Bhutan,2003,national,consumption,0.32222456
Bhutan,2007,national,consumption,0.29369026
Bhutan,2012,national,consumption,0.3074015
Bhutan,2017,national,consumption,0.27934486
Bhutan,2022,national,consumption,0.22708324
Bolivia,1990,urban,income,0.3174087
