Country,Year,cumulative_individuals,annual_visits,cumulative_visits
Afghanistan,1988,1.0,1,1
Austria,1991,1.0,1,1
Belgium,1992,1.0,1,1
Belgium,2002,2.0,1,2
Belgium,2009,,1,3
Brazil,2006,1.0,1,1
Bulgaria,1979,1.0,1,1
Bulgaria,1988,2.0,1,2
Canada,1984,1.0,1,1
Canada,1992,3.0,2,3
Canada,1995,4.0,1,4
Canada,1996,5.0,2,6
Canada,1997,6.0,1,7
Canada,1998,7.0,1,8
Canada,1999,8.0,1,9
Canada,2000,,1,10
Canada,2001,,1,11
Canada,2006,,1,12
Canada,2007,,1,13
Canada,2009,9.0,3,16
Canada,2012,,1,17
Canada,2018,10.0,1,18
China,2003,1.0,1,1
China,2005,3.0,2,3
China,2008,6.0,3,6
China,2012,8.0,3,9
China,2013,10.0,3,12
China,2016,11.0,2,14
Cuba,1980,1.0,1,1
Czechia,1978,1.0,1,1
Denmark,2015,1.0,1,1
France,1982,1.0,1,1
France,1985,2.0,1,2
France,1988,,1,3
France,1992,3.0,1,4
France,1993,4.0,1,5
France,1994,5.0,1,6
France,1996,7.0,2,8
France,1997,,2,10
France,1998,8.0,1,11
France,1999,,3,14
France,2001,,1,15
France,2002,9.0,1,16
France,2008,,1,17
France,2016,10.0,1,18
France,2021,,1,19
Germany,1978,1.0,1,1
Germany,1983,2.0,1,2
Germany,1985,4.0,2,4
Germany,1991,5.0,1,5
Germany,1992,,1,6
Germany,1993,7.0,2,8
Germany,1994,,1,9
Germany,1995,8.0,1,10
Germany,1997,9.0,1,11
Germany,2000,10.0,1,12
Germany,2006,,1,13
Germany,2008,,1,14
Germany,2014,11.0,1,15
Germany,2018,,1,16
Hungary,1980,1.0,1,1
Hungary,2007,2.0,1,2
Hungary,2009,,1,3
India,1984,1.0,1,1
Iran,2006,1.0,1,1
Israel,2003,1.0,1,1
Italy,1992,1.0,1,1
Italy,1996,3.0,2,3
Italy,2001,,1,4
Italy,2002,4.0,1,5
Italy,2005,,1,6
Italy,2007,5.0,1,7
Italy,2010,,1,8
Italy,2011,,1,9
Italy,2013,6.0,1,10
Italy,2014,7.0,1,11
Italy,2017,,1,12
Italy,2019,,1,13
Japan,1992,1.0,1,1
Japan,1994,2.0,1,2
Japan,1996,3.0,1,3
Japan,1997,4.0,1,4
Japan,1998,,1,5
Japan,2000,,2,7
Japan,2005,5.0,1,8
Japan,2008,6.0,2,10
Japan,2009,,2,12
Japan,2010,7.0,1,13
Japan,2011,8.0,1,14
Japan,2012,,1,15
Japan,2013,,1,16
Japan,2015,9.0,1,17
Japan,2016,10.0,1,18
Japan,2017,11.0,1,19
Japan,2020,,1,20
Japan,2021,,1,21
Kazakhstan,1994,1.0,1,1
Kazakhstan,1998,,1,2
Kazakhstan,2001,,1,3
Kazakhstan,2015,2.0,1,4
Malaysia,2007,1.0,1,1
Mexico,1985,1.0,1,1
Mongolia,1981,1.0,1,1
Netherlands,1985,1.0,1,1
Netherlands,2004,2.0,1,2
Netherlands,2011,,1,3
Peru,1997,1.0,1,1
Peru,2000,,1,2
Poland,1978,1.0,1,1
Romania,1981,1.0,1,1
Russia,1961,2.0,2,2
Russia,1962,4.0,2,4
Russia,1963,6.0,2,6
Russia,1964,9.0,3,9
Russia,1965,11.0,2,11
Russia,1967,,1,12
Russia,1968,12.0,1,13
Russia,1969,21.0,11,24
Russia,1970,22.0,2,26
Russia,1971,25.0,6,32
Russia,1973,29.0,4,36
Russia,1974,32.0,6,42
Russia,1975,34.0,8,50
Russia,1976,38.0,6,56
Russia,1977,42.0,6,62
Russia,1978,44.0,7,69
Russia,1979,45.0,3,72
Russia,1980,49.0,10,82
Russia,1981,50.0,4,86
Russia,1982,53.0,6,92
Russia,1983,55.0,5,97
Russia,1984,58.0,8,105
Russia,1985,60.0,5,110
Russia,1986,,2,112
Russia,1987,64.0,7,119
Russia,1988,67.0,5,124
Russia,1989,,2,126
Russia,1990,70.0,6,132
Russia,1991,72.0,4,136
Russia,1992,74.0,4,140
Russia,1993,76.0,4,144
Russia,1994,79.0,7,151
Russia,1995,82.0,7,158
Russia,1996,84.0,4,162
Russia,1997,86.0,6,168
Russia,1998,89.0,6,174
Russia,1999,90.0,2,176
Russia,2000,92.0,7,183
Russia,2001,95.0,7,190
Russia,2002,97.0,7,197
Russia,2003,,2,199
Russia,2004,98.0,3,202
Russia,2005,,2,204
Russia,2006,,2,206
Russia,2007,99.0,3,209
Russia,2008,101.0,3,212
Russia,2009,103.0,4,216
Russia,2010,107.0,6,222
Russia,2011,111.0,6,228
Russia,2012,114.0,6,234
Russia,2013,116.0,6,240
Russia,2014,118.0,6,246
Russia,2015,,5,251
Russia,2016,120.0,6,257
Russia,2017,,4,261
Russia,2018,121.0,3,264
Russia,2019,,3,267
Russia,2020,123.0,4,271
Russia,2021,124.0,2,273
Saudi Arabia,1985,1.0,1,1
Slovakia,1999,1.0,1,1
South Africa,2002,1.0,1,1
South Korea,2008,1.0,1,1
Spain,1998,1.0,1,1
Spain,2003,,1,2
Sweden,2006,1.0,1,1
Sweden,2009,,1,2
Switzerland,1992,1.0,1,1
Switzerland,1993,,1,2
Switzerland,1996,,1,3
Switzerland,1999,,1,4
Syria,1987,1.0,1,1
Ukraine,1997,1.0,1,1
United Arab Emirates,2019,1.0,1,1
United Kingdom,1991,1.0,1,1
United Kingdom,1992,2.0,1,2
United Kingdom,1993,,1,3
United Kingdom,1995,,1,4
United Kingdom,1997,,1,5
United Kingdom,1999,,1,6
United Kingdom,2003,,1,7
United Kingdom,2015,3.0,1,8
United States,1961,2.0,2,2
United States,1962,5.0,3,5
United States,1963,7.0,3,8
United States,1965,14.0,10,18
United States,1966,20.0,10,28
United States,1968,23.0,6,34
United States,1969,25.0,12,46
United States,1970,27.0,3,49
United States,1971,31.0,6,55
United States,1972,35.0,6,61
United States,1973,42.0,9,70
United States,1975,44.0,3,73
United States,1981,47.0,4,77
