"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","1971",4.547,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1972",4.547,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1973",4.511,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1974",5.112,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1975",5.76,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1976",5.777,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1977",6.076,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1978",5.938,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1979",5.828,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1980",5.83,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1981",5.839,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1982",6.106,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1983",6.052,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1984",6.024,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1985",6.075,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1986",6.274,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1987",6.112,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1988",6.067,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1989",6.12,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1990",6.48,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1991",6.776,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1992",6.84,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1993",6.857,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1994",6.889,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1995",6.935,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1996",7.074,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1997",7.088,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1998",7.244,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","1999",7.331,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2000",7.614,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2001",7.696,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2002",7.893,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2003",7.904,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2004",8.109,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2005",7.99,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2006",7.989,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2007",8.068,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2008",8.256,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2009",8.563,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2010",8.431,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2011",8.542,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2012",8.676,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2013",8.761,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2014",9.036,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2015",9.328,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",9.248,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",9.267,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2018",9.155,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2019",9.418,"E"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1971",38.026,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1972",41.046,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1973",45.512,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1974",63.469,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1975",60.038,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1976",63.85,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1977",63.601,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1978",76.489,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1979",83.352,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1980",95.407,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1981",99.463,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1982",95.772,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1983",112.739,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1984",114.287,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1985",125.511,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1986",132.67,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1987",140.86,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1988",161.554,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1989",176.597,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1990",198.053,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1991",216.458,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1992",233.108,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1993",246.747,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1994",262.603,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1995",259.594,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1996",293.652,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1997",308.664,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1998",387.176,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1999",386.848,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2000",452.202,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2001",467.916,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2002",494.223,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2003",493.465,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2004",541.34,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2005",564.235,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2006",591.486,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2007",607.61,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2008",637.921,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2009",651.966,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2010",710.014,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2011",730.301,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2012",768.307,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2013",798.231,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2014",812.983,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2015",821.562,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2016",853.634,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2017",838.962,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2018",854.25,"D"
"AUT","HEALTHEXP","TOT","PC_GDP","A","1970",4.838,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1971",4.77,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1972",4.765,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1973",4.857,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1974",5.086,
