"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","1971",4.54,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1972",4.539,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1973",4.504,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1974",5.104,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1975",5.75,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1976",5.767,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1977",6.066,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1978",5.928,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1979",5.818,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1980",5.82,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1981",5.829,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1982",6.095,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1983",6.041,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1984",6.012,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1985",6.064,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1986",6.263,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1987",6.101,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1988",6.057,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1989",6.109,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1990",6.468,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1991",6.764,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1992",6.828,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1993",6.844,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1994",6.876,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1995",6.921,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1996",7.062,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1997",7.079,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1998",7.235,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","1999",7.324,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2000",7.6,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2001",7.683,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2002",7.878,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2003",7.883,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2004",8.09,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2005",7.974,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2006",7.981,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2007",8.059,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2008",8.254,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2009",8.552,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2010",8.423,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2011",8.54,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2012",8.675,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2013",8.751,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2014",9.848,"B"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2015",10.184,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",10.09,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",10.126,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2018",10.074,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2019",10.23,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2020",10.646,"E"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1971",38.037,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1972",41.059,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1973",45.526,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1974",63.488,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1975",60.056,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1976",63.87,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1977",63.62,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1978",76.512,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1979",83.377,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1980",95.436,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1981",99.493,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1982",95.801,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1983",112.773,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1984",114.322,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1985",125.549,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1986",132.71,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1987",140.903,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1988",161.603,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1989",176.651,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1990",198.114,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1991",216.524,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1992",233.179,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1993",246.823,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1994",262.683,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1995",259.674,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1996",293.742,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1997",308.759,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1998",387.295,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1999",386.848,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2000",452.13,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2001",468.195,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2002",494.223,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2003",493.762,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2004",541.61,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2005",564.235,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2006",591.771,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2007",608.051,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2008",637.921,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2009",651.194,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2010",709.67,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2011",730.301,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2012",768.307,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2013",798.231,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2014",813.214,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2015",821.603,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2016",853.667,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2017",842.349,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2018",842.565,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2019",753.752,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1970",4.838,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1971",4.77,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1972",4.765,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1973",4.857,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1974",5.086,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1975",6.507,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1976",6.74,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1977",6.681,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1978",6.949,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1979",6.924,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1980",7.022,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1981",6.024,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1982",5.999,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1983",5.832,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1984",5.879,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1985",6.008,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1986",6.115,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1987",6.405,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1988",6.397,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1989",6.54,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1990",7.718,"B"
"AUT","HEALTHEXP","TOT","PC_GDP","A","1991",7.782,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1992",8.077,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1993",8.601,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1994",8.99,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1995",8.924,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1996",8.884,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1997",8.984,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1998",9.15,
