Country,year,rate_median_lt65,rate_median_65_74,rate_median_gt_75,number_median_lt65,number_median_65_74,number_median_gt_75
Afghanistan,1999,3.8,37.2,64.2,1190,224,129
Albania,1999,0.4,7.5,24.9,11,16,36
Algeria,1999,3.8,9.3,64.0,1428,131,606
Angola,1999,3.8,37.1,113.8,938,154,187
Antigua and Barbuda,1999,1.2,0.0,71.2,1,0,2
Argentina,1999,3.0,43.9,223.5,1155,1179,4598
Armenia,1999,0.4,7.5,25.0,12,11,45
Australia,1999,0.5,3.4,20.1,103,68,315
Austria,1999,1.0,11.6,63.6,71,100,474
Azerbaijan,1999,3.6,7.4,25.1,334,20,70
Bahamas,1999,1.4,9.9,67.2,5,2,8
Bahrain,1999,0.4,8.8,66.9,6,2,7
Bangladesh,1999,3.7,9.4,24.9,5679,475,737
Barbados,1999,2.5,26.1,127.5,6,6,22
Belarus,1999,0.7,2.6,1.5,60,17,10
Belgium,1999,0.8,9.3,82.0,73,97,830
Belize,1999,1.2,22.7,127.8,4,2,6
Benin,1999,3.7,37.4,112.6,392,87,92
Bhutan,1999,3.7,36.4,61.9,27,9,9
Bolivia,1999,3.7,37.4,109.3,376,152,314
Bosnia and Herzegovina,1999,0.4,7.6,25.5,14,25,66
Botswana,1999,3.7,37.6,111.5,80,21,29
Brazil,1999,1.4,18.8,80.2,2698,1911,4933
Brunei,1999,0.7,7.9,65.5,3,1,4
Bulgaria,1999,1.0,12.8,26.9,56,107,160
Burkina Faso,1999,3.7,37.5,113.3,648,120,128
Burundi,1999,3.8,38.0,111.8,417,72,97
Cambodia,1999,3.8,37.2,111.7,562,168,212
Cameroon,1999,3.7,37.3,112.9,835,191,266
Canada,1999,0.4,6.1,44.5,108,201,1110
Cape Verde,1999,3.6,36.8,107.9,18,4,14
Central African Republic,1999,3.7,37.8,112.9,174,49,67
Chad,1999,3.7,36.9,112.1,513,89,115
Chile,1999,1.4,30.2,187.1,219,344,1568
Hong Kong,1999,0.4,11.9,84.5,24,69,439
China,1999,0.7,19.0,114.0,8328,16156,53038
Colombia,1999,0.9,9.8,51.0,417,214,621
Comoros,1999,3.8,39.2,119.0,29,6,8
Congo,1999,3.7,37.6,111.2,166,43,61
Costa Rica,1999,0.9,11.0,39.3,38,29,65
Cote d'Ivoire,1999,3.7,36.9,111.8,807,191,190
Croatia,1999,0.5,7.4,19.1,16,31,73
Cuba,1999,0.8,14.1,64.3,79,124,458
Cyprus,1999,0.4,7.9,25.2,4,7,16
Czechia,1999,0.5,5.5,20.1,42,64,148
Korea,1999,1.0,9.4,64.8,218,153,500
Democratic Republic of Congo,1999,3.7,37.1,113.9,2801,605,751
Denmark,1999,0.6,4.1,50.8,26,26,216
Djibouti,1999,3.6,38.3,108.5,31,10,12
Dominican Republic,1999,0.9,9.1,64.8,93,37,192
Ecuador,1999,1.5,14.2,72.1,231,92,312
Egypt,1999,3.9,36.9,65.1,3365,1200,996
El Salvador,1999,3.7,37.2,112.7,211,108,237
Equatorial Guinea,1999,3.8,37.4,107.9,31,6,9
Eritrea,1999,3.6,36.4,111.2,185,38,37
Estonia,1999,0.8,12.1,16.4,9,15,20
Ethiopia,1999,3.7,37.5,112.7,3529,898,1202
Fiji,1999,2.1,21.0,64.6,18,8,9
Finland,1999,0.2,1.7,9.0,8,11,43
France,1999,0.4,7.3,49.3,231,455,3002
Gabon,1999,3.7,36.8,109.6,61,20,37
Gambia,1999,3.8,36.2,108.4,74,12,14
Georgia,1999,1.0,7.7,24.9,33,21,72
Germany,1999,0.4,2.9,20.8,229,245,1820
Ghana,1999,3.7,37.4,110.4,978,243,312
Greece,1999,0.4,8.2,36.4,35,93,442
Grenada,1999,2.0,24.2,142.3,2,1,5
Guatemala,1999,3.0,24.8,112.2,459,120,345
Guinea,1999,3.8,36.6,112.2,461,104,115
Guinea-Bissau,1999,3.8,36.4,110.3,67,16,16
Guyana,1999,2.6,22.0,99.1,19,6,11
Haiti,1999,3.8,36.7,110.6,385,119,190
Honduras,1999,1.0,7.8,24.9,73,18,40
Hungary,1999,0.5,5.7,15.4,41,57,117
Iceland,1999,0.0,3.9,50.5,0,1,10
India,1999,2.1,35.1,87.1,25741,17262,21319
Indonesia,1999,3.8,9.4,63.9,9279,858,2678
Iran,1999,0.7,7.6,58.7,496,188,891
Iraq,1999,3.8,9.5,25.5,1359,70,96
Ireland,1999,0.2,7.9,68.2,10,29,169
Israel,1999,0.2,3.2,29.1,15,16,117
Italy,1999,0.2,5.0,29.6,114,326,2021
Jamaica,1999,0.9,6.5,52.3,22,9,61
Japan,1999,0.2,3.5,27.5,207,596,4427
Jordan,1999,1.0,9.5,64.6,70,18,63
Kazakhstan,1999,2.4,10.1,27.4,401,68,141
Kenya,1999,3.8,36.8,112.3,1696,321,470
Kiribati,1999,3.7,34.7,78.2,4,1,1
Kuwait,1999,0.9,30.3,140.9,33,17,29
Kyrgyzstan,1999,1.3,5.1,9.6,76,7,11
