dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
cl15,dhi,0,  17529560,  7336.45,  4701.64,    0.476,     9.28,    15.64,    23.41,     2.84,     4.74,     7.17,   0.0145,   0.0229,   0.0341,  1304.25,  1638.50,  1956.63,   576.41,   712.33,   864.35
cl15,dhci,0,  17529560,  7174.47,  4579.54,    0.476,     9.90,    16.57,    24.53,     3.05,     5.05,     7.60,   0.0156,   0.0245,   0.0364,  1301.17,  1633.72,  1946.54,   579.48,   717.10,   874.44
cl15,mi,0,  17529560,  6516.53,  4029.32,    0.535,    20.26,    27.17,    34.77,    10.88,    13.39,    16.25,   0.0838,   0.0973,   0.1129,   870.06,  1192.23,  1502.27,  1010.59,  1158.59,  1318.71
cl15,hcexp,0,  17529560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
cl17,dhi,0,  17787344,  7963.65,  5040.68,    0.482,     9.43,    15.48,    23.28,     2.93,     4.82,     7.26,   0.0150,   0.0235,   0.0348,  1390.70,  1734.56,  2080.83,   625.57,   785.79,   943.58
cl17,dhci,0,  17787344,  7790.68,  4921.95,    0.482,    10.02,    16.18,    24.30,     3.14,     5.13,     7.67,   0.0162,   0.0252,   0.0371,  1384.75,  1722.09,  2069.85,   631.53,   798.26,   954.56
cl17,mi,0,  17787344,  7080.55,  4249.32,    0.545,    20.94,    27.37,    34.67,    11.38,    13.93,    16.84,   0.0882,   0.1021,   0.1180,   920.34,  1237.55,  1555.08,  1095.93,  1282.79,  1469.33
cl17,hcexp,0,  17787344,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk15,dhi,0,  63907072, 19276.71, 16026.47,    0.333,     5.56,    12.00,    19.57,     1.53,     2.95,     5.09,   0.0078,   0.0129,   0.0212,  4643.45,  6042.18,  7114.90,  1767.14,  1971.05,  2500.98
uk15,dhci,0,  63907072, 19256.71, 16002.85,    0.334,     5.81,    12.22,    19.67,     1.58,     3.04,     5.20,   0.0080,   0.0133,   0.0218,  4663.71,  6018.95,  7076.16,  1746.88,  1994.28,  2539.72
