Code,Indicator Name,Long definition,Source
CoCA,Cost of an energy sufficient diet,"Cost of the least expensive starchy staple for energy balance, in 2017 PPP dollar/person/day, for a representative person at 2330 kcal/day. Data available for 2017.","Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoNA,Cost of a nutrient adequate diet,"Cost of the least expensive locally-available foods for nutrient adequacy, in 2017 PPP dollar/person/day, for a representative person within upper and lower bounds for 23 essential macro- and micronutrients plus energy balance at 2330 kcal/day. Data available for 2017.","Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
CoHD,Cost of a healthy diet,"Cost of the least expensive locally-available foods to meet requirements for food-based dietary guidelines, in current PPP dollar/person/day, for a representative person within energy balance at 2330 kcal/day. Data available for 2017, 2018, 2019 and 2020. PPPs for 2018 and/or 2019 and/or 2020 are imputed by the Food and Agriculture Organization of the United Nations when not available in the World Development Indicators database, for the given countries of Angola, Aruba, Belize, Bermuda, Cayman Islands, Curaçao, British Virgin Islands, Democratic Republic of the Congo, Eswatini, Ethiopia, Guinea-Bissau, Iran (Islamic Republic of), Liberia, Myanmar, Niger, Nigeria, Sao Tome and Principe, Sint Maarten, Suriname and Tajikistan.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_CoCA,Cost of a healthy diet relative to the cost of sufficient energy from starchy staples,Ratio between the cost of a healthy diet (CoHD) that meets food-based dietary guidelines and the cost of caloric adequacy (CoCA) that uses only starchy staples to meet energy requirements. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_f,Cost of fruits,"Cost of the least expensive locally-available fruits needed to meet intake levels recommended in food-based dietary guidelines, in 2017 PPP dollar/person/day. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_v,Cost of vegetables,"Cost of the least expensive locally-available vegetables needed to meet intake levels recommended in food-based dietary guidelines, in 2017 PPP dollar/person/day. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_ss,Cost of starchy staples,"Cost of the least expensive locally-available starchy staples needed to meet intake levels recommended in food-based dietary guidelines, in 2017 PPP dollar/person/day. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_asf,Cost of animal-source foods,"Cost of the least expensive locally-available animal sourced foods needed to meet intake levels recommended in food-based dietary guidelines, in 2017 PPP dollar/person/day. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_lns,"Cost of legumes, nuts and seeds","Cost of the least expensive locally available legumes, nuts or seeds needed to meet intake levels recommended in food-based dietary guidelines, in 2017 PPP dollar/person/day. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_of,Cost of oils and fats,"Cost of the least expensive locally available oils or fats needed to meet intake levels recommended in food-based dietary guidelines, in 2017 PPP dollar/person/day. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
