Entity,Year,comparable_spell_1,comparable_spell_2,comparable_spell_3,comparable_spell_4,comparable_spell_5,comparable_spell_6,comparable_spell_7
Albania,1996,0.92066900711367,,,,,,
Albania,2002,,1.57084335862702,,,,,
Albania,2005,,0.86052711252553,,,,,
Albania,2008,,0.31364958127441,,,,,
Albania,2012,,0.84975444767885,,,,,
Albania,2014,,,1.58089716965821,,,,
Albania,2015,,,0.24509790798944,,,,
Albania,2016,,,0.41036422288427,,,,
Albania,2017,,,0.42847545582039,,,,
Albania,2018,,,,0.12077232969948,,,
Albania,2019,,,,0.0,,,
Algeria,1988,6.250912528243931,,,,,,
Algeria,1995,,5.62411132812499,,,,,
Algeria,2011,,,0.449365234375,,,,
Angola,2000,36.37447783780093,,,,,,
Angola,2008,,34.44685654028125,,,,,
Angola,2018,,,49.90295419834461,,,,
Argentina - urban,1980,0.47987670898437,,,,,,
Argentina - urban,1986,1.22444789693584,,,,,,
Argentina - urban,1987,1.43037465156472,,,,,,
Argentina - urban,1991,,1.28159837452375,,,,,
Argentina - urban,1992,,2.46197792338322,,,,,
Argentina - urban,1993,,2.81819947224729,,,,,
Argentina - urban,1994,,2.67456148013629,,,,,
Argentina - urban,1995,,4.92487666124219,,,,,
Argentina - urban,1996,,5.30216867285934,,,,,
Argentina - urban,1997,,4.820756940074309,,,,,
Argentina - urban,1998,,5.57585388262287,,,,,
Argentina - urban,1999,,5.52938497353887,,,,,
Argentina - urban,2000,,6.791716882146839,,,,,
Argentina - urban,2001,,10.67957347680381,,,,,
Argentina - urban,2002,,16.94100342048484,,,,,
Argentina - urban,2003,,,7.86846217954535,,,,
Argentina - urban,2004,,,5.741770815992011,,,,
Argentina - urban,2005,,,4.16914986657446,,,,
Argentina - urban,2006,,,3.2612633032119698,,,,
Argentina - urban,2007,,,2.6050105194876503,,,,
Argentina - urban,2008,,,2.48626127765868,,,,
Argentina - urban,2009,,,2.34228929151705,,,,
Argentina - urban,2010,,,1.44209307722095,,,,
Argentina - urban,2011,,,1.1354005103232,,,,
Argentina - urban,2012,,,1.1555537822503,,,,
Argentina - urban,2013,,,1.01586625260157,,,,
Argentina - urban,2014,,,0.9288412011436,,,,
Argentina - urban,2016,,,1.07087744981701,,,,
Argentina - urban,2017,,,0.91853822211349,,,,
Argentina - urban,2018,,,1.36983145451572,,,,
Argentina - urban,2019,,,1.30030120214306,,,,
Argentina - urban,2020,,,1.6404189847962,,,,
Armenia,1996,14.216142578124998,,,,,,
Armenia,1999,,12.21169122883909,,,,,
Armenia,2001,,14.36108621730068,,,,,
Armenia,2002,,10.51450636610311,,,,,
Armenia,2003,,7.851497504159729,,,,,
Armenia,2004,,5.47565595622281,,,,,
Armenia,2005,,2.68591693151246,,,,,
Armenia,2006,,2.1420064314138902,,,,,
Armenia,2007,,1.62852061088683,,,,,
Armenia,2008,,0.8928084861308799,,,,,
Armenia,2009,,1.33473010765221,,,,,
Armenia,2010,,0.97446636542865,,,,,
Armenia,2011,,1.2088774208427,,,,,
Armenia,2012,,0.91699552064881,,,,,
Armenia,2013,,1.76707741028077,,,,,
Armenia,2014,,1.54166806141118,,,,,
Armenia,2015,,1.26068207464736,,,,,
Armenia,2016,,1.16299109138031,,,,,
Armenia,2017,,0.88079316081876,,,,,
Armenia,2018,,1.40953681571917,,,,,
Armenia,2019,,,1.07899885880155,,,,
Armenia,2020,,,0.38813461106411,,,,
Australia,1981,0.99350305063763,,,,,,
Australia,1985,,1.00130975582873,,,,,
Australia,1989,,,0.7442749773601199,,,,
Australia,1995,,,0.74978226727342,,,,
Australia,2001,,,0.74741161550504,,,,
Australia,2003,,,0.99733071126423,,,,
Australia,2004,,,,0.49927590617178,,,
Australia,2008,,,0.36123243956321,,,,
Australia,2010,,,,0.3491684119292,,,
Australia,2014,,,0.4984838031620799,,,,
Australia,2016,,,0.49874177937585,,,,
Australia,2018,,,0.49709397223352,,,,
