country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_1993_total,weight_1993,weightedvalue_1993,population_2018,population_2018_total,weight_2018,weightedvalue_2018
Albania,gini_pip_disposable_perCapita,gini,1996,0.2701034247875213,2018,0.3014828264713287,consumption,consumption,national,national,EE & CA,3300715,4392550112,0.0007514347966077341,0.0002029651120682635,2877019,5951116624,0.0004834418785203091,0.00014574942397091152
Australia,gini_pip_disposable_perCapita,gini,1995,0.3258199095726013,2018,0.3433376252651214,income,income,national,national,W. Eur and Offshoots,17631514,4392550112,0.004013958532159371,0.0013078276059763378,24979228,5951116624,0.004197401862242517,0.001441125987665744
Bangladesh,gini_pip_disposable_perCapita,gini,1991,0.2757080495357513,2016,0.3238527178764343,consumption,consumption,national,national,S & SE Asia,113418760,4392550112,0.025820709407537886,0.007118977428381695,163683952,5951116624,0.02750474614123442,0.008907486792340137
Belarus,gini_pip_disposable_perCapita,gini,1998,0.3201834857463836,2018,0.2524052560329437,consumption,consumption,national,national,EE & CA,10480485,4392550112,0.002385968226376833,0.0007639476236014509,9695573,5951116624,0.0016292023182505186,0.0004112192282674876
Belgium,gini_pip_disposable_perCapita,gini,1992,0.2495187669992447,2018,0.2721441388130188,income,income,national,national,W. Eur and Offshoots,10043738,4392550112,0.0022865391956625675,0.0005705344407971686,11448598,5951116624,0.0019237730871933254,0.0005235435700858901
Botswana,gini_pip_disposable_perCapita,gini,1993,0.6079065203666687,2015,0.5332502722740173,consumption,consumption,national,national,SS Africa,1462267,4392550112,0.00033289705585947337,0.000202370290867841,2451411,5951116624,0.0004119245437257625,0.00021965887509811319
Bulgaria,gini_pip_disposable_perCapita,gini,1992,0.3071430921554565,2018,0.4128409922122955,income,income,national,national,EE & CA,8611541,4392550112,0.0019604878215217503,0.0006021502916353051,7117424,5951116624,0.0011959812669939032,0.0004937500929330812
Burkina Faso,gini_pip_disposable_perCapita,gini,1994,0.4807249307632446,2018,0.4301673173904419,consumption,consumption,national,national,SS Africa,9840080,4392550112,0.0022401747843736382,0.0010769078681155835,20392730,5951116624,0.0034267064970225996,0.00147405714130861
Burundi,gini_pip_disposable_perCapita,gini,1992,0.3333381116390228,2020,0.3745650947093963,consumption,consumption,national,national,SS Africa,5555227,4392550112,0.0012646929137640763,0.00042157034767737074,11493476,5951116624,0.0019313141929782488,0.000723402883606499
Cameroon,gini_pip_disposable_perCapita,gini,1996,0.4444675743579864,2021,0.4217607378959656,consumption,consumption,national,national,SS Africa,12486776,4392550112,0.0028427168004042567,0.001263495440862376,25076752,5951116624,0.004213789375067707,0.0017772109161667358
Canada,gini_pip_disposable_perCapita,gini,1993,0.3168276250362396,2018,0.3250927031040191,income,income,national,national,W. Eur and Offshoots,28668168,4392550112,0.006526543185399634,0.0020677891771266202,37035260,5951116624,0.0062232455419613366,0.0020231317153162473
China,gini_pip_disposable_perCapita,gini,1993,0.3387779891490936,2018,0.3849764168262481,consumption,consumption,national,national,East Asia,1195855616,4392550112,0.27224632286676576,0.0922310618140378,1417069440,5951116624,0.23811824394184483,0.09166990833368989
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1992,0.3938576579093933,2018,0.3716887533664703,consumption,consumption,national,national,SS Africa,13316449,4392550112,0.003031598652368431,0.0011940183449431032,25493990,5951116624,0.004283900251120335,0.0015922775438852262
Czechia,gini_pip_disposable_perCapita,gini,1993,0.2660479247570038,2018,0.2499034106731414,income,income,national,national,EE & CA,10318915,4392550112,0.002349185492912141,0.0006249959252585341,10534598,5951116624,0.0017701884647186171,0.00044237613486743424
Denmark,gini_pip_disposable_perCapita,gini,1992,0.2469381093978881,2018,0.2816633582115173,income,income,national,national,W. Eur and Offshoots,5193776,4392550112,0.0011824056339872213,0.0002919810117982157,5766689,5951116624,0.0009690095765799262,0.00027293449147862246
Egypt,gini_pip_disposable_perCapita,gini,1995,0.3012695908546448,2019,0.3189355731010437,consumption,consumption,national,national,MENA,61382204,4392550112,0.013974161349305968,0.0042099898722422,103740768,5951116624,0.01743215173798281,0.005559733304937903
Estonia,gini_pip_disposable_perCapita,gini,1993,0.3950344920158386,2018,0.3032145202159881,income,income,national,national,EE & CA,1504446,4392550112,0.00034249945057883495,0.0001352990964751139,1322146,5951116624,0.00022216771801580475,6.736447802564317e-05
Eswatini,gini_pip_disposable_perCapita,gini,1994,0.6045472621917725,2016,0.5457979440689087,consumption,consumption,national,national,SS Africa,953454,4392550112,0.00021706161015562706,0.00013122400214652218,1160430,5951116624,0.0001949936580506845,0.0001064271376705394
