country,issue,id,value,value_formatted,start_date_formatted,description,end_date_formatted
Afghanistan,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"October 7, 1976","Article 427 states homosexuality will suffer long imprisonments (along with Adultery.) In addition, article 398 states that honour killing is encouraged.",
Afghanistan,marriage,15,Not legal,Not legal,"August 8, 1971",,
Afghanistan,censorship,55,Other punishment,Other punishment,"September 15, 2021",It is illegal and punishable by death to be homosexual in Afghanistan. Taliban is censoring LGBTQ+ topics because LGBTQ+ is illegal under Islamic Sharia Law.,
Afghanistan,changing-gender,22,Illegal,Illegal,,No Legal identity change. Crossdressing is illegal under the Taliban. ,
Afghanistan,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,LGBT people here are forced to keep their gender identity a secret.,
Afghanistan,discrimination,20,No protections,No protections,"August 19, 1919",,
Afghanistan,employment-discrimination,43,No protections,No protections,"August 19, 1919",None exist in the criminal code.,
Afghanistan,housing-discrimination,47,No protections,No protections,"August 19, 1919",,
Afghanistan,adoption,7,Illegal,Illegal,,Homosexuality is illegal.,
Afghanistan,military,18,Illegal,Illegal,,According to Wikipedia.,
Afghanistan,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),,Homosexuality is illegal.,
Afghanistan,conversion-therapy,49,Not banned,Not banned,,Homosexuality is punishable by death.,
Afghanistan,age-of-consent,,na,N/A,,Homosexuality is illegal.,
Albania,homosexuality,1,Legal,Legal,"January 27, 1995",,
Albania,marriage,13,Unrecognized,Unrecognized,"February 4, 2010","Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits.",
Albania,censorship,56,No censorship,No censorship,,"In Albania, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Albania,changing-gender,,ambiguous,Ambiguous,,"Albania does not currently recognize legal gender changes nor performs or covers surgeries or treatment for transgender people,however there is legislation in place that in a way recognises some form of gender identity <br />
<br />
.",
Albania,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Not legally recognized.,
Albania,discrimination,19,Illegal,Illegal,"February 5, 2010",,
Albania,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"August 30, 2010",There is legislation protecting both sexual orientation and gender identity in the workplace ,
Albania,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,, Albania gay rights groups open first LGBTI shelter in Balkan region ,
Albania,adoption,5,Single only,Single only,"October 2, 2017",No restrictions. No laws in place for same sex couples.,
Albania,military,16,Legal,Legal,"May 7, 2013",Hate crime law allows LGBTQ+ individuals to serve openly without discrimination in the military,
Albania,blood,25,Legal,Legal,"January 1, 2008",There are no restrictions for blood donations by MSMs.,
Albania,conversion-therapy,48,Banned,Banned,"May 1, 2020",Banned for minors.,
Albania,age-of-consent,27,Equal,Equal,"April 2, 2010",,
Algeria,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"June 8, 1966","Article 333 of Algerian law punishes same sex activity with between 2 months and 2 years imprisonment, and a fine of 500 to 2000 Dinars. Article 338 refers to ""outrage to public decency"" consisting of ""an act against nature with an individual of the same sex"", with a steeper penalty of between 6 months and 3 years imprisonment and a fine of between 1,000 and 10,000 Dinars.",
Algeria,marriage,15,Not legal,Not legal,"June 8, 1966",All Homosexual Activity is outlawed.,
Algeria,censorship,53,Imprisonment as punishment,Imprisonment as punishment,,"Article 333 bis of the Penal Code, as amended on 13 February 1982 by Law n° 82-04, criminalizes the distribution of anything against ""decency"" with up to 2 years in prison and a fine up to 2,000 dinars. Article 333, also amended in 1982, criminalizes indecent exposure of any ""act against the order of nature with an individual of the same sex"" with up to 3 years in prison and a fine up to 10,000 dinars.<br />
<br />
Additionally, as of January 2023 the Ministry of Commerce has announced that all rainbow colored products, including flags, toys, and Qurans, are no longer allowed to be sold in the country. Algerian government has mass SMS texted Algerians to warn them of fines for violating this order.",
Algeria,changing-gender,22,Illegal,Illegal,,under cross-dressing.,
Algeria,non-binary-gender-recognition,,,,,,
Algeria,discrimination,20,No protections,No protections,"June 8, 1966","As homosexuality is legal, discrimination on the basis of sexual orientation and gender identities are permitted",
Algeria,employment-discrimination,43,No protections,No protections,"June 8, 1966",,
Algeria,housing-discrimination,47,No protections,No protections,"June 8, 1966",Homosexuality is illegal.,
Algeria,adoption,5,Single only,Single only,"June 8, 1966","Homosexuality is illegal in Algeria, and same-sex unions are unrecognized. Single people are allowed to adopt.",
Algeria,military,18,Illegal,Illegal,"July 8, 1966",All Homosexual Activity is outlawed.,
Algeria,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),,Banned (Indefinite Deferral).,
Algeria,conversion-therapy,49,Not banned,Not banned,,There are no laws banning conversion therapy in Algeria.,
Algeria,age-of-consent,,na,N/A,"June 8, 1966",Not applicable for Algeria. Same sex activity is illegal in Algeria.,
Andorra,homosexuality,1,Legal,Legal,"January 1, 1791",Law abolished while Andorra was still a part of France,
Andorra,marriage,8,Legal,Legal,"February 17, 2023","On July 21, 2022, the Andorran government passed a law granting marriage rights to same-sex couples in the country.<br />
<br />
The law is expected to take effect in 2023, but no date has been announced yet.",
Andorra,censorship,56,No censorship,No censorship,,"In Andorra, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Andorra,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","February 17, 2023","On July 21, 2022, the Andorran government voted a law stating that transgender people can change their gender without medical intervention.<br />
<br />
The law is expected to take effect in 2023, but no date has been announced yet.",
Andorra,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"According to the ILGA Europe, there's no recognition of non-binary gender in Andorra.",
Andorra,discrimination,19,Illegal,Illegal,"January 1, 2005",protections in in all areas.,
Andorra,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"February 15, 2019","The Law 13/2019, of 15 February, for equal treatment and non-discrimination, provides protection for LGBT people, among others, in numerous areas including employment, education, health care, social services, housing, public establishments, etc. Article 4(2) states:<br />
<br />
«No one may be discriminated against on the basis of birth, nationality or lack of nationality, racial origin or ethnicity, sex or female gender, religion, philosophical, political or trade union opinion, language, age, disability, sexual orientation, gender identity or expression, or any other personal or social condition or circumstance.»",
Andorra,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2005",included in hate crimes as well.,
Andorra,adoption,3,Legal,Legal,"December 25, 2014","Legal since December 25th 2014, pretty good Christmas present",
Andorra,military,,na,N/A,,Andorra does not have a military.,
Andorra,blood,25,Legal,Legal,"January 4, 2011",,
Andorra,conversion-therapy,49,Not banned,Not banned,,"According to the ILGA Europe, there's no ban on conversion therapy in Andorra.",
Andorra,age-of-consent,27,Equal,Equal,"July 18, 2006",,
Angola,homosexuality,1,Legal,Legal,"January 24, 2019",Legalized after an act of parliament,
Angola,marriage,13,Unrecognized,Unrecognized,,Angola does not recognize same-sex marriage.,
Angola,censorship,56,No censorship,No censorship,,"In Angola, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
