country,issue,id,value,value_formatted,end_date_formatted,description,start_date_formatted
Afghanistan,blood,40,Banned (1-year deferral),Banned (1-year deferral),"August 15, 2021",Before the 15 August 2021.,
Albania,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 9, 2018",Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.,"February 4, 2010"
Algeria,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 7, 2018",Two months to two years in prison and fine. Not enforced. ,"June 8, 1966"
Algeria,marriage,13,Unrecognized,Unrecognized,"September 6, 2018",Homosexuality is currently illegal.,"June 8, 1966"
Algeria,military,16,Legal,Legal,"September 10, 2018",No laws criminalizing or restricting service.,"July 8, 1966"
Andorra,marriage,33,Civil unions,Civil unions,"January 1, 2023","Civil unions since June 2nd 2014, but stable unions since 2005","June 2, 2014"
Andorra,marriage,9,Other type of partnership,Other type of partnership,"June 2, 2014","Same-sex couples can register their partnership under the name ""Stable Union of a Couple"". Second link written in Catalan",
Andorra,changing-gender,,ambiguous,Ambiguous,"January 1, 2023",No laws in place. Missing non binary options on documents.,"May 1, 2017"
Andorra,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"February 15, 2019",Sexual orientation only ,"January 1, 2005"
Andorra,adoption,7,Illegal,Illegal,"December 25, 2014","In Andorra, same-sex couples are not allowed to adopt because the adoption law only recognises this possibility for heterosexual couples.","April 24, 1996"
Andorra,adoption,3,Legal,Legal,"June 26, 2018",Since 2014.,"April 24, 1996"
Angola,homosexuality,2,Illegal (other penalty),Illegal (other penalty),"January 24, 2019",Penalty unknown,"September 16, 1886"
Angola,marriage,15,Not legal,Not legal,"January 24, 2019","As homosexuality is illegal, same sex union is by default illegal","September 16, 1886"
Angola,changing-gender,,ambiguous,Ambiguous,"January 1, 2015",May possibly change gender under the Código do Registro Civil 2015. Transgender people could possibly use this section to change their legal gender.,
