country,year,issue,id,value,value_formatted,description
Albania,2010,marriage,10.0,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.
Albania,2010,marriage,13.0,Unrecognized,Unrecognized,"Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits."
Albania,2011,marriage,10.0,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.
Albania,2011,marriage,13.0,Unrecognized,Unrecognized,"Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits."
Albania,2012,marriage,10.0,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.
Albania,2012,marriage,13.0,Unrecognized,Unrecognized,"Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits."
Albania,2013,marriage,10.0,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.
Albania,2013,marriage,13.0,Unrecognized,Unrecognized,"Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits."
Albania,2014,marriage,10.0,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.
Albania,2014,marriage,13.0,Unrecognized,Unrecognized,"Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits."
Albania,2015,marriage,10.0,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.
Albania,2015,marriage,13.0,Unrecognized,Unrecognized,"Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits."
Albania,2016,marriage,10.0,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.
Albania,2016,marriage,13.0,Unrecognized,Unrecognized,"Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits."
Albania,2017,marriage,10.0,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,Civil Unions Pending. Gay marriage pending. Backed by the prime minister. Required legalization of gay marriage under 2018 EU ruling. Under a ruling from the EU High Court. Civil Unions in some areas.
Albania,2017,marriage,13.0,Unrecognized,Unrecognized,"Albania does not legally recognize same-sex marriages, civil unions or domestic partnership benefits."
Algeria,1966,homosexuality,31.0,"Male illegal, female legal","Male illegal, female legal",Two months to two years in prison and fine. Not enforced. 
Algeria,1966,homosexuality,37.0,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"Article 333 of Algerian law punishes same sex activity with between 2 months and 2 years imprisonment, and a fine of 500 to 2000 Dinars. Article 338 refers to ""outrage to public decency"" consisting of ""an act against nature with an individual of the same sex"", with a steeper penalty of between 6 months and 3 years imprisonment and a fine of between 1,000 and 10,000 Dinars."
Algeria,1966,marriage,13.0,Unrecognized,Unrecognized,Homosexuality is currently illegal.
Algeria,1966,marriage,15.0,Not legal,Not legal,All Homosexual Activity is outlawed.
Algeria,1966,military,16.0,Legal,Legal,No laws criminalizing or restricting service.
Algeria,1966,military,18.0,Illegal,Illegal,All Homosexual Activity is outlawed.
Algeria,1967,homosexuality,31.0,"Male illegal, female legal","Male illegal, female legal",Two months to two years in prison and fine. Not enforced. 
Algeria,1967,homosexuality,37.0,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"Article 333 of Algerian law punishes same sex activity with between 2 months and 2 years imprisonment, and a fine of 500 to 2000 Dinars. Article 338 refers to ""outrage to public decency"" consisting of ""an act against nature with an individual of the same sex"", with a steeper penalty of between 6 months and 3 years imprisonment and a fine of between 1,000 and 10,000 Dinars."
Algeria,1967,marriage,13.0,Unrecognized,Unrecognized,Homosexuality is currently illegal.
Algeria,1967,marriage,15.0,Not legal,Not legal,All Homosexual Activity is outlawed.
Algeria,1967,military,16.0,Legal,Legal,No laws criminalizing or restricting service.
Algeria,1967,military,18.0,Illegal,Illegal,All Homosexual Activity is outlawed.
Algeria,1968,homosexuality,31.0,"Male illegal, female legal","Male illegal, female legal",Two months to two years in prison and fine. Not enforced. 
Algeria,1968,homosexuality,37.0,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"Article 333 of Algerian law punishes same sex activity with between 2 months and 2 years imprisonment, and a fine of 500 to 2000 Dinars. Article 338 refers to ""outrage to public decency"" consisting of ""an act against nature with an individual of the same sex"", with a steeper penalty of between 6 months and 3 years imprisonment and a fine of between 1,000 and 10,000 Dinars."
Algeria,1968,marriage,13.0,Unrecognized,Unrecognized,Homosexuality is currently illegal.
Algeria,1968,marriage,15.0,Not legal,Not legal,All Homosexual Activity is outlawed.
Algeria,1968,military,16.0,Legal,Legal,No laws criminalizing or restricting service.
Algeria,1968,military,18.0,Illegal,Illegal,All Homosexual Activity is outlawed.
Algeria,1969,homosexuality,31.0,"Male illegal, female legal","Male illegal, female legal",Two months to two years in prison and fine. Not enforced. 
Algeria,1969,homosexuality,37.0,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"Article 333 of Algerian law punishes same sex activity with between 2 months and 2 years imprisonment, and a fine of 500 to 2000 Dinars. Article 338 refers to ""outrage to public decency"" consisting of ""an act against nature with an individual of the same sex"", with a steeper penalty of between 6 months and 3 years imprisonment and a fine of between 1,000 and 10,000 Dinars."
Algeria,1969,marriage,13.0,Unrecognized,Unrecognized,Homosexuality is currently illegal.
Algeria,1969,marriage,15.0,Not legal,Not legal,All Homosexual Activity is outlawed.
Algeria,1969,military,16.0,Legal,Legal,No laws criminalizing or restricting service.
