country,series_code,indicator_name,year_1980,value_1980,year_2018,value_2018,pipwelfare_1980,pipwelfare_2018,pipreportinglevel_1980,pipreportinglevel_2018
Argentina,gini_pip_disposable_perCapita,gini,1980,0.40830859541893005,2018,0.4172038435935974,income,income,urban,urban
Australia,gini_pip_disposable_perCapita,gini,1981,0.3132578730583191,2018,0.34333762526512146,income,income,national,national
Bangladesh,gini_pip_disposable_perCapita,gini,1983,0.2587648928165436,2016,0.3238527178764343,consumption,consumption,national,national
Belgium,gini_pip_disposable_perCapita,gini,1985,0.25203850865364075,2018,0.2721441388130188,income,income,national,national
Botswana,gini_pip_disposable_perCapita,gini,1985,0.5421210527420044,2015,0.5332502722740173,consumption,consumption,national,national
Brazil,gini_pip_disposable_perCapita,gini,1981,0.5793085098266602,2018,0.5389237403869629,income,income,national,national
Canada,gini_pip_disposable_perCapita,gini,1979,0.3347417116165161,2018,0.32509270310401917,income,income,national,national
China,gini_pip_disposable_perCapita,gini,1981,0.2816409766674042,2018,0.38497641682624817,income,consumption,national,national
Colombia,gini_pip_disposable_perCapita,gini,1980,0.5912672877311707,2018,0.5041870474815369,income,income,urban,national
Costa Rica,gini_pip_disposable_perCapita,gini,1981,0.47494763135910034,2018,0.47972404956817627,income,income,national,national
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1985,0.455262690782547,2018,0.37168875336647034,consumption,consumption,national,national
Ethiopia,gini_pip_disposable_perCapita,gini,1981,0.3242495656013489,2015,0.3499312400817871,consumption,consumption,rural,national
France,gini_pip_disposable_perCapita,gini,1979,0.34042617678642273,2018,0.32380688190460205,income,income,national,national
India,gini_pip_disposable_perCapita,gini,1977,0.3321363031864166,2018,0.34544843435287476,consumption,consumption,national,national
Indonesia,gini_pip_disposable_perCapita,gini,1984,0.3345597982406616,2018,0.38410377502441406,consumption,consumption,national,national
Israel,gini_pip_disposable_perCapita,gini,1979,0.36329975724220276,2018,0.3857717514038086,income,income,national,national
Italy,gini_pip_disposable_perCapita,gini,1980,0.32899266481399536,2018,0.35222572088241577,income,income,national,national
Luxembourg,gini_pip_disposable_perCapita,gini,1985,0.2629435658454895,2018,0.35368093848228455,income,income,national,national
Malaysia,gini_pip_disposable_perCapita,gini,1984,0.4862481355667114,2018,0.41176775097846985,income,income,national,national
Mexico,gini_pip_disposable_perCapita,gini,1984,0.48527011275291443,2018,0.45955243706703186,income,income,national,national
Morocco,gini_pip_disposable_perCapita,gini,1984,0.3918663561344147,2013,0.3954850733280182,consumption,consumption,national,national
Netherlands,gini_pip_disposable_perCapita,gini,1983,0.28366053104400635,2018,0.2812108099460602,income,income,national,national
Nigeria,gini_pip_disposable_perCapita,gini,1985,0.38677850365638733,2018,0.3512774407863617,consumption,consumption,national,national
Norway,gini_pip_disposable_perCapita,gini,1979,0.2689476013183594,2018,0.275608628988266,income,income,national,national
Panama,gini_pip_disposable_perCapita,gini,1979,0.48740142583847046,2018,0.4921247363090515,income,income,national,national
Philippines,gini_pip_disposable_perCapita,gini,1985,0.41037434339523315,2018,0.37811705470085144,consumption,consumption,national,national
Poland,gini_pip_disposable_perCapita,gini,1985,0.2516496479511261,2018,0.30215439200401306,income,income,national,national
Rwanda,gini_pip_disposable_perCapita,gini,1984,0.288985937833786,2016,0.43710047006607056,consumption,consumption,rural,national
Spain,gini_pip_disposable_perCapita,gini,1980,0.34483546018600464,2018,0.3471894860267639,income,income,national,national
Sri Lanka,gini_pip_disposable_perCapita,gini,1985,0.32467854022979736,2019,0.3766377568244934,consumption,consumption,national,national
Sweden,gini_pip_disposable_perCapita,gini,1981,0.22923573851585388,2018,0.2997418940067291,income,income,national,national
Switzerland,gini_pip_disposable_perCapita,gini,1982,0.3600737452507019,2018,0.3314104974269867,income,income,national,national
Taiwan,gini_pip_disposable_perCapita,gini,1981,0.29969483613967896,2018,0.3163367509841919,income,income,national,national
Thailand,gini_pip_disposable_perCapita,gini,1981,0.45216822624206543,2018,0.3641217350959778,consumption,consumption,national,national
Tunisia,gini_pip_disposable_perCapita,gini,1985,0.43433767557144165,2021,0.3371642529964447,consumption,consumption,national,national
United Kingdom,gini_pip_disposable_perCapita,gini,1980,0.2847789227962494,2018,0.33691057562828064,income,income,national,national
United States,gini_pip_disposable_perCapita,gini,1980,0.3471840023994446,2018,0.4140784442424774,income,income,national,national
Uruguay,gini_pip_disposable_perCapita,gini,1981,0.43645429611206055,2018,0.3968724012374878,income,income,urban,national
Australia,gini_wid_pretaxNational_perAdult,gini,1980,0.42002809047698975,2018,0.47978049516677856,,,,
Bangladesh,gini_wid_pretaxNational_perAdult,gini,1983,0.47316956520080566,2016,0.5298373699188232,,,,
Belgium,gini_wid_pretaxNational_perAdult,gini,1985,0.42944419384002686,2017,0.434320330619812,,,,
Bosnia and Herzegovina,gini_wid_pretaxNational_perAdult,gini,1980,0.38900285959243774,2015,0.48305514454841614,,,,
Botswana,gini_wid_pretaxNational_perAdult,gini,1985,0.7046368718147278,2015,0.7003383636474609,,,,
Bulgaria,gini_wid_pretaxNational_perAdult,gini,1980,0.3329593241214752,2018,0.5530422925949097,,,,
Canada,gini_wid_pretaxNational_perAdult,gini,1980,0.42035868763923645,2018,0.4844740033149719,,,,
China,gini_wid_pretaxNational_perAdult,gini,1980,0.3821532130241394,2016,0.5537135601043701,,,,
Cote d'Ivoire,gini_wid_pretaxNational_perAdult,gini,1985,0.64234858751297,2015,0.6012069582939148,,,,
Croatia,gini_wid_pretaxNational_perAdult,gini,1984,0.39938655495643616,2018,0.4660787582397461,,,,
Czechia,gini_wid_pretaxNational_perAdult,gini,1980,0.276430606842041,2018,0.37063202261924744,,,,
