Entity,Year,number_mentions_AI_legislative_proceedings
Australia,2016,9
Belgium,2016,2
Brazil,2016,2
Canada,2016,0
China,2016,0
Denmark,2016,4
Finland,2016,5
France,2016,0
Germany,2016,0
India,2016,2
Ireland,2016,2
Italy,2016,0
Japan,2016,50
Netherlands,2016,2
New Zealand,2016,0
Norway,2016,1
Russia,2016,0
Singapore,2016,39
South Africa,2016,0
South Korea,2016,0
Spain,2016,2
Sweden,2016,2
Switzerland,2016,1
United Kingdom,2016,42
United States,2016,6
Australia,2017,35
Belgium,2017,7
Brazil,2017,11
Canada,2017,21
China,2017,1
Denmark,2017,5
Finland,2017,14
France,2017,9
Germany,2017,0
India,2017,3
Ireland,2017,17
Italy,2017,20
Japan,2017,53
Netherlands,2017,3
New Zealand,2017,2
Norway,2017,5
Russia,2017,9
Singapore,2017,35
South Africa,2017,1
South Korea,2017,1
Spain,2017,32
Sweden,2017,8
Switzerland,2017,2
United Kingdom,2017,152
United States,2017,23
Australia,2018,79
Belgium,2018,18
Brazil,2018,12
Canada,2018,35
China,2018,1
Denmark,2018,2
Finland,2018,24
France,2018,52
Germany,2018,24
India,2018,3
Ireland,2018,28
Italy,2018,18
Japan,2018,69
Netherlands,2018,13
New Zealand,2018,11
Norway,2018,2
Russia,2018,7
Singapore,2018,50
South Africa,2018,8
South Korea,2018,8
Spain,2018,79
Sweden,2018,16
Switzerland,2018,1
United Kingdom,2018,243
United States,2018,67
Australia,2019,69
Belgium,2019,24
Brazil,2019,22
Canada,2019,16
China,2019,1
Denmark,2019,3
Finland,2019,11
France,2019,36
Germany,2019,41
India,2019,10
Ireland,2019,83
Italy,2019,42
Japan,2019,109
Netherlands,2019,22
New Zealand,2019,8
Norway,2019,12
Russia,2019,13
Singapore,2019,45
South Africa,2019,11
South Korea,2019,1
Spain,2019,25
Sweden,2019,12
Switzerland,2019,5
United Kingdom,2019,138
United States,2019,92
Australia,2020,96
Belgium,2020,22
Brazil,2020,4
Canada,2020,17
China,2020,0
Denmark,2020,8
Finland,2020,12
France,2020,33
Germany,2020,47
India,2020,9
Ireland,2020,16
Italy,2020,20
Japan,2020,90
Netherlands,2020,17
New Zealand,2020,0
Norway,2020,12
Russia,2020,17
Singapore,2020,53
South Africa,2020,2
South Korea,2020,5
Spain,2020,152
Sweden,2020,17
Switzerland,2020,3
United Kingdom,2020,179
United States,2020,102
Australia,2021,122
Belgium,2021,47
Brazil,2021,72
Canada,2021,22
China,2021,0
Denmark,2021,5
Finland,2021,12
France,2021,25
Germany,2021,46
India,2021,7
Ireland,2021,76
Italy,2021,64
Japan,2021,95
Netherlands,2021,10
New Zealand,2021,6
Norway,2021,20
Russia,2021,12
Singapore,2021,60
South Africa,2021,11
South Korea,2021,6
Spain,2021,269
Sweden,2021,16
Switzerland,2021,3
United Kingdom,2021,185
United States,2021,132
