Entity,Year,number_ai_phds_employed_academia,number_ai_phds_employed_government,number_ai_phds_employed_industry,total_number_ai_phds_employed,share_ai_phds_employed_academia,share_ai_phds_employed_government,share_ai_phds_employed_industry
North America,2004,95,5,29,138,0.6884057971014492,0.036231884057971016,0.21014492753623187
North America,2005,85,6,41,163,0.5214723926380368,0.03680981595092025,0.25153374233128833
North America,2006,67,10,84,189,0.3544973544973545,0.05291005291005291,0.4444444444444444
North America,2007,73,3,75,178,0.4101123595505618,0.016853932584269662,0.42134831460674155
North America,2008,51,4,77,154,0.33116883116883117,0.025974025974025976,0.5
North America,2009,51,4,75,147,0.3469387755102041,0.027210884353741496,0.5102040816326531
North America,2010,72,6,76,171,0.42105263157894735,0.03508771929824561,0.4444444444444444
North America,2011,63,7,64,154,0.4090909090909091,0.045454545454545456,0.4155844155844156
North America,2012,47,6,101,185,0.25405405405405407,0.032432432432432434,0.5459459459459459
North America,2013,51,7,74,150,0.34,0.04666666666666667,0.49333333333333335
North America,2014,43,8,85,149,0.28859060402684567,0.053691275167785234,0.5704697986577181
North America,2015,42,4,77,134,0.31343283582089554,0.029850746268656716,0.5746268656716418
North America,2016,63,4,134,226,0.27876106194690264,0.017699115044247787,0.5929203539823009
North America,2017,60,2,116,203,0.2955665024630542,0.009852216748768473,0.5714285714285714
North America,2018,73,3,162,261,0.2796934865900383,0.011494252873563218,0.6206896551724138
North America,2019,65,4,180,274,0.23722627737226276,0.014598540145985401,0.656934306569343
North America,2020,61,5,153,254,0.24015748031496062,0.01968503937007874,0.6023622047244095
