Entity,Year,ai_job_postings
United States,2010,0.003
United States,2011,0.003
United States,2012,0.004
United States,2013,0.003
United States,2014,0.003
United States,2015,0.004
United States,2016,0.005
United States,2017,0.006
United States,2018,0.008
United States,2019,0.009
United States,2020,0.008
United States,2021,0.009
United Kingdom,2010,NA
United Kingdom,2011,NA
United Kingdom,2012,NA
United Kingdom,2013,0.002
United Kingdom,2014,0.002
United Kingdom,2015,0.0026
United Kingdom,2016,0.0031
United Kingdom,2017,0.0047
United Kingdom,2018,0.0056
United Kingdom,2019,0.0062
United Kingdom,2020,0.0078
United Kingdom,2021,0.0074
Canada,2010,NA
Canada,2011,NA
Canada,2012,NA
Canada,2013,0.0023
Canada,2014,0.0018
Canada,2015,0.0021
Canada,2016,0.0026
Canada,2017,0.004
Canada,2018,0.0053
Canada,2019,0.0062
Canada,2020,0.0069
Canada,2021,0.0078
Australia,2010,NA
Australia,2011,NA
Australia,2012,NA
Australia,2013,7e-4
Australia,2014,8e-4
Australia,2015,0.0012
Australia,2016,0.0016
Australia,2017,0.0026
Australia,2018,0.004
Australia,2019,0.0043
Australia,2020,0.0047
Australia,2021,0.0058
New Zealand,2010,NA
New Zealand,2011,NA
New Zealand,2012,NA
New Zealand,2013,6e-4
New Zealand,2014,9e-4
New Zealand,2015,0.0011
New Zealand,2016,9e-4
New Zealand,2017,0.0011
New Zealand,2018,0.0014
New Zealand,2019,0.0014
New Zealand,2020,0.0017
New Zealand,2021,0.0025
Singapore,2010,NA
Singapore,2011,NA
Singapore,2012,NA
Singapore,2013,0.0018
Singapore,2014,0.002
Singapore,2015,0.0028
Singapore,2016,0.0043
Singapore,2017,0.0098
Singapore,2018,0.0144
Singapore,2019,0.0198
Singapore,2020,0.0243
Singapore,2021,0.0233
