Entity,Year,conference_attendance
ICCV,2021,5011
EMNLP,2021,3760
FaccT,2021,1345
UAI,2021,2099
IROS,2021,2593
NeurIPS,2021,17091
ICML,2021,29537
CVPR,2021,8237
AAAI,2021,4086
IJCAI,2021,1904
ICRA,2021,1000
ICLR,2021,6306
ACL,2021,3531
AAMAS,2021,1076
KR,2021,666
ICAPS,2021,513
Total,2021,88755
ICCV,2020,
EMNLP,2020,4069
FaccT,2020,686
UAI,2020,352
IROS,2020,25719
NeurIPS,2020,22011
ICML,2020,10800
CVPR,2020,7500
AAAI,2020,4884
IJCAI,2020,
ICRA,2020,
ICLR,2020,5600
ACL,2020,3972
AAMAS,2020,3726
KR,2020,469
ICAPS,2020,450
Total,2020,90238
ICCV,2019,7546
EMNLP,2019,1938
FaccT,2019,500
UAI,2019,334
IROS,2019,3509
NeurIPS,2019,13000
ICML,2019,6481
CVPR,2019,9227
AAAI,2019,3227
IJCAI,2019,3015
ICRA,2019,3050
ICLR,2019,2720
ACL,2019,3283
AAMAS,2019,701
KR,2019,
ICAPS,2019,283
Total,2019,58814
ICCV,2018,
EMNLP,2018,2458
FaccT,2018,
UAI,2018,359
IROS,2018,3678
NeurIPS,2018,8648
ICML,2018,5023
CVPR,2018,6512
AAAI,2018,2251
IJCAI,2018,2550
ICRA,2018,3000
ICLR,2018,2000
ACL,2018,1322
AAMAS,2018,670
KR,2018,171
ICAPS,2018,262
Total,2018,38904
ICCV,2017,2922
EMNLP,2017,1233
FaccT,2017,
UAI,2017,201
IROS,2017,2678
NeurIPS,2017,8008
ICML,2017,2431
CVPR,2017,4976
AAAI,2017,1838
IJCAI,2017,2085
ICRA,2017,2000
ICLR,2017,1224.5
ACL,2017,1765
AAMAS,2017,415
KR,2017,
ICAPS,2017,201
Total,2017,31977.5
ICCV,2016,
EMNLP,2016,806
FaccT,2016,
UAI,2016,
IROS,2016,2174
NeurIPS,2016,5231
ICML,2016,3103
CVPR,2016,3606
AAAI,2016,1289
IJCAI,2016,1671
ICRA,2016,1500
ICLR,2016,449
ACL,2016,1649
AAMAS,2016,461
KR,2016,157
ICAPS,2016,226
Total,2016,22322
ICCV,2015,1533
EMNLP,2015,755
FaccT,2015,
UAI,2015,
IROS,2015,2079
NeurIPS,2015,3852
ICML,2015,1200
CVPR,2015,2750
AAAI,2015,1380
IJCAI,2015,1134
ICRA,2015,1300
ICLR,2015,369
ACL,2015,745
AAMAS,2015,424
KR,2015,
ICAPS,2015,160
Total,2015,17681
ICCV,2014,
EMNLP,2014,
FaccT,2014,
UAI,2014,
IROS,2014,1615
NeurIPS,2014,2581
ICML,2014,800
CVPR,2014,2061
AAAI,2014,1019
IJCAI,2014,
ICRA,2014,1200
ICLR,2014,176
ACL,2014,1437
AAMAS,2014,798
KR,2014,171
ICAPS,2014,222
Total,2014,12080
ICCV,2013,1225
EMNLP,2013,518
FaccT,2013,
UAI,2013,
IROS,2013,1472
NeurIPS,2013,1994
ICML,2013,500
CVPR,2013,1991
AAAI,2013,807
IJCAI,2013,920
ICRA,2013,1300
ICLR,2013,105
ACL,2013,987
AAMAS,2013,552
KR,2013,
ICAPS,2013,214
Total,2013,12585
ICCV,2012,
EMNLP,2012,
FaccT,2012,
UAI,2012,
IROS,2012,1447
NeurIPS,2012,1676
ICML,2012,744
CVPR,2012,1811
AAAI,2012,934
IJCAI,2012,
ICRA,2012,1200
ICLR,2012,
ACL,2012,973
AAMAS,2012,577
KR,2012,190
ICAPS,2012,133
Total,2012,9685
ICCV,2011,1544
EMNLP,2011,
FaccT,2011,
UAI,2011,
IROS,2011,1556
NeurIPS,2011,1452
ICML,2011,546
CVPR,2011,1496
AAAI,2011,1108
IJCAI,2011,1493
ICRA,2011,1200
ICLR,2011,
ACL,2011,1101
AAMAS,2011,450
KR,2011,
ICAPS,2011,225
Total,2011,12171
ICCV,2010,
EMNLP,2010,
FaccT,2010,
UAI,2010,
IROS,2010,1200
NeurIPS,2010,1354
ICML,2010,514
CVPR,2010,1306
AAAI,2010,918
IJCAI,2010,
ICRA,2010,2200
ICLR,2010,
ACL,2010,955
AAMAS,2010,593
KR,2010,175
ICAPS,2010,206
Total,2010,9421
