location,date,daily_confirmed_by_confirmation,7day_confirmed_by_confirmation,total_confirmed_by_confirmation,daily_confirmed_by_entry,7day_confirmed_by_entry,total_confirmed_by_entry,daily_all_by_entry,7day_all_by_entry,total_all_by_entry
Argentina,2022-05-18,,,,,,,0,,0
Argentina,2022-05-19,,,,,,,0,,0
Argentina,2022-05-20,,,,,,,0,,0
Argentina,2022-05-21,,,,,,,0,,0
Argentina,2022-05-22,,,,,,,1,,1
Argentina,2022-05-23,,,,,,,0,,1
Australia,2022-05-06,0,,0,,,,,,
Australia,2022-05-07,0,,0,,,,,,
Australia,2022-05-08,0,,0,,,,,,
Australia,2022-05-09,0,,0,,,,,,
Australia,2022-05-10,0,,0,,,,,,
Australia,2022-05-11,0,,0,,,,,,
Australia,2022-05-12,0,0,0,,,,,,
Australia,2022-05-13,0,0,0,,,,,,
Australia,2022-05-14,0,0,0,,,,,,
Australia,2022-05-15,0,0,0,,,,,,
Australia,2022-05-16,0,0,0,,,,,,
Australia,2022-05-17,0,0,0,,,,,,
Australia,2022-05-18,0,0,0,0,,0,0,,0
Australia,2022-05-19,0,0,0,0,,0,0,,0
Australia,2022-05-20,2,0.29,2,2,,2,2,,2
Australia,2022-05-21,0,0.29,2,0,,2,0,,2
Australia,2022-05-22,0,0.29,2,0,,2,0,,2
Australia,2022-05-23,0,0.29,2,0,,2,0,,2
Austria,2022-05-06,0,,0,,,,,,
Austria,2022-05-07,0,,0,,,,,,
Austria,2022-05-08,0,,0,,,,,,
Austria,2022-05-09,0,,0,,,,,,
Austria,2022-05-10,0,,0,,,,,,
Austria,2022-05-11,0,,0,,,,,,
Austria,2022-05-12,0,0,0,,,,,,
Austria,2022-05-13,0,0,0,,,,,,
Austria,2022-05-14,0,0,0,,,,,,
Austria,2022-05-15,0,0,0,,,,,,
Austria,2022-05-16,0,0,0,,,,,,
Austria,2022-05-17,0,0,0,,,,,,
Austria,2022-05-18,0,0,0,0,,0,0,,0
Austria,2022-05-19,0,0,0,0,,0,0,,0
Austria,2022-05-20,0,0,0,0,,0,0,,0
Austria,2022-05-21,0,0,0,0,,0,0,,0
Austria,2022-05-22,0,0,0,1,,1,1,,1
Austria,2022-05-23,1,0.14,1,0,,1,0,,1
Belgium,2022-05-06,0,,0,,,,,,
Belgium,2022-05-07,0,,0,,,,,,
Belgium,2022-05-08,0,,0,,,,,,
Belgium,2022-05-09,0,,0,,,,,,
Belgium,2022-05-10,0,,0,,,,,,
Belgium,2022-05-11,0,,0,,,,,,
Belgium,2022-05-12,0,0,0,,,,,,
Belgium,2022-05-13,0,0,0,,,,,,
Belgium,2022-05-14,0,0,0,,,,,,
Belgium,2022-05-15,0,0,0,,,,,,
Belgium,2022-05-16,0,0,0,,,,,,
Belgium,2022-05-17,0,0,0,,,,,,
Belgium,2022-05-18,0,0,0,0,,0,0,,0
Belgium,2022-05-19,1,0.14,1,2,,2,2,,2
Belgium,2022-05-20,2,0.43,3,1,,3,1,,3
Belgium,2022-05-21,1,0.57,4,0,,3,0,,3
Belgium,2022-05-22,0,0.57,4,1,,4,1,,4
Belgium,2022-05-23,0,0.57,4,0,,4,0,,4
Canada,2022-05-06,0,,0,,,,,,
Canada,2022-05-07,0,,0,,,,,,
Canada,2022-05-08,0,,0,,,,,,
Canada,2022-05-09,0,,0,,,,,,
Canada,2022-05-10,0,,0,,,,,,
Canada,2022-05-11,0,,0,,,,,,
Canada,2022-05-12,0,0,0,,,,,,
Canada,2022-05-13,0,0,0,,,,,,
Canada,2022-05-14,0,0,0,,,,,,
Canada,2022-05-15,0,0,0,,,,,,
Canada,2022-05-16,0,0,0,,,,,,
Canada,2022-05-17,0,0,0,,,,,,
Canada,2022-05-18,0,0,0,0,,0,13,,13
Canada,2022-05-19,2,0.29,2,5,,5,9,,22
Canada,2022-05-20,3,0.71,5,0,,5,0,,22
Canada,2022-05-21,0,0.71,5,0,,5,1,,23
Canada,2022-05-22,0,0.71,5,0,,5,0,,23
Canada,2022-05-23,0,0.71,5,0,,5,0,,23
Denmark,2022-05-06,0,,0,,,,,,
Denmark,2022-05-07,0,,0,,,,,,
Denmark,2022-05-08,0,,0,,,,,,
Denmark,2022-05-09,0,,0,,,,,,
Denmark,2022-05-10,0,,0,,,,,,
Denmark,2022-05-11,0,,0,,,,,,
Denmark,2022-05-12,0,0,0,,,,,,
Denmark,2022-05-13,0,0,0,,,,,,
Denmark,2022-05-14,0,0,0,,,,,,
Denmark,2022-05-15,0,0,0,,,,,,
Denmark,2022-05-16,0,0,0,,,,,,
Denmark,2022-05-17,0,0,0,,,,,,
Denmark,2022-05-18,0,0,0,0,,0,0,,0
Denmark,2022-05-19,0,0,0,0,,0,0,,0
Denmark,2022-05-20,0,0,0,0,,0,0,,0
Denmark,2022-05-21,0,0,0,0,,0,0,,0
Denmark,2022-05-22,0,0,0,0,,0,0,,0
Denmark,2022-05-23,1,0.14,1,1,,1,1,,1
France,2022-05-06,0,,0,,,,,,
France,2022-05-07,0,,0,,,,,,
France,2022-05-08,0,,0,,,,,,
France,2022-05-09,0,,0,,,,,,
France,2022-05-10,0,,0,,,,,,
France,2022-05-11,0,,0,,,,,,
France,2022-05-12,0,0,0,,,,,,
France,2022-05-13,0,0,0,,,,,,
France,2022-05-14,0,0,0,,,,,,
France,2022-05-15,0,0,0,,,,,,
France,2022-05-16,0,0,0,,,,,,
France,2022-05-17,0,0,0,,,,,,
France,2022-05-18,0,0,0,0,,0,0,,0
France,2022-05-19,1,0.14,1,1,,1,1,,1
France,2022-05-20,0,0.14,1,0,,1,0,,1
France,2022-05-21,0,0.14,1,0,,1,0,,1
France,2022-05-22,0,0.14,1,0,,1,0,,1
France,2022-05-23,2,0.43,3,2,,3,2,,3
Germany,2022-05-06,0,,0,,,,,,
Germany,2022-05-07,0,,0,,,,,,
Germany,2022-05-08,0,,0,,,,,,
Germany,2022-05-09,0,,0,,,,,,
Germany,2022-05-10,0,,0,,,,,,
Germany,2022-05-11,0,,0,,,,,,
Germany,2022-05-12,0,0,0,,,,,,
Germany,2022-05-13,0,0,0,,,,,,
Germany,2022-05-14,0,0,0,,,,,,
Germany,2022-05-15,0,0,0,,,,,,
Germany,2022-05-16,0,0,0,,,,,,
