Country,year,MMR,Live Births,Maternal deaths,Women reproductive age (15-49),MM-rate,,Skilled attendance %,"Source MMR, maternal death and Live birth",Comment,Source women reproductive age,Comments,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Australia (1871-2006),,,,,,,,,,,,,,,,,,,,
Belgium (1851-2007),,,,,,,,,,,,,,,,,,,,
Denmark (1921-1949 & 1970-2008),,,,,,,,,,,,,,,,,,,,
Finland (1751-2008),,,,,,,,,,,,,,,,,,,,
Germany (1952-2008),,,,,,,,,,,,,,,,,,,,
Ireland (1871-2008),,,,,,,,,,,,,,,,,,,,
Japan (1935-1990),,,,,,,,,,,,,,,,,,,,
Malaysia (1933-1997),,,,,,,,,,,,,,,,,,,,
Netherlands (1867-2008,,,,,,,,,,,,,,,,,,,,
New Zealand (1872-2006),,,,,,,,,,,,,,,,,,,,
Sri Lanka (1990-1996),,,,,,,,,,,,,,,,,,,,
Sweden (1751-2007),,,,,,,,,,,,,,,,,,,,
United Kingdome (1847-1999),,,,,,,,,,,,,,,,,,,,
United States (1900-2003),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Australia,1871-1980,643,,,,,,,"Loudon, Death in Childbirth,1992",only State of Virginia,,,,,,,,,,
Australia,1881-1990,592,,,,,,,"Loudon, Death in Childbirth, 1992",only State of Virginia,,,,,,,,,,
Australia,1891-1900,560,,,,,,,"Loudon, Death in Childbirth, 1992",only State of Virginia,,,,,,,,,,
Australia,1901-5,609,,,940332,0.00,,,"Loudon, Death in Childbirth, 1992",only State of Virginia,"Mitchell, B. International Historical Statistics. Europe 1750-2000. Fifth Edition, Palgrave, Maximillan, 2003",,,,,,,,,
Australia,1906,538,107890,,,,,,"Loudon, Death in Childbirth, 1992",only State of Virginia,,,,,,,,,,
Australia,1907,556.4,110347,614,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1908,543.3,111545,606,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1909,505.8,114071,577,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1910,505.1,116801,590,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1911,503.3,122193,615,1160839,52.98,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1912,483.9,133088,644,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1913,488.5,135714,663,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1914,459.5,137983,634,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1915,425.6,134871,574,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1916,527.3,131426,693,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1917,563.2,129965,732,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1918,470.8,125739,592,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1919,466.1,122290,570,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1920,500.0,136406,682,,,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1921,472.1,136198,643,1411700,45.55,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1922,451.6,137496,621,1436200,43.24,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1923,511.0,135222,691,1463700,47.21,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1924,547.0,134927,738,1491500,49.48,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1925,564.1,135792,766,1521900,50.33,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1926,530.2,133162,706,1553700,45.44,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1927,592.4,133698,792,1590700,49.79,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1928,598.2,134078,802,1626600,49.31,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1929,508.2,129480,658,1659300,39.66,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1930,529.6,128399,680,1686300,40.32,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1931,548.5,118509,650,1707900,38.06,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1932,555.3,110933,616,1728300,35.64,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1933,513.2,111269,571,1747200,32.68,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1934,576.4,109475,631,1761500,35.82,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1935,421.3,111325,469,1776800,26.40,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1936,599.6,116073,696,1796400,38.74,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
Australia,1937,462.5,119131,551,1814500,30.37,,,MD: Australian Institute of Health and Welfare (AIHW) LB and women reproductive age http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3105.0.65.0012006?OpenDocument,,,,,,,,,,,
