"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1960","1960",52.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1961","1961",45,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1962","1962",35.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1963","1963",27.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1964","1964",32.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1965","1965",33.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1966","1966",29.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1967","1967",23.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1968","1968",28.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1969","1969",17.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1970","1970",25.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1971","1971",18.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1972","1972",12.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1973","1973",11.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1974","1974",11.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1975","1975",5.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1976","1976",13.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1977","1977",8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1978","1978",6.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1979","1979",8.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1980","1980",9.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1981","1981",10.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1982","1982",10.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1983","1983",6.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1984","1984",7.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1985","1985",4.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1986","1986",6.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1987","1987",5.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1988","1988",4.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1989","1989",5.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1990","1990",6.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1991","1991",5.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1992","1992",3.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1993","1993",5.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1994","1994",6.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1995","1995",9.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1996","1996",4.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1997","1997",4.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1998","1998",2.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","1999","1999",4.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2000","2000",6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2001","2001",4.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2002","2002",4.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2003","2003",3.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2004","2004",4.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2005","2005",3.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2006","2006",4.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2007","2007",2.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2008","2008",2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2009","2009",3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2010","2010",4.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2011","2011",4.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2012","2012",5.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2013","2013",1.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2014","2014",4,,
