Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011]
Afghanistan,AFG,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,..
Afghanistan,AFG,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,17.35617
Albania,ALB,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,58.16801021
Albania,ALB,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,45.45161309
Algeria,DZA,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,31.77228691
Algeria,DZA,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,30.50179337
American Samoa,ASM,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.921169325
American Samoa,ASM,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,..
Angola,AGO,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,73.83311875
Angola,AGO,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,68.31485556
Anguilla,AIA,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,2.591118275
Anguilla,AIA,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,2.077090555
Antigua and Barbuda,ATG,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,2.199974309
Antigua and Barbuda,ATG,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,1.731454052
Argentina,ARG,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,..
Argentina,ARG,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,2.664829
Armenia,ARM,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,183.7795948
Armenia,ARM,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,187.0952841
Aruba,ABW,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,1.652751277
Aruba,ABW,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,1.260119143
Australia,AUS,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,1.526641499
Australia,AUS,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,1.511051726
Austria,AUT,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.847583846
Austria,AUT,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,0.8300201
Azerbaijan,AZE,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.329418712
Azerbaijan,AZE,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,0.360393821
"Bahamas, The",BHS,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,1.150899161
"Bahamas, The",BHS,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,0.949249486
Bahrain,BHR,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.215387245
Bahrain,BHR,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,0.210747167
Bangladesh,BGD,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,24.8491548
Bangladesh,BGD,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,23.14543192
Barbados,BRB,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,2.412880894
Barbados,BRB,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,2.016796315
Belarus,BLR,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,1832.434763
Belarus,BLR,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,1889.307698
Belgium,BEL,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.87901397
Belgium,BEL,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,0.838962077
Belize,BLZ,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,1.182611229
Belize,BLZ,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,1.149801478
Benin,BEN,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,224.9172239
Benin,BEN,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,214.0345636
Bermuda,BMU,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,1.900092642
Bermuda,BMU,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,1.563588687
Bhutan,BTN,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,16.96290663
Bhutan,BTN,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,16.85575719
Bolivia,BOL,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,2.906105727
Bolivia,BOL,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,2.946130743
Bonaire,BON,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.919288765
Bonaire,BON,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,..
Bosnia and Herzegovina,BIH,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.866935652
Bosnia and Herzegovina,BIH,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,0.724255406
Botswana,BWA,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,4.438052739
Botswana,BWA,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,3.76402106
Brazil,BRA,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,1.658782636
Brazil,BRA,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,1.471074854
Brunei Darussalam,BRN,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.852739404
Brunei Darussalam,BRN,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,0.717447717
Bulgaria,BGR,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,0.765068
Bulgaria,BGR,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,0.660189328
Burkina Faso,BFA,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,222.2419664
Burkina Faso,BFA,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,213.6591716
Burundi,BDI,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,487.3272763
Burundi,BDI,PPPs (US$ = 1),PPPGlob,100000:GROSS DOMESTIC PRODUCT,100000,425.7683007
Cabo Verde,CPV,PPPs (US$ = 1),PPPGlob,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,110000,47.56513987
