indicator_name,country,year_1993_pip,value_1993_pip,pipwelfare_1993_pip,year_2018_pip,value_2018_pip,pipwelfare_2018_pip,year_1993_wid,value_1993_wid,year_2018_wid,value_2018_wid,wid_is_extrapolated,region,population_1993,population_2018,pipreportinglevel_1993_pip,pipreportinglevel_2018_pip
gini,Albania,1996.0,27.01034164428711,consumption,2018.0,30.148283004760746,consumption,1996.0,46.76299285888672,2018.0,47.71903610229492,0.0,EE & CA,3300715,2877019,national,national
gini,Algeria,,,,,,,1993.0,56.52923583984375,2022.0,48.798553466796875,0.0,MENA,27354326,41927008,,
gini,Angola,,,,,,,1995.0,68.24657440185547,2018.0,68.55968475341797,0.0,SS Africa,13038277,31273538,,
gini,Argentina,1993.0,44.85628509521485,income,2018.0,41.72038269042969,income,1993.0,64.20611572265625,2018.0,55.964111328125,1.0,LAC,34027240,44413592,urban,urban
gini,Armenia,1996.0,44.41862487792969,income,2018.0,34.43349838256836,consumption,1996.0,58.84222412109375,2018.0,53.98642349243164,0.0,EE & CA,3457344,2836563,national,national
gini,Australia,1995.0,32.58198928833008,income,2018.0,34.333763122558594,income,1993.0,45.11117172241211,2018.0,47.9780502319336,0.0,W. Eur and Offshoots,17631514,24979228,national,national
gini,Austria,1994.0,30.828020095825195,income,2018.0,30.84878921508789,income,1993.0,44.20001983642578,2018.0,43.28750228881836,1.0,W. Eur and Offshoots,7905280,8840518,national,national
gini,Azerbaijan,,,,,,,1995.0,55.56126403808594,2022.0,55.56126403808594,0.0,EE & CA,7740112,10152524,,
gini,Bahrain,,,,,,,1995.0,65.06373596191406,2015.0,66.28176879882812,0.0,MENA,573762,1487346,,
gini,Bangladesh,1991.0,27.570804595947266,consumption,2016.0,32.38527297973633,consumption,1991.0,49.25115203857422,2016.0,52.98373794555664,0.0,S & SE Asia,113418760,163683952,national,national
gini,Belarus,1998.0,32.018348693847656,consumption,2018.0,25.24052619934082,consumption,1993.0,38.858882904052734,2018.0,42.88582611083984,0.0,EE & CA,10480485,9695573,national,national
gini,Belgium,1992.0,24.95187759399414,income,2018.0,27.214414596557617,income,1993.0,44.237060546875,2017.0,43.43203353881836,0.0,W. Eur and Offshoots,10043738,11448598,national,national
gini,Bolivia,1997.0,58.1644287109375,income,2018.0,42.57975769042969,income,1993.0,67.57267761230469,2018.0,65.0727767944336,1.0,LAC,7544494,11606906,national,national
gini,Bosnia and Herzegovina,,,,,,,1990.0,38.855751037597656,2015.0,48.30551528930664,0.0,EE & CA,3942985,3400132,,
gini,Botswana,1993.0,60.790653228759766,consumption,2015.0,53.32502746582031,consumption,1993.0,77.0325927734375,2015.0,70.0338363647461,0.0,SS Africa,1462267,2451411,national,national
gini,Brazil,1993.0,60.11882400512695,income,2018.0,53.892372131347656,income,1993.0,68.20763397216797,2018.0,68.0779800415039,1.0,LAC,158440864,210166592,national,national
gini,Bulgaria,1992.0,30.71430969238281,income,2018.0,41.28409957885742,income,1993.0,45.19773483276367,2018.0,55.304229736328125,0.0,EE & CA,8611541,7117424,national,national
gini,Burkina Faso,1994.0,48.07249450683594,consumption,2018.0,43.01673126220703,consumption,1994.0,67.32967376708984,2022.0,65.4575424194336,0.0,SS Africa,9840080,20392730,national,national
gini,Burundi,1992.0,33.33381271362305,consumption,2020.0,37.45650863647461,consumption,1992.0,53.97093963623047,2022.0,58.73683547973633,0.0,SS Africa,5555227,11493476,national,national
gini,Cameroon,1996.0,44.44675827026367,consumption,2021.0,42.17607498168945,consumption,1996.0,64.13589477539062,2022.0,63.769996643066406,0.0,SS Africa,12486776,25076752,national,national
gini,Canada,1993.0,31.682762145996094,income,2018.0,32.50926971435547,income,1993.0,46.96441268920898,2018.0,48.4473991394043,0.0,W. Eur and Offshoots,28668168,37035260,national,national
gini,Central African Republic,1992.0,61.33074951171875,consumption,2021.0,43.046424865722656,consumption,1992.0,75.44278717041016,2022.0,73.32042694091797,0.0,SS Africa,3089148,5094795,national,national
gini,Chile,1992.0,54.81448745727539,income,2017.0,45.27154922485352,income,1993.0,72.21924591064453,2018.0,72.10216522216797,1.0,LAC,13998387,18701452,national,national
gini,China,1993.0,33.87779998779297,consumption,2018.0,38.49764251708984,consumption,1993.0,47.75985336303711,2016.0,55.37135696411133,0.0,East Asia,1195855616,1417069440,national,national
gini,Colombia,1992.0,51.45367431640625,income,2018.0,50.418704986572266,income,1993.0,71.7738037109375,2018.0,69.56590270996094,1.0,LAC,34614732,49276968,national,national
gini,Comoros,,,,,,,1995.0,73.9120101928711,2022.0,62.144100189208984,0.0,SS Africa,463325,776322,,
gini,Costa Rica,1993.0,46.0031623840332,income,2018.0,47.97240447998047,income,1993.0,66.0208969116211,2018.0,67.89044189453125,1.0,LAC,3405376,5040738,national,national
gini,Cote d'Ivoire,1992.0,39.3857650756836,consumption,2018.0,37.16887664794922,consumption,1993.0,56.39061737060547,2015.0,60.120697021484375,0.0,SS Africa,13316449,25493990,national,national
gini,Croatia,1998.0,28.74835968017578,consumption,2018.0,29.729473114013672,income,1989.0,42.00775146484375,2018.0,46.60787582397461,0.0,EE & CA,4792409,4160488,national,national
gini,Cyprus,,,,,,,1990.0,49.33867645263672,2017.0,46.67582321166992,0.0,EE & CA,825993,1218834,,
gini,Czechia,1993.0,26.60479164123535,income,2018.0,24.99034118652344,income,1992.0,34.39767837524414,2018.0,37.06320190429688,0.0,EE & CA,10318915,10534598,national,national
gini,Denmark,1992.0,24.693811416625977,income,2018.0,28.166336059570312,income,1993.0,34.05763626098633,2017.0,43.84457015991211,0.0,W. Eur and Offshoots,5193776,5766689,national,national
gini,Dominican Republic,1992.0,51.35976028442383,income,2018.0,43.68666076660156,income,1993.0,67.70709228515625,2018.0,67.19037628173828,1.0,LAC,7576083,10765532,national,national
gini,Ecuador,1994.0,53.36896133422852,income,2018.0,45.44029998779297,income,1993.0,66.53160095214844,2018.0,57.19853210449219,1.0,LAC,11132833,17015672,national,national
gini,Egypt,1995.0,30.1269588470459,consumption,2019.0,31.893556594848636,consumption,1993.0,54.36928939819336,2017.0,58.078575134277344,0.0,MENA,61382204,103740768,national,national
gini,El Salvador,1991.0,53.95189666748047,income,2018.0,38.610572814941406,income,1993.0,66.9001235961914,2018.0,61.12361145019531,1.0,LAC,5630994,6276340,national,national
gini,Estonia,1993.0,39.503448486328125,income,2018.0,30.32145118713379,income,1988.0,36.35968017578125,2018.0,48.16743087768555,0.0,EE & CA,1504446,1322146,national,national
gini,Eswatini,1994.0,60.45472717285156,consumption,2016.0,54.57979583740234,consumption,1994.0,75.7526626586914,2016.0,70.4675521850586,0.0,SS Africa,953454,1160430,national,national
