country,series_code,indicator_name,year_1980,value_1980,year_2018,value_2018,pipwelfare_1980,pipwelfare_2018,pipreportinglevel_1980,pipreportinglevel_2018,region,population_1980,population_2018
Australia,gini_pip_disposable_perCapita,gini,1981,0.3132578730583191,2018,0.3433376252651214,income,income,national,national,W. Eur and Offshoots,14706329,24979228
Bangladesh,gini_pip_disposable_perCapita,gini,1983,0.2587648928165436,2016,0.3238527178764343,consumption,consumption,national,national,S & SE Asia,83929768,163683952
Belgium,gini_pip_disposable_perCapita,gini,1985,0.2520385086536407,2018,0.2721441388130188,income,income,national,national,W. Eur and Offshoots,9828989,11448598
Botswana,gini_pip_disposable_perCapita,gini,1985,0.5421210527420044,2015,0.5332502722740173,consumption,consumption,national,national,SS Africa,938582,2451411
Canada,gini_pip_disposable_perCapita,gini,1979,0.3347417116165161,2018,0.3250927031040191,income,income,national,national,W. Eur and Offshoots,24511512,37035260
China,gini_pip_disposable_perCapita,gini,1981,0.2816409766674042,2018,0.3849764168262481,income,consumption,national,national,East Asia,982372480,1417069440
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1985,0.455262690782547,2018,0.3716887533664703,consumption,consumption,national,national,SS Africa,8303818,25493990
Ethiopia,gini_pip_disposable_perCapita,gini,1981,0.3242495656013489,2015,0.3499312400817871,consumption,consumption,rural,national,SS Africa,34945472,111129440
France,gini_pip_disposable_perCapita,gini,1979,0.3404261767864227,2018,0.323806881904602,income,income,national,national,W. Eur and Offshoots,53713836,64277812
India,gini_pip_disposable_perCapita,gini,1977,0.3321363031864166,2018,0.3454484343528747,consumption,consumption,national,national,S & SE Asia,696828352,1369003264
Indonesia,gini_pip_disposable_perCapita,gini,1984,0.3345597982406616,2018,0.384103775024414,consumption,consumption,national,national,S & SE Asia,148177104,267066848
Israel,gini_pip_disposable_perCapita,gini,1979,0.3632997572422027,2018,0.3857717514038086,income,income,national,national,MENA,3744612,8456487
Italy,gini_pip_disposable_perCapita,gini,1980,0.3289926648139953,2018,0.3522257208824157,income,income,national,national,W. Eur and Offshoots,56329480,59877432
Luxembourg,gini_pip_disposable_perCapita,gini,1985,0.2629435658454895,2018,0.3536809384822845,income,income,national,national,W. Eur and Offshoots,363745,607920
Malaysia,gini_pip_disposable_perCapita,gini,1984,0.4862481355667114,2018,0.4117677509784698,income,income,national,national,S & SE Asia,13215709,32399270
Morocco,gini_pip_disposable_perCapita,gini,1984,0.3918663561344147,2013,0.3954850733280182,consumption,consumption,national,national,MENA,19678446,35927516
Netherlands,gini_pip_disposable_perCapita,gini,1983,0.2836605310440063,2018,0.2812108099460602,income,income,national,national,W. Eur and Offshoots,14130383,17286042
Nigeria,gini_pip_disposable_perCapita,gini,1985,0.3867785036563873,2018,0.3512774407863617,consumption,consumption,national,national,SS Africa,72951440,198387616
Norway,gini_pip_disposable_perCapita,gini,1979,0.2689476013183594,2018,0.275608628988266,income,income,national,national,W. Eur and Offshoots,4085778,5312321
Philippines,gini_pip_disposable_perCapita,gini,1985,0.4103743433952331,2018,0.3781170547008514,consumption,consumption,national,national,S & SE Asia,48419544,108568832
Poland,gini_pip_disposable_perCapita,gini,1985,0.2516496479511261,2018,0.302154392004013,income,income,national,national,EE & CA,35521432,38521464
Rwanda,gini_pip_disposable_perCapita,gini,1984,0.288985937833786,2016,0.4371004700660705,consumption,consumption,rural,national,SS Africa,5247537,12531810
Spain,gini_pip_disposable_perCapita,gini,1980,0.3448354601860046,2018,0.3471894860267639,income,income,national,national,W. Eur and Offshoots,37491664,46792044
Sri Lanka,gini_pip_disposable_perCapita,gini,1985,0.3246785402297973,2019,0.3766377568244934,consumption,consumption,national,national,S & SE Asia,14943644,21580712
Sweden,gini_pip_disposable_perCapita,gini,1981,0.2292357385158538,2018,0.2997418940067291,income,income,national,national,W. Eur and Offshoots,8311761,10162300
Switzerland,gini_pip_disposable_perCapita,gini,1982,0.3600737452507019,2018,0.3314104974269867,income,income,national,national,W. Eur and Offshoots,6319116,8514431
Thailand,gini_pip_disposable_perCapita,gini,1981,0.4521682262420654,2018,0.3641217350959778,consumption,consumption,national,national,S & SE Asia,45737756,71127808
Tunisia,gini_pip_disposable_perCapita,gini,1985,0.4343376755714416,2021,0.3371642529964447,consumption,consumption,national,national,MENA,6578159,11933040
United Kingdom,gini_pip_disposable_perCapita,gini,1980,0.2847789227962494,2018,0.3369105756282806,income,income,national,national,W. Eur and Offshoots,56326328,66432996
United States,gini_pip_disposable_perCapita,gini,1980,0.3471840023994446,2018,0.4140784442424774,income,income,national,national,W. Eur and Offshoots,223140016,332140032
Australia,gini_wid_pretaxNational_perAdult,gini,1980,0.4200280904769897,2018,0.4797804951667785,,,,,W. Eur and Offshoots,14706329,24979228
Bangladesh,gini_wid_pretaxNational_perAdult,gini,1983,0.4731695652008056,2016,0.5298373699188232,,,,,S & SE Asia,83929768,163683952
Belgium,gini_wid_pretaxNational_perAdult,gini,1985,0.4294441938400268,2017,0.434320330619812,,,,,W. Eur and Offshoots,9828989,11448598
Botswana,gini_wid_pretaxNational_perAdult,gini,1985,0.7046368718147278,2015,0.7003383636474609,,,,,SS Africa,938582,2451411
Canada,gini_wid_pretaxNational_perAdult,gini,1980,0.4203586876392364,2018,0.4844740033149719,,,,,W. Eur and Offshoots,24511512,37035260
China,gini_wid_pretaxNational_perAdult,gini,1980,0.3821532130241394,2016,0.5537135601043701,,,,,East Asia,982372480,1417069440
Cote d'Ivoire,gini_wid_pretaxNational_perAdult,gini,1985,0.64234858751297,2015,0.6012069582939148,,,,,SS Africa,8303818,25493990
Ethiopia,gini_wid_pretaxNational_perAdult,gini,1981,0.5469196438789368,2015,0.5543134212493896,,,,,SS Africa,34945472,111129440
France,gini_wid_pretaxNational_perAdult,gini,1980,0.4292876124382019,2018,0.4575912654399872,,,,,W. Eur and Offshoots,53713836,64277812
India,gini_wid_pretaxNational_perAdult,gini,1980,0.4404766857624054,2022,0.633618175983429,,,,,S & SE Asia,696828352,1369003264
Indonesia,gini_wid_pretaxNational_perAdult,gini,1985,0.5414184927940369,2017,0.544675886631012,,,,,S & SE Asia,148177104,267066848
Israel,gini_wid_pretaxNational_perAdult,gini,1979,0.5934280753135681,2016,0.5936489701271057,,,,,MENA,3744612,8456487
Italy,gini_wid_pretaxNational_perAdult,gini,1981,0.4194568991661072,2022,0.5310180187225342,,,,,W. Eur and Offshoots,56329480,59877432
Luxembourg,gini_wid_pretaxNational_perAdult,gini,1985,0.4418270289897918,2017,0.4859314560890198,,,,,W. Eur and Offshoots,363745,607920
