country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_2018
Albania,gini_pip_disposable_perCapita,gini,1996,27.01034164428711,2018,30.148283004760742,consumption,consumption,national,national,EE & CA,3300715,2877019
Argentina,gini_pip_disposable_perCapita,gini,1993,44.856285095214844,2018,41.72038269042969,income,income,urban,urban,LAC,34027240,44413592
Armenia,gini_pip_disposable_perCapita,gini,1996,44.41862487792969,2018,34.43349838256836,income,consumption,national,national,EE & CA,3457344,2836563
Australia,gini_pip_disposable_perCapita,gini,1995,32.58198928833008,2018,34.333763122558594,income,income,national,national,W. Eur and Offshoots,17631514,24979228
Austria,gini_pip_disposable_perCapita,gini,1994,30.828020095825195,2018,30.84878921508789,income,income,national,national,W. Eur and Offshoots,7905280,8840518
Bangladesh,gini_pip_disposable_perCapita,gini,1991,27.570804595947266,2016,32.38527297973633,consumption,consumption,national,national,S & SE Asia,113418760,163683952
Belarus,gini_pip_disposable_perCapita,gini,1998,32.018348693847656,2018,25.24052619934082,consumption,consumption,national,national,EE & CA,10480485,9695573
Belgium,gini_pip_disposable_perCapita,gini,1992,24.95187759399414,2018,27.214414596557617,income,income,national,national,W. Eur and Offshoots,10043738,11448598
Bolivia,gini_pip_disposable_perCapita,gini,1997,58.1644287109375,2018,42.57975769042969,income,income,national,national,LAC,7544494,11606906
Botswana,gini_pip_disposable_perCapita,gini,1993,60.790653228759766,2015,53.32502746582031,consumption,consumption,national,national,SS Africa,1462267,2451411
Brazil,gini_pip_disposable_perCapita,gini,1993,60.11882400512695,2018,53.892372131347656,income,income,national,national,LAC,158440864,210166592
Bulgaria,gini_pip_disposable_perCapita,gini,1992,30.714309692382812,2018,41.28409957885742,income,income,national,national,EE & CA,8611541,7117424
Burkina Faso,gini_pip_disposable_perCapita,gini,1994,48.07249450683594,2018,43.01673126220703,consumption,consumption,national,national,SS Africa,9840080,20392730
Burundi,gini_pip_disposable_perCapita,gini,1992,33.33381271362305,2020,37.45650863647461,consumption,consumption,national,national,SS Africa,5555227,11493476
Cameroon,gini_pip_disposable_perCapita,gini,1996,44.44675827026367,2021,42.17607498168945,consumption,consumption,national,national,SS Africa,12486776,25076752
Canada,gini_pip_disposable_perCapita,gini,1993,31.682762145996094,2018,32.50926971435547,income,income,national,national,W. Eur and Offshoots,28668168,37035260
Central African Republic,gini_pip_disposable_perCapita,gini,1992,61.33074951171875,2021,43.046424865722656,consumption,consumption,national,national,SS Africa,3089148,5094795
Chile,gini_pip_disposable_perCapita,gini,1992,54.81448745727539,2017,45.271549224853516,income,income,national,national,LAC,13998387,18701452
China,gini_pip_disposable_perCapita,gini,1993,33.87779998779297,2018,38.497642517089844,consumption,consumption,national,national,East Asia,1195855616,1417069440
Colombia,gini_pip_disposable_perCapita,gini,1992,51.45367431640625,2018,50.418704986572266,income,income,national,national,LAC,34614732,49276968
Costa Rica,gini_pip_disposable_perCapita,gini,1993,46.0031623840332,2018,47.97240447998047,income,income,national,national,LAC,3405376,5040738
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1992,39.385765075683594,2018,37.16887664794922,consumption,consumption,national,national,SS Africa,13316449,25493990
Croatia,gini_pip_disposable_perCapita,gini,1998,28.74835968017578,2018,29.729473114013672,consumption,income,national,national,EE & CA,4792409,4160488
Czechia,gini_pip_disposable_perCapita,gini,1993,26.60479164123535,2018,24.990341186523438,income,income,national,national,EE & CA,10318915,10534598
Denmark,gini_pip_disposable_perCapita,gini,1992,24.693811416625977,2018,28.166336059570312,income,income,national,national,W. Eur and Offshoots,5193776,5766689
Dominican Republic,gini_pip_disposable_perCapita,gini,1992,51.35976028442383,2018,43.68666076660156,income,income,national,national,LAC,7576083,10765532
Ecuador,gini_pip_disposable_perCapita,gini,1994,53.368961334228516,2018,45.44029998779297,income,income,national,national,LAC,11132833,17015672
Egypt,gini_pip_disposable_perCapita,gini,1995,30.1269588470459,2019,31.893556594848633,consumption,consumption,national,national,MENA,61382204,103740768
El Salvador,gini_pip_disposable_perCapita,gini,1991,53.95189666748047,2018,38.610572814941406,income,income,national,national,LAC,5630994,6276340
Estonia,gini_pip_disposable_perCapita,gini,1993,39.503448486328125,2018,30.32145118713379,income,income,national,national,EE & CA,1504446,1322146
Eswatini,gini_pip_disposable_perCapita,gini,1994,60.45472717285156,2016,54.579795837402344,consumption,consumption,national,national,SS Africa,953454,1160430
Ethiopia,gini_pip_disposable_perCapita,gini,1995,44.56451416015625,2015,34.993125915527344,consumption,consumption,national,national,SS Africa,53791672,111129440
Finland,gini_pip_disposable_perCapita,gini,1991,22.8797607421875,2018,27.32977294921875,income,income,national,national,W. Eur and Offshoots,5066609,5515465
France,gini_pip_disposable_perCapita,gini,1990,32.11906433105469,2018,32.38068771362305,income,income,national,national,W. Eur and Offshoots,57053728,64277812
Gambia,gini_pip_disposable_perCapita,gini,1998,48.519466400146484,2020,38.757205963134766,consumption,consumption,national,national,SS Africa,1168317,2444916
Georgia,gini_pip_disposable_perCapita,gini,1996,37.13270568847656,2018,36.41136169433594,consumption,consumption,national,national,EE & CA,5127512,3772323
Germany,gini_pip_disposable_perCapita,gini,1993,28.541542053222656,2018,31.79068946838379,income,income,national,national,W. Eur and Offshoots,80573496,82896696
Ghana,gini_pip_disposable_perCapita,gini,1991,38.43722915649414,2016,43.52088165283203,consumption,consumption,national,national,SS Africa,16643639,30870648
Greece,gini_pip_disposable_perCapita,gini,1995,36.97557067871094,2018,32.891204833984375,income,income,national,national,W. Eur and Offshoots,10563442,10633275
Guatemala,gini_pip_disposable_perCapita,gini,1989,59.59877395629883,2014,48.278587341308594,income,income,national,national,LAC,9831871,16850176
Guinea,gini_pip_disposable_perCapita,gini,1994,46.081607818603516,2018,29.59195327758789,consumption,consumption,national,national,SS Africa,7046101,12554871
Guinea-Bissau,gini_pip_disposable_perCapita,gini,1993,43.610225677490234,2018,34.76523208618164,consumption,consumption,national,national,SS Africa,1056767,1924954
Honduras,gini_pip_disposable_perCapita,gini,1993,53.467445373535156,2018,48.93778610229492,income,income,national,national,LAC,5496843,9792854
Hungary,gini_pip_disposable_perCapita,gini,1993,27.94097328186035,2018,29.612043380737305,income,income,national,national,EE & CA,10357423,9776361
India,gini_pip_disposable_perCapita,gini,1993,31.557538986206055,2018,34.54484176635742,consumption,consumption,national,national,S & SE Asia,926351296,1369003264
Indonesia,gini_pip_disposable_perCapita,gini,1993,33.16279983520508,2018,38.410377502441406,consumption,consumption,national,national,S & SE Asia,191737280,267066848
Iran,gini_pip_disposable_perCapita,gini,1994,42.99837112426758,2018,37.41990661621094,consumption,consumption,national,national,MENA,59755432,85617560
