p,q,top1_share_gpinter,country,year,reporting_level,welfare_type
0.99,20.7638898248462,0.0337220299246262,Albania,1996,national,consumption
0.99,30.4717128618436,0.0540309213952706,Albania,2002,national,consumption
0.99,30.9613521533085,0.0489317156263512,Albania,2005,national,consumption
0.99,35.8400873451268,0.0606361425838504,Albania,2008,national,consumption
0.99,29.4749919808002,0.0424641233787126,Albania,2012,national,consumption
0.99,35.3250600914941,0.0450548097695924,Albania,2014,national,consumption
0.99,40.977756953881,0.0428229855549309,Albania,2015,national,consumption
0.99,42.8254574028335,0.0424031791480131,Albania,2016,national,consumption
0.99,40.8693040365537,0.0411470369093302,Albania,2017,national,consumption
0.99,39.9084516813704,0.0368419511182425,Albania,2018,national,consumption
0.99,49.4010227072813,0.0397236839217507,Albania,2019,national,consumption
0.99,33.2897349763487,0.114081678678672,Algeria,1988,national,consumption
0.99,28.0132921758924,0.0506917893636913,Algeria,1995,national,consumption
0.99,30.2327126029683,0.0423038572886444,Algeria,2011,national,consumption
0.99,52.8658759733845,0.128213903676246,Angola,2000,national,consumption
0.99,33.2118093561978,0.082835150341406,Angola,2008,national,consumption
0.99,32.3783523086042,0.140943460719954,Angola,2018,national,consumption
0.99,38.3476046690726,0.102823776209901,Armenia,1996,national,income
0.99,24.8865923225194,0.0808851252321467,Armenia,1999,national,consumption
0.99,21.4734081499956,0.0650487896798647,Armenia,2001,national,consumption
0.99,22.6161358676473,0.0711727661143088,Armenia,2002,national,consumption
0.99,24.0201120994569,0.0810498974608666,Armenia,2003,national,consumption
0.99,33.7900288983963,0.0942692971425551,Armenia,2004,national,consumption
0.99,36.7548382616731,0.089610315494513,Armenia,2005,national,consumption
0.99,24.4707152371607,0.0527730320372479,Armenia,2006,national,consumption
0.99,27.0346455258195,0.0490664889147971,Armenia,2007,national,consumption
0.99,24.6229192501764,0.0483898461321606,Armenia,2008,national,consumption
0.99,21.4706207037974,0.044497497522921,Armenia,2009,national,consumption
0.99,24.060524744234,0.0594792894042949,Armenia,2010,national,consumption
0.99,25.4927991799925,0.0551339091944572,Armenia,2011,national,consumption
0.99,28.9257796725566,0.0623693721606552,Armenia,2012,national,consumption
0.99,25.409638484925,0.0566086708011308,Armenia,2013,national,consumption
0.99,35.4597834386041,0.0735328969348678,Armenia,2014,national,consumption
0.99,39.3648972878163,0.0695237688740215,Armenia,2015,national,consumption
0.99,27.6135510666418,0.0688032515502088,Armenia,2016,national,consumption
0.99,37.5704082587248,0.0839818556042375,Armenia,2017,national,consumption
0.99,44.8510000382025,0.0867865717121032,Armenia,2018,national,consumption
0.99,28.1187431710085,0.0601645786036272,Armenia,2019,national,consumption
0.99,21.6623753660335,0.0426156163504982,Armenia,2020,national,consumption
0.99,117.008702591769,0.0373481001888123,Australia,1981,national,income
0.99,123.806996871544,0.0406219708211247,Australia,1985,national,income
0.99,128.319455348176,0.047074199435507,Australia,1989,national,income
0.99,123.055451502331,0.0450250750964633,Australia,1995,national,income
0.99,135.787835710154,0.0468678661683531,Australia,2001,national,income
0.99,146.028271269528,0.0481462025457398,Australia,2003,national,income
0.99,169.648115105052,0.048463170807344,Australia,2004,national,income
0.99,175.317008252982,0.0534480891393555,Austria,1994,national,income
0.99,131.425854831584,0.036137452023041,Austria,1995,national,income
0.99,165.259930113405,0.0462580498877127,Austria,1997,national,income
0.99,159.959342770163,0.0410756378018943,Austria,2000,national,income
0.99,181.038147620971,0.047310218871668,Austria,2003,national,income
0.99,191.645836314234,0.046835914531699,Austria,2004,national,income
0.99,174.63828066448,0.0423741921069775,Austria,2005,national,income
0.99,189.733169461539,0.0485162122495242,Austria,2006,national,income
0.99,191.91136867908,0.0452736821718519,Austria,2007,national,income
0.99,213.624702935211,0.0519571188749843,Austria,2008,national,income
0.99,211.208332970226,0.0459809695939829,Austria,2010,national,income
0.99,200.394705217921,0.0466413564704775,Austria,2011,national,income
0.99,201.762837229392,0.0465957478972416,Austria,2012,national,income
0.99,221.718266413756,0.0563730142087069,Austria,2013,national,income
0.99,216.49136713138,0.0528963739721712,Austria,2014,national,income
0.99,204.200749420352,0.0519711608531643,Austria,2015,national,income
0.99,196.894780724004,0.0487324309811495,Austria,2016,national,income
0.99,207.96992354136,0.0450745065947361,Austria,2017,national,income
0.99,200.799065892881,0.0499828095573246,Austria,2018,national,income
0.99,196.896028083781,0.0443188666950239,Austria,2019,national,income
0.99,19.851584243979,0.0515758092010331,Azerbaijan,1995,national,consumption
0.99,29.5893749558108,0.0685731392669192,Azerbaijan,2001,national,consumption
0.99,27.2656304594484,0.0513710064823322,Azerbaijan,2002,national,consumption
0.99,29.2239752664625,0.0529402776599745,Azerbaijan,2003,national,consumption
0.99,31.6221172018619,0.0597894704220015,Azerbaijan,2004,national,consumption
0.99,33.4441001199997,0.0566083181375396,Azerbaijan,2005,national,consumption
0.99,8.60582007381968,0.0413760829441239,Bangladesh,1983,national,consumption
0.99,10.3643577716775,0.0568191509276783,Bangladesh,1988,national,consumption
0.99,9.19370891619478,0.0469681622249476,Bangladesh,1991,national,consumption
0.99,14.9362352935369,0.0709918301603621,Bangladesh,1995,national,consumption
0.99,14.15178233752,0.0638649074023349,Bangladesh,2000,national,consumption
0.99,16.6864584566453,0.067593004529325,Bangladesh,2005,national,consumption
0.99,16.1725893105258,0.0629525317410621,Bangladesh,2010,national,consumption
0.99,16.8140639909508,0.0650693948641157,Bangladesh,2016,national,consumption
0.99,16.0540147560767,0.032832240467041,Belarus,1993,national,income
0.99,27.7159717127262,0.0444947220768236,Belarus,1995,national,income
0.99,13.1177668184552,0.0509714809329578,Belarus,1998,national,consumption
0.99,14.1858050891112,0.0463358793967727,Belarus,1999,national,consumption
0.99,16.6072824691833,0.0506596433038695,Belarus,2000,national,consumption
0.99,18.7704037749697,0.0491237832458739,Belarus,2001,national,consumption
0.99,20.3421342492635,0.0499873277709596,Belarus,2002,national,consumption
0.99,19.0032668074493,0.0405461160787751,Belarus,2003,national,consumption
0.99,20.2371594410499,0.0351501647651132,Belarus,2004,national,consumption
0.99,27.120797875584,0.0396041492987597,Belarus,2005,national,consumption
0.99,30.1994687252147,0.0407331764709995,Belarus,2006,national,consumption
0.99,37.1412733432605,0.0475204100103739,Belarus,2007,national,consumption
0.99,36.233766262517,0.0429382218466289,Belarus,2008,national,consumption
0.99,38.2317712678753,0.0435433851730559,Belarus,2009,national,consumption
0.99,44.0554760865143,0.0399024556925118,Belarus,2010,national,consumption
0.99,41.9806464297378,0.0395598502457339,Belarus,2011,national,consumption
0.99,48.6393852702103,0.0425714848648714,Belarus,2012,national,consumption
0.99,51.4695785800566,0.0454679131812314,Belarus,2013,national,consumption
0.99,59.5535321613476,0.0455734214062097,Belarus,2014,national,consumption
0.99,49.2872135320521,0.037264243930168,Belarus,2015,national,consumption
0.99,47.0709611162523,0.0385131351076401,Belarus,2016,national,consumption
0.99,47.2448502573374,0.0394206922410774,Belarus,2017,national,consumption
0.99,53.7806683528027,0.0412465493862631,Belarus,2018,national,consumption
0.99,55.8182406090602,0.0378460162691802,Belarus,2019,national,consumption
0.99,54.0629164539567,0.0374517705088666,Belarus,2020,national,consumption
0.99,92.0486260080765,0.0358954590924657,Belgium,1985,national,income
0.99,103.49580267712,0.0411612646906067,Belgium,1988,national,income
0.99,97.7980724094063,0.0311996381322712,Belgium,1992,national,income
0.99,142.829840996009,0.0469186623104732,Belgium,1995,national,income
0.99,128.443054796827,0.0369884229866551,Belgium,1997,national,income
0.99,169.928716252238,0.113241299426105,Belgium,2000,national,income
0.99,141.598810674754,0.0420963948815473,Belgium,2003,national,income
0.99,148.559389869841,0.0808187839283863,Belgium,2004,national,income
0.99,158.219193629147,0.0633704475447813,Belgium,2005,national,income
0.99,153.290316639525,0.0441515681782547,Belgium,2006,national,income
0.99,163.796130054646,0.0567957396200815,Belgium,2007,national,income
0.99,162.883053686129,0.0499735191378939,Belgium,2008,national,income
0.99,166.196986191093,0.0493631316717012,Belgium,2009,national,income
0.99,158.670354857778,0.0492980403428426,Belgium,2010,national,income
0.99,152.134192601047,0.0461320626933891,Belgium,2011,national,income
0.99,152.399953045431,0.0431311000667203,Belgium,2012,national,income
0.99,155.567737068131,0.0416809535713862,Belgium,2013,national,income
0.99,158.163265971313,0.0467102993424294,Belgium,2014,national,income
0.99,158.22871338363,0.0440739939851954,Belgium,2015,national,income
0.99,156.469715930054,0.0454742210965121,Belgium,2016,national,income
0.99,165.519663156261,0.0444451577194881,Belgium,2017,national,income
0.99,164.304166210887,0.04918173381688,Belgium,2018,national,income
0.99,172.543401368359,0.0519007241573704,Belgium,2019,national,income
0.99,89.7095266592021,0.141624304830101,Belize,1995,national,consumption
0.99,13.3298771950185,0.0807211487612918,Benin,2003,national,consumption
0.99,16.4684988624555,0.0822145343606611,Benin,2011,national,consumption
0.99,18.4266064857311,0.0973170238330923,Benin,2015,national,consumption
0.99,21.3209219871378,0.0706469594329345,Benin,2018,national,consumption
0.99,32.7733072594731,0.0827417172294948,Bhutan,2003,national,consumption
0.99,31.3126228144146,0.0609537220805549,Bhutan,2007,national,consumption
0.99,46.819002088669,0.0750422878916739,Bhutan,2012,national,consumption
0.99,38.5903996811697,0.0565576407502062,Bhutan,2017,national,consumption
0.99,106.731987472972,0.154450833099071,Bolivia,1997,national,income
0.99,79.6490236282453,0.1136076577115,Bolivia,1999,national,income
0.99,92.6925961598088,0.163738061393409,Bolivia,2000,national,income
0.99,86.0749043092554,0.140917154984923,Bolivia,2001,national,income
0.99,99.0846672068766,0.151287024853537,Bolivia,2002,national,income
0.99,96.7026543646851,0.138536368973977,Bolivia,2004,national,income
0.99,101.187179960914,0.137203277179001,Bolivia,2005,national,income
0.99,106.621062354614,0.126498977770001,Bolivia,2006,national,income
0.99,102.205176198565,0.111183728537076,Bolivia,2007,national,income
0.99,101.067882785249,0.1056949743802,Bolivia,2008,national,income
0.99,90.5176556380082,0.104809840368771,Bolivia,2009,national,income
0.99,89.6253136761452,0.0732709633714625,Bolivia,2011,national,income
