stateabb	ccode	year	milex	milper	irst	pec	tpop	upop	cinc	version
"USA"	2	1816	3823	17	80	254	8659	101	.0396975	2021
"USA"	2	1817	2466	15	80	277	8899	106	.0358166	2021
"USA"	2	1818	1910	14	90	302	9139	112	.0361265	2021
"USA"	2	1819	2301	13	90	293	9379	118	.0371333	2021
"USA"	2	1820	1556	15	110	303	9618	124	.0370869	2021
"USA"	2	1821	1612	11	100	321	9939	130	.0341731	2021
"USA"	2	1822	1079	10	100	332	10268	136	.0329391	2021
"USA"	2	1823	1170	11	110	345	10596	143	.0331075	2021
"USA"	2	1824	1261	11	110	390	10924	151	.0329776	2021
"USA"	2	1825	1336	11	120	424	11252	158	.034215	2021
"USA"	2	1826	1658	12	120	502	11580	166	.0364252	2021
"USA"	2	1827	1663	12	130	556	11909	175	.0357089	2021
"USA"	2	1828	1622	11	130	609	12237	183	.0356879	2021
"USA"	2	1829	1678	12	144	686	12565	193	.0374823	2021
"USA"	2	1830	1687	12	168	799	12901	203	.0384837	2021
"USA"	2	1831	1835	11	194	864	13321	222	.0420014	2021
"USA"	2	1832	1896	12	203	1154	13742	244	.0445447	2021
"USA"	2	1833	2445	13	220	1348	14162	268	.0481381	2021
"USA"	2	1834	2073	13	240	1291	14582	295	.0477735	2021
"USA"	2	1835	2001	14	260	1650	15003	324	.04852	2021
"USA"	2	1836	2571	17	280	1807	15423	356	.050953	2021
"USA"	2	1837	3121	22	290	2027	15843	391	.0535364	2021
"USA"	2	1838	3083	18	310	1922	16264	429	.0532727	2021
"USA"	2	1839	2012	19	330	2159	16684	471	.0508006	2021
"USA"	2	1840	2755	22	291	2244	17120	518	.04955	2021
"USA"	2	1841	3042	21	290	2374	17733	562	.0508649	2021
"USA"	2	1842	3011	23	219	2643	18345	610	.0493011	2021
"USA"	2	1843	1364	21	320	2967	18957	662	.0510815	2021
"USA"	2	1844	2432	21	400	3557	19569	718	.0573262	2021
"USA"	2	1845	3534	21	490	4284	20182	779	.0616531	2021
"USA"	2	1846	9506	39	777	4863	20794	846	.0827573	2021
"USA"	2	1847	7431	58	813	5767	21406	918	.0845096	2021
"USA"	2	1848	8106	60	813	6424	22018	996	.0871742	2021
"USA"	2	1849	3558	23	660	6976	22631	1081	.0730965	2021
"USA"	2	1850	4302	21	572	7607	23261	1174	.0724712	2021
"USA"	2	1851	3525	21	420	9438	24086	1273	.0677073	2021
"USA"	2	1852	4226	21	508	10270	24911	1380	.0718738	2021
"USA"	2	1853	4605	21	730	11570	25736	1496	.0787437	2021
"USA"	2	1854	5765	21	668	13632	26561	1623	.0742004	2021
"USA"	2	1855	5892	26	711	14651	27386	1760	.0759974	2021
"USA"	2	1856	6117	26	801	15378	28212	1908	.0784092	2021
"USA"	2	1857	7499	27	724	15779	29037	2069	.0832949	2021
"USA"	2	1858	7297	29	640	16015	29862	2244	.0834308	2021
"USA"	2	1859	5638	29	763	17435	30687	2433	.0830744	2021
"USA"	2	1860	7060	28	835	18282	31513	2639	.0773722	2021
"USA"	2	1861	95362	217	664	17660	32351	2759	.1444292	2021
"USA"	2	1862	136769	673	715	18366	33188	2886	.1763908	2021
"USA"	2	1863	119662	960	860	21157	34026	3018	.178967	2021
"USA"	2	1864	157390	1032	1031	22597	34863	3156	.1929127	2021
"USA"	2	1865	30471	1063	845	22658	35701	3301	.1354652	2021
"USA"	2	1866	17821	77	1225	26846	36538	3452	.0981717	2021
"USA"	2	1867	30698	75	1326	28027	37376	3610	.1141338	2021
"USA"	2	1868	20154	66	1454	31646	38213	3776	.1066403	2021
"USA"	2	1869	16559	52	1739	35983	39051	3949	.1080056	2021
"USA"	2	1870	13128	50	1692	37779	39905	4130	.0989996	2021
"USA"	2	1871	11811	42	1735	39546	40938	4302	.098381	2021
"USA"	2	1872	14246	42	2590	48479	41972	4481	.1152826	2021
"USA"	2	1873	15014	43	2602	53674	43006	4667	.1162688	2021
