stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,version
USA,2,1816,3823,17,80,254,8659,101,.039697491,2021
USA,2,1817,2466,15,80,277,8899,106,.03581661,2021
USA,2,1818,1910,14,90,302,9139,112,.036126547,2021
USA,2,1819,2301,13,90,293,9379,118,.03713325,2021
USA,2,1820,1556,15,110,303,9618,124,.037086867,2021
USA,2,1821,1612,11,100,321,9939,130,.034173075,2021
USA,2,1822,1079,10,100,332,10268,136,.032939076,2021
USA,2,1823,1170,11,110,345,10596,143,.033107504,2021
USA,2,1824,1261,11,110,390,10924,151,.032977588,2021
USA,2,1825,1336,11,120,424,11252,158,.034215014,2021
USA,2,1826,1658,12,120,502,11580,166,.036425188,2021
USA,2,1827,1663,12,130,556,11909,175,.035708901,2021
USA,2,1828,1622,11,130,609,12237,183,.035687946,2021
USA,2,1829,1678,12,144,686,12565,193,.03748225,2021
USA,2,1830,1687,12,168,799,12901,203,.038483679,2021
USA,2,1831,1835,11,194,864,13321,222,.042001393,2021
USA,2,1832,1896,12,203,1154,13742,244,.044544697,2021
USA,2,1833,2445,13,220,1348,14162,268,.048138127,2021
USA,2,1834,2073,13,240,1291,14582,295,.04777348,2021
USA,2,1835,2001,14,260,1650,15003,324,.048520003,2021
USA,2,1836,2571,17,280,1807,15423,356,.050953005,2021
USA,2,1837,3121,22,290,2027,15843,391,.053536404,2021
USA,2,1838,3083,18,310,1922,16264,429,.053272706,2021
USA,2,1839,2012,19,330,2159,16684,471,.050800554,2021
USA,2,1840,2755,22,291,2244,17120,518,.049549963,2021
USA,2,1841,3042,21,290,2374,17733,562,.050864942,2021
USA,2,1842,3011,23,219,2643,18345,610,.049301073,2021
USA,2,1843,1364,21,320,2967,18957,662,.051081475,2021
USA,2,1844,2432,21,400,3557,19569,718,.057326183,2021
USA,2,1845,3534,21,490,4284,20182,779,.061653126,2021
USA,2,1846,9506,39,777,4863,20794,846,.082757324,2021
USA,2,1847,7431,58,813,5767,21406,918,.084509611,2021
USA,2,1848,8106,60,813,6424,22018,996,.087174244,2021
USA,2,1849,3558,23,660,6976,22631,1081,.073096491,2021
USA,2,1850,4302,21,572,7607,23261,1174,.072471224,2021
USA,2,1851,3525,21,420,9438,24086,1273,.067707323,2021
USA,2,1852,4226,21,508,10270,24911,1380,.071873814,2021
USA,2,1853,4605,21,730,11570,25736,1496,.078743748,2021
USA,2,1854,5765,21,668,13632,26561,1623,.074200429,2021
USA,2,1855,5892,26,711,14651,27386,1760,.075997368,2021
USA,2,1856,6117,26,801,15378,28212,1908,.07840921,2021
USA,2,1857,7499,27,724,15779,29037,2069,.083294868,2021
USA,2,1858,7297,29,640,16015,29862,2244,.083430812,2021
USA,2,1859,5638,29,763,17435,30687,2433,.083074376,2021
USA,2,1860,7060,28,835,18282,31513,2639,.077372178,2021
USA,2,1861,95362,217,664,17660,32351,2759,.14442921,2021
USA,2,1862,136769,673,715,18366,33188,2886,.1763908,2021
USA,2,1863,119662,960,860,21157,34026,3018,.17896698,2021
USA,2,1864,157390,1032,1031,22597,34863,3156,.19291268,2021
USA,2,1865,30471,1063,845,22658,35701,3301,.13546522,2021
USA,2,1866,17821,77,1225,26846,36538,3452,.098171704,2021
USA,2,1867,30698,75,1326,28027,37376,3610,.11413383,2021
USA,2,1868,20154,66,1454,31646,38213,3776,.10664034,2021
USA,2,1869,16559,52,1739,35983,39051,3949,.10800558,2021
USA,2,1870,13128,50,1692,37779,39905,4130,.098999612,2021
USA,2,1871,11811,42,1735,39546,40938,4302,.098380953,2021
USA,2,1872,14246,42,2590,48479,41972,4481,.1152826,2021
USA,2,1873,15014,43,2602,53674,43006,4667,.11626876,2021
USA,2,1874,12899,44,2439,51736,44040,4862,.11424514,2021
USA,2,1875,11720,38,2057,52194,45073,5064,.10696469,2021
USA,2,1876,10749,41,1899,51080,46107,5275,.10191685,2021
USA,2,1877,9074,34,2100,56754,47141,5495,.10465261,2021
USA,2,1878,11367,36,2338,55588,48174,5724,.10834531,2021
USA,2,1879,10527,38,2786,67742,49208,5962,.12033306,2021
USA,2,1880,11414,38,3896,76969,50262,6211,.1254597,2021
USA,2,1881,11973,38,4211,81416,51542,6494,.12642455,2021
USA,2,1882,13040,38,4697,91087,52821,6789,.1310108,2021
USA,2,1883,11425,37,4669,97750,54100,7099,.13134626,2021
USA,2,1884,11438,39,4164,102689,55379,7422,.13138734,2021
USA,2,1885,9748,39,4110,103359,56658,7761,.13126135,2021
USA,2,1886,10382,39,5774,107964,57938,8114,.1461353,2021
USA,2,1887,10765,39,6520,123077,59217,8484,.15109947,2021
USA,2,1888,12647,39,6594,139275,60496,8871,.1523269,2021
USA,2,1889,13195,39,7726,133959,61775,9275,.15484266,2021
USA,2,1890,14788,39,9350,150826,63056,9698,.16539624,2021
USA,2,1891,15315,38,8412,162044,64361,10075,.16558971,2021
USA,2,1892,15654,39,9304,171105,65666,10467,.17333591,2021
USA,2,1893,16964,39,7238,172586,66970,10874,.16572861,2021
USA,2,1894,16001,42,6764,161748,68275,11298,.15442234,2021
USA,2,1895,15187,42,9598,182744,69580,11737,.16809899,2021
USA,2,1896,16382,42,8762,183531,70885,12194,.16001122,2021
USA,2,1897,30249,44,9808,190740,72189,12669,.16910996,2021
USA,2,1898,60011,236,11963,207271,73494,13162,.19706185,2021
USA,2,1899,38588,100,13839,236406,74799,13674,.18547629,2021
USA,2,1900,41481,126,10352,256081,76094,14207,.18799882,2021
USA,2,1901,36087,112,13690,280242,77584,14723,.2026186,2021
USA,2,1902,39722,111,15187,300106,79163,15258,.2076682,2021
USA,2,1903,43814,106,14768,356268,80632,15812,.21049646,2021
USA,2,1904,47918,110,14082,353388,82166,16387,.20494163,2021
USA,2,1905,45098,108,20345,397156,83822,16982,.21378319,2021
USA,2,1906,43602,112,23774,419190,85450,17600,.21827872,2021
USA,2,1907,58725,108,23737,487862,87008,18239,.22772999,2021
USA,2,1908,54189,129,14248,432351,88710,18902,.20318815,2021
