survey,CONTENT,HAPPY,LIFE_SAT,MENTAL_HEALTH,PHYSICAL_HLTH,WORRY_SAFETY,EXPENSES
1-1,7.8734585,7.357079,7.2909077,7.6527466,7.2295732,3.7433485,3.9542226
10-1,8.227566,7.2896439,5.964935,8.7959396,8.1180106,4.9460882,4.7994131
11-1,8.2785015,7.7144496,7.6962324,8.2981557,7.5174705,4.6502298,4.8348898
12-1,7.983994,7.2104897,6.6440102,8.8259316,8.3578251,5.2950188,5.1488739
13-1,8.4915051,7.2756396,7.4091273,7.9393421,7.6167414,5.870387,5.3347624
14-1,6.6365678,7.4036756,6.4483435,7.8760994,7.4376892,6.5162803,6.6774857
16-1,7.6791909,6.8996975,6.1971741,8.3958861,7.6219561,5.4863296,5.3589552
17-1,7.4125518,6.6557514,6.5197702,7.301042,6.51856,4.8704689,4.5667552
18-1,7.8912623,6.675904,5.4020567,9.2674834,7.8923466,5.973533,5.8239192
19-1,7.2108328,5.5895366,5.3326144,6.2743138,6.5897532,5.2697874,4.5888554
2-1,7.0951877,6.7468409,6.4888639,6.6929558,6.3672561,7.1760957,6.6439886
20-1,6.7101442,6.483626,5.7524612,6.6135332,6.2872466,6.0819014,5.9178044
22-1,7.2323428,6.9537318,6.7420122,7.1332882,6.720034,6.9203421,6.4353619
23-1,7.1375818,6.7656821,6.8539472,7.050171,6.172139,7.1592819,7.0077816
24-1,6.24893,6.9813355,5.2466694,6.5022612,7.1238163,5.3816011,6.7517341
3-1,7.393251,7.0605853,6.935663,7.2062726,6.9111278,3.7451152,3.8810129
4-1,8.034157,6.5288985,8.0007175,9.245224,7.0816349,6.4560534,5.488974
5-1,7.0434132,6.7510494,6.572413,6.8591404,6.488572,6.7116476,6.1365007
6-1,8.0963657,6.7120114,7.2773594,7.624567,7.159923,4.0996364,4.3054109
7-1,8.4407369,7.8434806,7.7245589,8.3638636,8.0012745,6.4173847,6.0250466
8-1,8.1360118,7.8288762,7.5102994,8.5275369,8.0679875,7.3346321,7.4603486
9-1,5.2738169,5.8593155,5.4497266,6.0493821,5.6718175,5.4437569,5.1944852
