Entity,Code,Year,LE_Female
Iceland,ISL,1950,73.6
Norway,NOR,1951,74.3
Iceland,ISL,1952,74.7
Norway,NOR,1953,75.1
Iceland,ISL,1954,75.5
Iceland,ISL,1955,75.7
Norway,NOR,1956,75.5
Norway,NOR,1957,75.5
Iceland,ISL,1958,75.6
Norway,NOR,1959,75.8
Norway,NOR,1960,75.9
Norway,NOR,1961,76.1
Norway,NOR,1962,76
Iceland,ISL,1963,75.9
Netherlands,NLD,1964,76.3
Norway,NOR,1965,76.5
Norway,NOR,1966,76.7
Norway,NOR,1967,76.9
Norway,NOR,1968,76.8
Norway,NOR,1969,76.7
Norway,NOR,1970,77.3
Norway,NOR,1971,77.4
Sweden,SWE,1971,77.4
Norway,NOR,1972,77.5
Sweden,SWE,1972,77.5
Norway,NOR,1973,77.7
Sweden,SWE,1973,77.7
Norway,NOR,1974,78
Iceland,ISL,1975,78.8
Iceland,ISL,1976,79.7
Iceland,ISL,1977,79.1
Iceland,ISL,1978,79.5
Iceland,ISL,1979,79.6
Iceland,ISL,1980,80
Netherlands,NLD,1981,79.3
Norway,NOR,1981,79.3
Japan,JPN,1982,79.7
Iceland,ISL,1983,80.2
Japan,JPN,1984,80.3
Japan,JPN,1985,80.5
Japan,JPN,1986,81
Japan,JPN,1987,81.4
Japan,JPN,1988,81.3
Japan,JPN,1989,81.8
Japan,JPN,1990,81.9
Japan,JPN,1991,82.2
Japan,JPN,1992,82.3
Japan,JPN,1993,82.4
Japan,JPN,1994,82.9
Japan,JPN,1995,82.8
Japan,JPN,1996,83.5
Japan,JPN,1997,83.7
Japan,JPN,1998,83.9
Japan,JPN,1999,83.9
Japan,JPN,2000,84.5
Japan,JPN,2001,84.8
Japan,JPN,2002,85.1
Japan,JPN,2003,85.2
Japan,JPN,2004,85.5
Japan,JPN,2005,85.4
Japan,JPN,2006,85.7
Japan,JPN,2007,85.9
Japan,JPN,2008,86
Japan,JPN,2009,86.3
Japan,JPN,2010,86.2
Hong Kong,HKG,2011,86.2
Hong Kong,HKG,2012,86.5
Hong Kong,HKG,2013,86.8
Hong Kong,HKG,2014,87
Hong Kong,HKG,2015,87.2
Hong Kong,HKG,2016,87.5
Hong Kong,HKG,2017,87.9
Hong Kong,HKG,2018,88.3
Hong Kong,HKG,2019,88.1
Hong Kong,HKG,2020,88.3
Hong Kong,HKG,2021,88.3
