---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    mx   : death rate
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,mx
1925,female,total,000*-999*,1806.73
1926,female,total,000*-999*,1809.22
1927,female,total,000*-999*,1736.04
1928,female,total,000*-999*,1714.68
1929,female,total,000*-999*,1876.01
1930,female,total,000*-999*,1574.96
1931,female,total,000*-999*,1678.61
1932,female,total,000*-999*,1617.53
1933,female,total,000*-999*,1613.18
1934,female,total,000*-999*,1506.79
1935,female,total,000*-999*,1559.65
1936,female,total,000*-999*,1516.55
1937,female,total,000*-999*,1472.26
1938,female,total,000*-999*,1511.88
1939,female,total,000*-999*,1506.7
1940,female,total,000*-999*,1819.08
1941,female,total,000*-999*,1570.58
1942,female,total,000*-999*,1539.26
1943,female,total,000*-999*,1502.09
1944,female,total,000*-999*,1699.39
1945,female,total,000*-999*,1514.55
1946,female,total,000*-999*,1243.52
1947,female,total,000*-999*,1174.06
1948,female,total,000*-999*,1074.29
1949,female,total,000*-999*,1212.76
1950,female,total,000*-999*,1097.84
1951,female,total,000*-999*,1156.41
1952,female,total,000*-999*,1047.38
1953,female,total,000*-999*,1104.28
1954,female,total,000*-999*,1004.12
1955,female,total,000*-999*,997.17
1956,female,total,000*-999*,1018.92
1957,female,total,000*-999*,968.46
1958,female,total,000*-999*,902.52
1959,female,total,000*-999*,897.99
1960,female,total,000*-999*,897.34
1961,female,total,000*-999*,835.47
1962,female,total,000*-999*,885.19
1963,female,total,000*-999*,893.25
1964,female,total,000*-999*,810.96
1965,female,total,000*-999*,830.32
1966,female,total,000*-999*,793.27
1967,female,total,000*-999*,796.55
1968,female,total,000*-999*,799.54
1969,female,total,000*-999*,809.27
1970,female,total,000*-999*,759.95
1971,female,total,000*-999*,761.93
1972,female,total,000*-999*,737.75
1973,female,total,000*-999*,737.87
1974,female,total,000*-999*,713.79
1975,female,total,000*-999*,713.16
1976,female,total,000*-999*,695.91
1977,female,total,000*-999*,655.69
1978,female,total,000*-999*,653.61
1979,female,total,000*-999*,634.07
1980,female,total,000*-999*,629.32
1981,female,total,000*-999*,628.53
1982,female,total,000*-999*,603.78
1983,female,total,000*-999*,612.76
1984,female,total,000*-999*,579.13
1985,female,total,000*-999*,577.56
1986,female,total,000*-999*,563.17
1987,female,total,000*-999*,532.01
1988,female,total,000*-999*,520.67
1989,female,total,000*-999*,512.35
1990,female,total,000*-999*,497.5
1991,female,total,000*-999*,487.31
1992,female,total,000*-999*,474.38
1993,female,total,000*-999*,475.9
1994,female,total,000*-999*,454.58
1995,female,total,000*-999*,454.7
1996,female,total,000*-999*,450.54
1997,female,total,000*-999*,440.43
1998,female,total,000*-999*,436.44
1999,female,total,000*-999*,432.21
1925,female,<1,000*-999*,8754.77
1926,female,<1,000*-999*,9497.03
1927,female,<1,000*-999*,8224.8
1928,female,<1,000*-999*,9077.73
1929,female,<1,000*-999*,9330.7
1930,female,<1,000*-999*,7807.44
1931,female,<1,000*-999*,7240.17
1932,female,<1,000*-999*,7432.28
1933,female,<1,000*-999*,7150.92
1934,female,<1,000*-999*,6754.4
1935,female,<1,000*-999*,6443.18
1936,female,<1,000*-999*,6438.47
1937,female,<1,000*-999*,6352.93
1938,female,<1,000*-999*,6406.15
1939,female,<1,000*-999*,6192.93
1940,female,<1,000*-999*,8497.98
1941,female,<1,000*-999*,7036.05
1942,female,<1,000*-999*,7273
1943,female,<1,000*-999*,7616.68
1944,female,<1,000*-999*,7619.88
1945,female,<1,000*-999*,10910.63
1946,female,<1,000*-999*,7511.37
1947,female,<1,000*-999*,6593.19
1948,female,<1,000*-999*,5025.22
1949,female,<1,000*-999*,5479.81
1950,female,<1,000*-999*,4637.31
1951,female,<1,000*-999*,4483.72
1952,female,<1,000*-999*,4093.07
1953,female,<1,000*-999*,3662.77
1954,female,<1,000*-999*,3638.36
1955,female,<1,000*-999*,3419.16
1956,female,<1,000*-999*,3186.66
1957,female,<1,000*-999*,3008.11
1958,female,<1,000*-999*,2781.28
1959,female,<1,000*-999*,2625.6
1960,female,<1,000*-999*,2394.92
1961,female,<1,000*-999*,2288.05
1962,female,<1,000*-999*,2206.71
1963,female,<1,000*-999*,2264.63
1964,female,<1,000*-999*,2039.81
1965,female,<1,000*-999*,1929.49
1966,female,<1,000*-999*,1884.03
1967,female,<1,000*-999*,1791.88
1968,female,<1,000*-999*,1809.67
1969,female,<1,000*-999*,1731.3
1970,female,<1,000*-999*,1606.81
1971,female,<1,000*-999*,1531.37
1972,female,<1,000*-999*,1415.97
1973,female,<1,000*-999*,1358.81
1974,female,<1,000*-999*,1246.2
1975,female,<1,000*-999*,1192.07
1976,female,<1,000*-999*,1088.27
1977,female,<1,000*-999*,1012.69
1978,female,<1,000*-999*,945.8
1979,female,<1,000*-999*,907.62
1980,female,<1,000*-999*,888.44
1981,female,<1,000*-999*,841.24
1982,female,<1,000*-999*,827.91
1983,female,<1,000*-999*,779.22
1984,female,<1,000*-999*,749.65
1985,female,<1,000*-999*,724.28
1986,female,<1,000*-999*,716.19
1987,female,<1,000*-999*,660.35
1988,female,<1,000*-999*,681.24
1989,female,<1,000*-999*,648.9
1990,female,<1,000*-999*,632.29
1991,female,<1,000*-999*,622.43
1992,female,<1,000*-999*,573.45
1993,female,<1,000*-999*,537.36
1994,female,<1,000*-999*,512.31
1995,female,<1,000*-999*,446.61
1996,female,<1,000*-999*,422.46
1997,female,<1,000*-999*,418.15
1998,female,<1,000*-999*,422.33
1999,female,<1,000*-999*,387.27
1925,female,1-4,000*-999*,1009.85
1926,female,1-4,000*-999*,1047.09
1927,female,1-4,000*-999*,929.47
1928,female,1-4,000*-999*,945.53
1929,female,1-4,000*-999*,939.43
1930,female,1-4,000*-999*,767.23
1931,female,1-4,000*-999*,771.81
1932,female,1-4,000*-999*,762.47
1933,female,1-4,000*-999*,677.17
1934,female,1-4,000*-999*,673.76
1935,female,1-4,000*-999*,600.47
1936,female,1-4,000*-999*,616.84
1937,female,1-4,000*-999*,578.78
1938,female,1-4,000*-999*,556.16
1939,female,1-4,000*-999*,495.24
1940,female,1-4,000*-999*,701.6
1941,female,1-4,000*-999*,557.28
1942,female,1-4,000*-999*,525.92
1943,female,1-4,000*-999*,560.44
1944,female,1-4,000*-999*,642.8
1945,female,1-4,000*-999*,719.17
1946,female,1-4,000*-999*,464.73
1947,female,1-4,000*-999*,352.96
1948,female,1-4,000*-999*,282.24
1949,female,1-4,000*-999*,310.56
1950,female,1-4,000*-999*,217.11
