name,slug,sourceName,description,sourceLink,dataPublishedBy,unit,shortUnit,tolerance,type,colorScaleNumericMinValue,colorScaleNumericBins,colorScaleEqualSizeBins,colorScaleScheme
Below $1 a day (2011 prices),headcount_ratio_100_ppp2011,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $1 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $1.90 a day (2011 prices),headcount_ratio_190_ppp2011,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $1.90 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $3.20 a day (2011 prices),headcount_ratio_320_ppp2011,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $3.20 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $5.50 a day (2011 prices),headcount_ratio_550_ppp2011,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $5.50 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $10 a day (2011 prices),headcount_ratio_1000_ppp2011,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $10 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $20 a day (2011 prices),headcount_ratio_2000_ppp2011,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $20 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $30 a day (2011 prices),headcount_ratio_3000_ppp2011,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $30 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $40 a day (2011 prices),headcount_ratio_4000_ppp2011,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $40 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $1 a day (2017 prices),headcount_ratio_100_ppp2017,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $1 a day (2017 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $2.15 a day (2017 prices),headcount_ratio_215_ppp2017,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $2.15 a day (2017 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $3.65 a day (2017 prices),headcount_ratio_365_ppp2017,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $3.65 a day (2017 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $6.85 a day (2017 prices),headcount_ratio_685_ppp2017,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $6.85 a day (2017 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $10 a day (2017 prices),headcount_ratio_1000_ppp2017,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $10 a day (2017 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $20 a day (2017 prices),headcount_ratio_2000_ppp2017,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $20 a day (2017 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $30 a day (2017 prices),headcount_ratio_3000_ppp2017,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $30 a day (2017 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $40 a day (2017 prices),headcount_ratio_4000_ppp2017,World Bank Poverty and Inequality Platform,% of population living in households with an income per person below $40 a day (2017 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),%,%,5.0,Numeric,0.0,3;10;20;30;40;50;60;70;80;90;100,'true,OrRd
Below $1 a day (2011 prices),headcount_100_ppp2011,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $1 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Below $1.90 a day (2011 prices),headcount_190_ppp2011,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $1.90 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Below $3.20 a day (2011 prices),headcount_320_ppp2011,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $3.20 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Below $5.50 a day (2011 prices),headcount_550_ppp2011,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $5.50 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
Below $10 a day (2011 prices),headcount_1000_ppp2011,World Bank Poverty and Inequality Platform,Number of people living in households with an income per person below $10 a day (2011 prices).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),,,5.0,Numeric,0.0,100000;300000;1000000;3000000;10000000;30000000;100000000;300000000;1000000000;1000000001,'true,Reds
