Entity,Year,reporting_level,welfare_type,median_40,median_50,median_60,headcount_40_median,headcount_50_median,headcount_60_median,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,poverty_gap_index_40_median,poverty_gap_index_50_median,poverty_gap_index_60_median,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_severity_40_median,poverty_severity_50_median,poverty_severity_60_median,watts_40_median,watts_50_median,watts_60_median,headcount_stacked_below_40_median,headcount_stacked_below_50_median,headcount_stacked_below_60_median,headcount_stacked_above_60_median,headcount_ratio_stacked_below_40_median,headcount_ratio_stacked_below_50_median,headcount_ratio_stacked_below_60_median,headcount_ratio_stacked_above_60_median
Angola,2000,national,consumption,1.8658116444088209,2.332264555511026,2.7987174666132315,2902624.0,3844097.0,4726988.0,17.70380957191337,23.44608054653903,28.83104912412886,7.54272613595472,10.18876856916668,12.838969799735988,2307385.690186459,3896041.426761456,5891329.207506197,0.7949309625313024,1.0135127773210342,1.24631778365128,42.605102445009926,43.456166879788725,44.53174707768795,0.0434359272439178,0.0598502900903458,0.0768728663488646,0.1232621438946042,0.1693692949155212,0.2167942507988021,2902624.0,941473.0,882891.0,11668489.0,17.703809410363604,5.742272701184601,5.384966841769837,71.16895104668195
Angola,2008,national,consumption,1.877701894432032,2.34712736804004,2.8165528416480483,2283886.0,3712685.0,5371976.0,10.52693893280091,17.1125910293619,24.76062914942478,2.81787618827846,5.03624922949105,7.71950973347396,1147944.6211933831,2564580.036390631,4717153.496835455,0.5026278111925828,0.690761547610592,0.8781039782820056,26.76824328095051,29.43008364251702,31.176549053068754,0.0110277603642822,0.021218634973934,0.0342385306178522,0.0366005556264423,0.0673766585824246,0.1056974515404666,2283886.0,1428799.0,1659291.0,16323660.0,10.526937306654666,6.585651602930653,7.648040370883804,75.23937071953087
Angola,2018,national,consumption,1.3682202156961047,1.7102752696201309,2.0523303235441572,4842760.0,7021666.0,8979548.0,15.718253430674409,22.79037353043551,29.1451159883639,5.29697494581914,8.05422785528879,11.068428841592869,2232917.1922931205,4244031.742805261,6998773.442823156,0.46108359536568416,0.6044194843225612,0.7794126656289555,33.69951635534783,35.34047969113234,37.976959979960355,0.0255715074637936,0.0404764987490228,0.0574443134235436,0.0769090622420514,0.1191986258821381,0.1666779475122085,4842760.0,2178906.0,1957882.0,21830239.0,15.718252125534008,7.072122893936268,6.354740459581885,70.85488452094783
Albania,1996,national,consumption,2.7888408000056497,3.486051000007062,4.183261200008475,87717.0,239127.0,468949.0,2.7688211170843,7.54812303918347,14.802514199728801,0.41307688973946005,1.30214970037746,2.92436023725813,36495.92021974418,143808.43118914808,387556.9678326022,0.4160643913921381,0.6013893503834702,0.8264373478408147,14.91890076304446,17.251306718755746,19.755815100408753,0.0011085233407381,0.0036753400805769,0.0088959989607052,0.0049123933222114,0.0155688385582228,0.0354862472629712,87717.0,151410.0,229822.0,2699084.0,2.7688158551378725,4.779306276165684,7.2544067564952766,85.19747111220116
Albania,2002,national,consumption,2.6752562982844346,3.344070372855543,4.012884447426652,98007.0,256479.0,488789.0,3.21228322967181,8.406372784532019,16.02055356185178,0.55885168227612,1.5715125767019702,3.3062957561024002,45614.78044786571,160338.16178507547,404801.3805632743,0.46542369879565454,0.6251512279175896,0.8281720344837431,17.397349894816337,18.69432034062624,20.637824122118097,0.0016403474764687,0.0047262161526201,0.0106246085208653,0.0068235104421826,0.0191462089776923,0.0407792490750547,98007.0,158472.0,232310.0,2562221.0,3.2122805234987757,5.19408327078574,7.614199887905972,83.9794363178095
Albania,2005,national,consumption,3.119916164421358,3.8998952055266973,4.679874246632036,123320.0,270779.0,502189.0,4.0950019098266,8.99153251423932,16.67577033199554,0.69100451810105,1.8277130496019498,3.6639288571641697,64923.93046650501,214655.46142733045,516371.43345413293,0.5264671623946238,0.7927330458688836,1.0282412268172598,16.874400934175938,20.32703455070972,21.971556769014764,0.0018661965798544,0.0056193071127721,0.0121926935889759,0.0081675326937374,0.0221832675137952,0.0453902646080997,123320.0,147459.0,231410.0,2509298.0,4.094986961590736,4.896551105815831,7.6842436975487525,83.32421823504468
Albania,2008,national,consumption,3.3600795169221453,4.200099396152682,5.040119275383218,62440.0,213023.0,416666.0,2.11853496956573,7.227714347122539,14.137154208979242,0.32700309474358996,1.19434510537268,2.7195816310028698,32383.801221313006,147848.12094960752,403988.79563780123,0.5186387127052051,0.6940476894495313,0.9695746608501803,15.435310685155498,16.524553920921097,19.237137215893764,0.0009274407121409634,0.0031460074764905,0.0080901702758141,0.0039075626683818,0.0140904292792878,0.0327823738239213,62440.0,150583.0,203643.0,2530648.0,2.118539117311559,5.109160408426113,6.909443649370241,85.86285682489209
Albania,2012,national,consumption,3.2961536889996497,4.120192111249562,4.944230533499474,101294.0,224871.0,430501.0,3.4924129328671296,7.75311184523735,14.84282292059738,0.69562436131764,1.6236873854759402,3.21998959324676,66502.85380480668,194034.04126129512,461754.59575712093,0.6565330010149336,0.8628682278341587,1.072598195491116,19.91815500612124,20.94242706494747,21.693935754487207,0.0023562255676505,0.0055835163180532,0.0111666666344064,0.0087294722897172,0.0204602714906188,0.0406844114251094,101294.0,123577.0,205630.0,2469900.0,3.4924136352180266,4.260686711940866,7.089709319504441,85.15719033333666
Albania,2014,national,consumption,3.318150123359782,4.147687654199728,4.977225185039673,217105.0,415333.0,641844.0,7.514618464949289,14.37582774078003,22.21602387505624,1.43648612836698,3.26444310311874,5.72353892519808,137708.4668043638,391181.51388938853,823028.9397017767,0.6342943129101761,0.9418503077997379,1.2822881256220775,19.11590161170657,22.70784076149202,25.763112536606208,0.0040438179961628,0.0109372327441621,0.0213122272574743,0.0170705161442589,0.040374665042388,0.073014871183491,217105.0,198228.0,226511.0,2247260.0,7.514613527238895,6.861227563978313,7.84018159263218,77.78397731615061
Albania,2015,national,consumption,3.9549530383807934,4.943691297975992,5.93242955757119,142897.0,310489.0,540541.0,4.96048835970365,10.77823508542475,18.76418997908274,0.9516516120182,2.3188670291717397,4.36922383377466,108422.09718578722,330236.95754661295,746681.4617074084,0.7587429910060198,1.0636027606343958,1.3813595300031052,19.18462706491854,21.51434417172949,23.2848871882543,0.0026118984816732,0.0074469968853423,0.0153236096169152,0.0112119872546447,0.0283508833856119,0.0547989092870541,142897.0,167592.0,230052.0,2340162.0,4.960490546925525,5.81774657088912,7.985967314228507,81.23579556795684
Albania,2016,national,consumption,4.11294851889551,5.141185648619388,6.169422778343265,189031.0,365811.0,577118.0,6.57246134537133,12.71899533854483,20.06597024463861,1.23005207817312,2.8697896631759803,5.12027665450413,145506.00124224892,424343.43401465664,908535.8999890398,0.7697467676849243,1.1600073098257204,1.574263668762783,18.715205506429044,22.563030964214033,25.517195454475484,0.0033497446441028,0.0094193629766416,0.0187248579817281,0.0145132054547858,0.0352847974620838,0.064935181986391,189031.0,176780.0,211307.0,2298983.0,6.572474332438256,6.146515716937618,7.3469951159573315,79.93401483466678
Albania,2016,national,income,3.256087989288494,4.070109986610618,4.8841319839327415,381118.0,562922.0,748042.0,13.25119549867036,19.57238352960146,26.00888258534007,4.62965331232036,6.99234007835771,9.58516778369457,433559.529053039,818526.6441236064,1346453.1412537266,1.1375991925152813,1.4540676046123733,1.7999699766239416,34.9376059939911,35.72551133497125,36.85342620849062,0.0241283413232072,0.0364501480530194,0.0507117435755243,0.0701045134767953,0.1065574958713136,0.1474983879865095,381118.0,181804.0,185120.0,2128059.0,13.25120362602009,6.321196647822869,6.436491625294105,73.99110810086293
Albania,2017,national,consumption,4.075067511937788,5.093834389922234,6.112601267906681,151469.0,334884.0,550929.0,5.27131043330937,11.654406498098389,19.17304680980168,1.10999504144079,2.50311612686524,4.67583343032544,129975.21644687632,366378.9569261005,821277.2663207987,0.8580978051408297,1.0940473624481923,1.4907134427862732,21.057265987055622,21.47787459703602,24.38754594730473,0.0035750018893227,0.0086464694195981,0.016935251769322,0.0135789455492249,0.0313369827774063,0.0594655155014314,151469.0,183415.0,216045.0,2322528.0,5.271316048926432,6.383077944093126,7.518643919153828,80.82696208782662
Albania,2017,national,income,3.481962179534945,4.352452724418681,5.222943269302417,371601.0,543617.0,724246.0,12.93220027712809,18.91858559378516,25.204689722092162,4.52426158645283,6.77649765511734,9.30680782271374,452664.5238242653,847508.4899586195,1396756.6809158633,1.2181466783573383,1.559017635501869,1.9285666485087432,34.98448907678932,35.81928935736099,36.924901326112334,0.0230068659071121,0.0351117727760965,0.0489878173459093,0.0672517751135428,0.102224405382363,0.1420688447544159,371601.0,172016.0,180629.0,2149211.0,12.932192825575605,5.9863780804793665,6.286121560197351,74.79530753374767
Albania,2018,national,consumption,4.655990121965249,5.819987652456562,6.983985182947873,173731.0,337481.0,534874.0,6.06099331041429,11.77378607783045,18.66027629241168,1.28719964597857,2.79671416167706,4.88673831596716,171787.32644908514,466555.48944735667,978262.8277349753,0.9888121662172275,1.3824644630286052,1.8289593955491859,21.237419760672932,23.753735326999877,26.18790486576032,0.0040492255078116,0.0098732893844379,0.0185584424506974,0.0156455834388628,0.0351293735929322,0.0628962476761599,173731.0,163750.0,197393.0,2331502.0,6.060998277964928,5.712788552513697,6.886500584710449,81.33971258481093
Albania,2018,national,income,3.6798511193879198,4.5998138992349,5.51977667908188,328206.0,506630.0,699868.0,11.45020448747247,17.6749242038351,24.41647548314648,3.69489519572656,5.8440656145337595,8.411130854439989,389731.520060437,770528.1390387671,1330788.550018754,1.1874600709933303,1.5208892861432743,1.9014850657820532,32.26924221844181,33.06414823426331,34.44858689642373,0.0176169601373255,0.0284745604406878,0.0416024886212326,0.0529836467377074,0.0849578322297715,0.1235107691708139,328206.0,178424.0,193238.0,2166508.0,11.450207509412582,6.2247241813355965,6.741544026324529,75.5835242829273
Albania,2019,national,consumption,5.230953605073293,6.538692006341617,7.84643040760994,113512.0,263014.0,473125.0,3.9770195759094804,9.21500694943522,16.57650595552002,0.75891582860698,1.9155504748784202,3.7347045061621196,113307.20101331681,357492.9763729522,836394.9563058818,0.9981957943945733,1.3592165298157217,1.767809683077161,19.082482272954266,20.787284804016945,22.530113583402624,0.0021437654387116,0.0060571351748763,0.0127736552822208,0.0090152429542761,0.0233895131082804,0.0465922744760447,113512.0,149502.0,210111.0,2381066.0,3.9770288673743277,5.237981620711437,7.361490523934804,83.42349898797943
United Arab Emirates,2013,national,income,26.057606334010394,32.57200791751299,39.08640950101559,1210518.0,1777988.0,2356176.0,13.160795555824231,19.33035010913012,25.61642922863009,3.67343249833416,6.1851430280101,8.898895294095329,8804316.449777944,18530337.95041611,31992703.115485936,7.273180943842177,10.422082685831462,13.578231471454567,27.911930399950897,31.997053151358905,34.739009401980915,0.0137930120871639,0.0266639029990735,0.0416474699198611,0.0491190960575282,0.0862247643575862,0.1281730174308007,1210518.0,567470.0,578188.0,6841732.0,13.16079699862186,6.169555077089268,6.286081574201438,74.38356635008743
United Arab Emirates,2018,national,income,28.84856598131356,36.06070747664195,43.27284897197034,245450.0,880177.0,1663007.0,2.54855468749999,9.139033203124999,17.267290039062498,0.25202391848822,1.3240402205934,3.29437219989342,700222.1414712426,4598384.372698451,13729603.744260425,2.8528097024699233,5.224385973160457,8.25589053098419,9.888913384179336,14.48775228978664,19.078684965558615,0.0004339959247843528,0.0028854806519552,0.008956139838393,0.0027769501744185,0.0150125906968425,0.0387421693024642,245450.0,634727.0,782830.0,7967959.0,2.5485501662034733,6.590481162533436,8.128260446563718,82.73270822469937
Argentina,1980,urban,income,9.932286791805911,12.415358489757388,14.898430187708867,2959787.0,4466745.0,5990635.0,12.800410156249988,19.31766113281249,25.9081396484375,3.86244037460552,6.298243330010039,9.01802268026884,8870491.17473775,18080703.66682066,31066223.491053745,2.99700322176486,4.047847743003162,5.185798081681448,30.174352438527784,32.60355104802344,34.80768118750999,0.0174672973606734,0.0295202397649142,0.0439730176055735,0.0521904814979141,0.0862299964442061,0.1325271635834693,2959787.0,1506958.0,1523890.0,17131963.0,12.800408500809468,6.517252083870506,6.590479149445058,74.09186026587497
Argentina,1986,urban,income,10.146926865905108,12.683658582381385,15.220390298857662,2770184.0,4683892.0,6452736.0,10.56083563795107,17.85650705063703,24.59991056044778,3.88165744757233,5.846667746448779,8.463246480051751,10331469.883220877,19451958.523997523,33788830.146880366,3.7295247836320176,4.152947703319701,5.236357127717664,36.75521498202247,32.74250624412484,34.40356669507134,0.0230610133747318,0.0321908416084864,0.0442678095190197,0.0378051238122674,0.0656399489323029,0.102725522859088,2770184.0,1913708.0,1768844.0,19777994.0,10.560834563125006,7.295671908482913,6.743403633829481,75.4000898945626
Argentina,1987,urban,income,8.943845748930027,11.179807186162531,13.41576862339504,3449211.0,5012478.0,6878794.0,12.884788928805941,18.72449386082168,25.69625869167989,4.60579467164524,6.86500824035225,9.41014182002136,11027353.757908713,20545551.803300634,33795133.13966266,3.197065577579543,4.098881192755486,4.9129444986523305,35.74598296221752,36.66325478160976,36.62067106676922,0.0250599886422689,0.0367387177178537,0.0504081722711837,0.0532518506458313,0.086729095627131,0.1254576573545728,3449211.0,1563267.0,1866316.0,19890840.0,12.88478953429098,5.839702552526493,6.971765097722292,74.30374281546024
Argentina,1991,urban,income,6.0458513120976844,7.557314140122106,9.068776968146528,3153120.0,4972717.0,6848138.0,10.91527199863028,17.21424057398389,23.7064551639078,3.44816644565471,5.60883275814129,8.1454363758096,6022150.404602993,12244636.0247329,21338750.785101358,1.9099020667158222,2.46236333672978,3.1159931042717535,31.590291724411557,32.58251927966031,34.35957368029306,0.0169144230999817,0.0271475949793115,0.0399412217145037,0.0404248729870724,0.0709565571716007,0.1079372077168487,3153120.0,1819597.0,1875421.0,22039093.0,10.915272564545907,6.2989664879960285,6.49221450127913,76.29354644617894
Argentina,1992,urban,income,6.323006676626339,7.903758345782925,9.48451001493951,3628167.0,5740956.0,7558381.0,12.36078384945482,19.55883620332938,25.750614509944057,4.257234525617791,6.61432052775677,9.25724812649145,7901188.471036751,15344759.838568453,25771399.85961189,2.1777356089278004,2.6728579418773553,3.4096455126583183,34.44145673573348,33.81755647050453,35.94962214481951,0.024455783355957,0.0352709061917898,0.0487919076537005,0.0496871730352152,0.0833891242733958,0.1226731487187459,3628167.0,2112789.0,1817425.0,21793856.0,12.360785312547048,7.198051037813574,6.191776797114305,74.24938685252506
Argentina,1993,urban,income,6.462464550602695,8.078080688253369,9.693696825904043,4058635.0,5989299.0,7790303.0,13.61526598965056,20.09194929613933,26.133674506802528,4.9960159499295,7.29980425476149,9.89415067810512,9624449.10635861,17578155.084083404,28590506.09718631,2.3713512317216527,2.9349269562403553,3.6700120774745613,36.69422421049101,36.33198366671602,37.859777785368195,0.0283914739028756,0.0403792547551305,0.0544090158706105,0.0605594381573877,0.0953352708250374,0.1353670742000814,4058635.0,1930664.0,1801004.0,22019142.0,13.615265228856154,6.476685493473629,6.041722682190158,73.86632659548006
Argentina,1994,urban,income,6.248954964266439,7.811193705333048,9.373432446399658,4182834.0,6270749.0,8047386.0,13.82271372717579,20.7224954433599,26.59362093551851,4.83629199694887,7.248422770738,9.930298971022781,9145285.573201235,17133192.184093215,28166853.854532626,2.18638501389279,2.7322401493176036,3.5001246186690467,34.98801041766587,34.978522520215854,37.34090621214694,0.0277657400599502,0.0395689365083472,0.0538230888843461,0.0512052558775858,0.0860690206510472,0.1263590470588166,4182834.0,2087915.0,1776637.0,22213202.0,13.822712235466145,6.8997833089033165,5.8711251744348125,73.40637928119573
Argentina,1995,urban,income,5.776490415442975,7.220613019303719,8.664735623164463,4801819.0,6507902.0,8606579.0,15.6380957954704,21.19430084422136,28.029067861833713,6.3626447669864,8.773672087025771,11.45780693756807,11285573.92646284,19452587.83313521,30484475.86607336,2.3502705800578574,2.9890720286100207,3.541996868450677,40.68682558140495,41.39637480389797,40.87830284147895,0.0399535510422901,0.0528949114690993,0.0677056322517828,0.0726968159600462,0.1101877256104641,0.1526175669074526,4801819.0,1706083.0,2098677.0,22099327.0,15.638095811274875,5.556204724915135,6.834766575524591,71.9709328882854
