Entity,Year,palm_production,palm_kernel_production,palm_area,sunflower_production,sunflower_area,rapeseed_production,rapeseed_area,soybean_production,soybean_area,olive_production,olive_area,coconut_production,coconut_area,groundnut_production,groundnut_area,cottonseed_production,cottonseed_area,sesame_production,sesame_area
Afghanistan,2010,,0,,60,170,,,,,596,2200,,,,,3726,33000,1091,47000
Afghanistan,2011,,0,,60,170,,,,,539,2200,,,,,3725,33000,1292,15000
Afghanistan,2012,,0,,61,170,,,,,539,2200,,,,,4098,33000,1261,12000
Afghanistan,2013,,0,,138,407,,,,,546,2200,,,,,4762,36300,1334,12000
Afghanistan,2014,,,,960,210,,,,,658,2200,,,,,4832,35000,1250,16000
Afghanistan,2015,,,,1035,210,,,,,711,2200,,,,,5691,42124,861,15000
Afghanistan,2016,,,,1805,493,,,,,741,2200,,,,,6626,51102,1043,15000
Afghanistan,2017,,,,3167,567,,,,,763,2284,,,,,4176,31845,1108,15000
Afghanistan,2018,,,,3199,624,,,,,812,2263,,,,,6520,39496,1211,15000
Afghanistan,2019,,,,3066,981,,,,,837,2155,,,,,8247,49371,1438,71081
Afghanistan,1961,,,,,8300,,,,,82,600,,,,,4997,76892,,33200
Afghanistan,1962,,,,,8300,,,,,90,600,,,,,7716,91056,,33200
Afghanistan,1963,,,,,8300,,,,,82,600,,,,,11742,121408,,33200
Afghanistan,1964,,,,,8300,,,,,90,600,,,,,7960,121408,,33200
Afghanistan,1965,,,,,8300,,,,,82,600,,,,,7926,80939,,33200
Afghanistan,1966,,,,,8300,,,,,90,600,,,,,6453,48000,,33200
Afghanistan,1967,,,,,8300,,,,,82,600,,,,,7574,52800,,33200
Afghanistan,1968,,,,,8200,,,,,98,600,,,,,5625,54600,,32800
Afghanistan,1969,,,,,8300,,,,,82,600,,,,,7452,55000,,33200
Afghanistan,1970,,,,,8300,,,,,98,600,,,,,7847,54300,,33200
Afghanistan,1971,,,,,8400,,,,,82,600,,,,,6702,54000,,33600
Afghanistan,1972,,,,,8500,,,,,98,600,,,,,3347,51600,,34000
Afghanistan,1973,,,,,9000,,,,,78,600,,,,,11191,74800,,36000
Afghanistan,1974,,,,,8940,,,,,106,600,,,,,16520,138000,,35760
Afghanistan,1975,,,,,10000,,,,,82,600,,,,,18095,112000,,40000
Afghanistan,1976,,,,,10000,,,,,90,600,,,,,18274,128000,,40000
Afghanistan,1977,,,,,10000,,,,,112,600,,,,,15674,128000,,40000
Afghanistan,1978,,,,,10000,,,,,108,623,,,,,14717,112000,,40000
Afghanistan,1979,,,,,11800,,,,,73,800,,,,,11921,84000,,47200
Afghanistan,1980,,,,,11900,,,,,95,1000,,,,,6614,45000,,47600
Afghanistan,1981,,,,,12000,,,,,82,1200,,,,,6442,73000,,48000
Afghanistan,1982,,,,,12300,,,,,65,1250,,,,,4972,66700,,49200
Afghanistan,1983,,,,,12000,,,,,41,1300,,,,,5566,68000,,48000
Afghanistan,1984,,,,,12000,,,,,16,1385,,,,,7682,68000,,48000
Afghanistan,1985,,,,,12000,,,,,66,1385,,,,,6043,75000,,48000
Afghanistan,1986,,,,,12000,,,,,163,1385,,,,,7308,69300,,48000
Afghanistan,1987,,,,,11900,,,,,73,1300,,,,,4397,40000,,46000
Afghanistan,1988,,,,,11800,,,,,87,1300,,,,,4874,45000,,44000
Afghanistan,1989,,,,,11700,,,,,65,1300,,,,,4018,55000,,42000
Afghanistan,1990,,,,,11600,,,,,90,1420,,,,,2988,28000,,40000
Afghanistan,1991,,,,,11500,,,,,73,1300,,,,,7542,60000,,36000
Afghanistan,1992,,,,,11801,,,,,90,1300,,,,,7542,60000,,36000
Afghanistan,1993,,,,,11698,,,,,73,1300,,,,,7542,60000,,36000
Afghanistan,1994,,,,,11386,,,,,90,1300,,,,,7542,60000,,36000
Afghanistan,1995,,,,,10000,,,,,73,1300,,,,,7542,60000,,36000
Afghanistan,1996,,,,,9876,,,,,90,1300,,,,,7542,60000,,36000
Afghanistan,1997,,,,,11500,,,,,73,1300,,,,,7542,60000,,35000
Afghanistan,1998,,,,,12081,,,,,90,1300,,,,,7542,60000,,35000
Afghanistan,1999,,,,,11511,,,,,73,1300,,,,,7605,60000,,35000
Afghanistan,2000,,,,,11271,,,,,90,1300,,,,,6345,50000,,35000
