country_name,year,regime_fh,polrights_fh,civlibs_fh,electdem_fh,electprocess_fh,polrights_score_fh,civlibs_score_fh,country_fh
Abkhazia,1972,,,,,,,,0
Abkhazia,1973,,,,,,,,0
Abkhazia,1974,,,,,,,,0
Abkhazia,1975,,,,,,,,0
Abkhazia,1976,,,,,,,,0
Abkhazia,1977,,,,,,,,0
Abkhazia,1978,,,,,,,,0
Abkhazia,1979,,,,,,,,0
Abkhazia,1980,,,,,,,,0
Abkhazia,1982,,,,,,,,0
Abkhazia,1983,,,,,,,,0
Abkhazia,1984,,,,,,,,0
Abkhazia,1985,,,,,,,,0
Abkhazia,1986,,,,,,,,0
Abkhazia,1987,,,,,,,,0
Abkhazia,1988,,,,,,,,0
Abkhazia,1989,,,,,,,,0
Abkhazia,1990,,,,,,,,0
Abkhazia,1991,,,,,,,,0
Abkhazia,1992,,,,,,,,0
Abkhazia,1993,,,,,,,,0
Abkhazia,1994,,,,,,,,0
Abkhazia,1995,,,,,,,,0
Abkhazia,1996,,,,,,,,0
Abkhazia,1997,0,6,5,,,,,0
Abkhazia,1998,0,6,5,,,,,0
Abkhazia,1999,0,6,5,,,,,0
Abkhazia,2000,0,6,5,,,,,0
Abkhazia,2001,0,6,5,,,,,0
Abkhazia,2002,0,6,5,,,,,0
Abkhazia,2003,0,6,5,,,,,0
Abkhazia,2004,0,6,5,,,,,0
Abkhazia,2005,1,5,5,0,5,13,21,0
Abkhazia,2006,1,5,5,0,5,13,21,0
Abkhazia,2007,1,5,5,0,5,15,21,0
Abkhazia,2008,1,5,5,0,5,14,21,0
Abkhazia,2009,1,5,5,0,5,14,21,0
Abkhazia,2010,1,5,5,0,5,15,22,0
Abkhazia,2011,1,5,5,0,6,17,22,0
Abkhazia,2012,1,4,5,0,7,18,22,0
Abkhazia,2013,1,4,5,0,7,18,22,0
Abkhazia,2014,1,4,5,0,6,18,23,0
Abkhazia,2015,1,4,5,0,6,19,23,0
Abkhazia,2016,1,4,5,0,6,18,23,0
Abkhazia,2017,1,4,5,0,6,18,23,0
Abkhazia,2018,1,4,5,0,6,18,23,0
Abkhazia,2019,1,5,5,0,5,17,23,0
Abkhazia,2020,1,5,5,0,5,17,23,0
Abkhazia,2021,1,5,5,0,5,17,23,0
Abkhazia,2022,1,5,5,0,5,17,22,0
Afghanistan,1972,1,4,5,,,,,1
Afghanistan,1973,0,7,6,,,,,1
Afghanistan,1974,0,7,6,,,,,1
Afghanistan,1975,0,7,6,,,,,1
Afghanistan,1976,0,7,6,,,,,1
Afghanistan,1977,0,6,6,,,,,1
Afghanistan,1978,0,7,7,,,,,1
Afghanistan,1979,0,7,7,,,,,1
Afghanistan,1980,0,7,7,,,,,1
Afghanistan,1982,0,7,7,,,,,1
Afghanistan,1983,0,7,7,,,,,1
Afghanistan,1984,0,7,7,,,,,1
Afghanistan,1985,0,7,7,,,,,1
Afghanistan,1986,0,7,7,,,,,1
Afghanistan,1987,0,7,7,,,,,1
Afghanistan,1988,0,6,6,,,,,1
Afghanistan,1989,0,7,7,,,,,1
Afghanistan,1990,0,7,7,,,,,1
Afghanistan,1991,0,7,7,,,,,1
Afghanistan,1992,0,6,6,,,,,1
Afghanistan,1993,0,7,7,,,,,1
Afghanistan,1994,0,7,7,,,,,1
Afghanistan,1995,0,7,7,,,,,1
Afghanistan,1996,0,7,7,,,,,1
Afghanistan,1997,0,7,7,,,,,1
Afghanistan,1998,0,7,7,,,,,1
Afghanistan,1999,0,7,7,,,,,1
Afghanistan,2000,0,7,7,,,,,1
Afghanistan,2001,0,7,7,,,,,1
Afghanistan,2002,0,6,6,,,,,1
Afghanistan,2003,0,6,6,,,,,1
Afghanistan,2004,0,5,6,,,,,1
Afghanistan,2005,1,5,5,0,6,16,19,1
Afghanistan,2006,1,5,5,0,6,17,18,1
Afghanistan,2007,1,5,5,0,6,17,17,1
Afghanistan,2008,0,5,6,0,6,16,16,1
Afghanistan,2009,0,6,6,0,4,11,16,1
Afghanistan,2010,0,6,6,0,3,10,15,1
Afghanistan,2011,0,6,6,0,3,10,13,1
Afghanistan,2012,0,6,6,0,3,11,16,1
Afghanistan,2013,0,6,6,0,3,11,15,1
Afghanistan,2014,0,6,6,0,3,11,13,1
Afghanistan,2015,0,6,6,0,2,10,14,1
Afghanistan,2016,0,6,6,0,2,10,14,1
Afghanistan,2017,0,5,6,0,2,12,14,1
Afghanistan,2018,0,5,6,0,3,13,14,1
Afghanistan,2019,0,5,6,0,3,13,14,1
