country_name,year,regime_bti,state_basic_bti,electfreefair_bti,effective_power_bti,freeassoc_bti,freeexpr_bti,sep_power_bti,civ_rights_bti,democracy_bti,state_bti,political_participation_bti,rule_of_law_bti,stability_dem_inst_bti,pol_soc_integr_bti
Afghanistan,2005,1,2,4,3,6,4,3,2,2.966666698455811,3,4.25,2.25,3,2.3333333
Afghanistan,2007,1,2,6,3,6,4,5,3,3.416666746139526,3.25,4.75,3.75,3,2.3333333
Afghanistan,2009,1,1,6,2,4,4,3,2,2.799999952316284,2.75,4,2.25,3,2
Afghanistan,2011,1,2,3,2,4,4,3,2,2.75,3.25,3.25,2.25,3,2
Afghanistan,2013,1,2.5,3,2,4,4,4,2,2.966666698455811,3.5,3.25,2.75,3,2.3333333
Afghanistan,2015,1,3,3,3,4,4,3,2,3.016666650772095,3.75,3.5,2.5,3,2.3333333
Afghanistan,2017,1,3,3,3,4,4,3,2,3.016666650772095,3.75,3.5,2.5,3,2.3333333
Afghanistan,2019,1,3,4,2,5,4,4,2,3.283333333333334,4,3.75,3,3,2.666666666666667
Afghanistan,2021,1,2.5,3,2,4,4,4,2,3.083333333333333,3.5,3.25,3,3,2.666666666666667
Albania,2005,4,6.5,6,8,9,9,5,8,7.25,8,8,5.5,7.5,7.25
Albania,2007,4,7.5,8,8,9,8,7,8,7.5,8.5,8.25,6.25,8,6.5
Albania,2009,4,8,8,8,9,8,7,8,7.550000190734863,8.75,8.25,6.25,8,6.5
Albania,2011,4,8,7,7,9,7,6,8,7.25,8.75,7.5,6,7.5,6.5
Albania,2013,4,8,6,7,8,7,4,8,6.699999809265137,8.5,7,5,6.5,6.5
Albania,2015,4,8.5,7,7,8,7,4,8,6.949999809265137,9,7.25,5,7,6.5
Albania,2017,4,8.5,7,7,9,7,4,8,7.050000190734863,9,7.5,5.25,7,6.5
Albania,2019,4,8.5,7,7,10,7,5,8,7.15,9,7.75,5.5,7,6.5
Albania,2021,4,8.5,7,7,10,7,5,8,7.1,9,7.75,5.5,6.5,6.75
Algeria,2005,2,6.5,5,2,5,5,4,5,4.233333110809326,7,4.25,4.25,2,3.6666667
Algeria,2007,2,6,4,2,5,5,4,5,4.266666889190674,6.75,4,4.25,2,4.3333333
Algeria,2009,2,7,4,2,5,6,4,5,4.366666793823242,7,4.25,4.25,2,4.3333333
Algeria,2011,2,7,4,2,5,6,4,5,4.300000190734863,7,4.25,4.25,2,4
Algeria,2013,2,7.5,6,2,6,6,4,5,4.800000190734863,7.25,5,4.25,2.5,5
Algeria,2015,2,7.5,5,2,5,6,4,5,4.800000190734863,7.25,4.5,4.25,3,5
Algeria,2017,2,8,5,2,5,6,4,5,4.75,7.5,4.5,4.25,2.5,5
Algeria,2019,2,8,5,2,5,5,4,5,4.7,7.5,4.25,4.25,2.5,5
Algeria,2021,2,8.5,4,2,5,4,4,5,4.65,7.75,3.75,4.25,2.5,5
Angola,2005,1,4,1,1,6,3,2,4,3.383333444595337,6.75,2.75,2.75,2,2.6666667
Angola,2007,1,5,1,2,6,5,3,3,3.966666698455811,7.25,3.5,2.75,2,4.3333333
Angola,2009,2,7,6,3,5,6,4,4,4.866666793823242,8,5,4,3,4.3333333
Angola,2011,2,7,6,3,6,6,3,4,4.883333206176758,8,5.25,3.5,3,4.6666667
Angola,2013,2,6,4,3,4,5,3,5,4.550000190734863,7.25,4,3.5,3,5
Angola,2015,2,6,3,2,3,4,3,4,4.25,7.25,3,3,3,5
Angola,2017,2,6,3,2,3,4,3,4,4.199999809265137,7.5,3,3,2.5,5
Angola,2019,2,6,4,2,5,6,3,4,4.65,7.25,4.25,3.75,3,5
Angola,2021,2,6,4,2,4,6,3,4,4.6,7.25,4,3.75,3,5
Argentina,2005,4,7.5,10,10,10,8,6,7,7.849999904632568,8.75,9.5,6,8,7
Argentina,2007,4,8,10,10,10,8,5,7,7.849999904632568,9,9.5,5.75,8,7
Argentina,2009,4,8,10,10,10,8,5,7,7.900000095367432,9,9.5,5.75,8,7.25
Argentina,2011,4,8,9,8,10,8,5,7,7.550000190734863,9,8.75,5.75,7,7.25
Argentina,2013,4,8,9,8,10,8,5,7,7.550000190734863,9,8.75,5.75,7,7.25
Argentina,2015,4,8,9,8,10,8,5,7,7.550000190734863,9,8.75,5.75,7,7.25
Argentina,2017,5,8,9,8,10,9,7,7,8,9,9,7,7.5,7.5
Argentina,2019,5,8,9,8,10,9,8,7,8.15,9,9,7.5,8,7.25
Argentina,2021,4,8,9,8,9,9,6,7,7.7,9,8.75,6.5,7,7.25
Armenia,2005,2,8.5,6,3,6,5,3,6,5.199999809265137,8.75,5,4.25,3,5
Armenia,2007,4,8.5,6,5,6,4,4,6,6,8.75,5.25,4.5,6,5.5
Armenia,2009,2,8.5,5,2,5,4,4,6,4.916666507720947,8.75,4,4.5,2,5.3333333
Armenia,2011,2,8,5,2,5,4,4,6,5.25,8.5,4,4.75,3,6
Armenia,2013,2,8,5,2,6,5,4,6,5.349999904632568,8.5,4.5,4.75,3,6
Armenia,2015,2,8.5,5,3,5,5,4,5,5.233333110809326,8.75,4.5,4.25,3,5.6666667
Armenia,2017,2,8,4,3,5,5,4,5,5.116666793823242,8.5,4.25,4.5,3,5.3333333
Armenia,2019,4,8,9,6,9,9,6,7,7.1,8.75,8.25,6,6.5,6
Armenia,2021,4,7.5,9,5,9,8,6,6,6.75,8.5,7.75,5.75,6,5.75
Azerbaijan,2005,1,6,3,1,5,3,4,5,3.799999952316284,6.75,3,4.25,2,3
Azerbaijan,2007,1,6,3,2,3,4,4,5,3.799999952316284,6.75,3,4.25,2,3
Azerbaijan,2009,1,6.5,4,2,4,3,4,4,3.916666746139526,7,3.25,4,2,3.3333333
Azerbaijan,2011,2,7,3,2,4,4,4,4,4.016666889190674,7.5,3.25,4,2,3.3333333
Azerbaijan,2013,1,7,3,2,4,3,3,4,3.916666746139526,7.5,3,3.75,2,3.3333333
Azerbaijan,2015,1,6,3,2,3,3,2,3,3.483333349227905,7,2.75,3,2,2.6666667
Azerbaijan,2017,1,6,2,2,3,2,2,3,3.433333396911621,7.25,2.25,3,2,2.6666667
Azerbaijan,2019,1,6,2,2,3,2,2,3,3.433333333333334,7.25,2.25,3,2,2.666666666666667
Azerbaijan,2021,1,7.5,2,2,3,2,2,3,3.583333333333333,8,2.25,3,2,2.666666666666667
Bahrain,2005,2,9.5,4,2,6,4,4,7,4.916666507720947,8.25,4,5,2,5.3333333
Bahrain,2007,2,9.5,3,2,4,4,4,7,4.633333206176758,8.25,3.25,5,2,4.6666667
Bahrain,2009,2,8.5,3,1,3,3,4,6,4.416666507720947,7.75,2.5,4.5,2,5.3333333
Bahrain,2011,2,8.5,3,1,3,3,4,6,4.349999904632568,7.75,2.5,4.5,2,5
Bahrain,2013,1,7.5,3,1,3,3,4,4,3.650000095367432,6.75,2.5,4,1,4
Bahrain,2015,1,7,2,1,2,2,3,4,3.483333349227905,6.5,1.75,3.5,2,3.6666667
Bahrain,2017,1,7,2,1,1,2,2,3,3.233333349227905,6.25,1.5,2.75,2,3.6666667
Bahrain,2019,1,7,2,1,1,2,2,3,3,6.25,1.5,2.75,1.5,3
Bahrain,2021,1,7.5,2,1,1,1,2,3,3.066666666666667,6.5,1.25,2.75,1.5,3.333333333333333
Bangladesh,2005,4,6.5,7,7,7,7,8,7,6.550000190734863,7.25,7,6.25,7,5.25
Bangladesh,2007,3,6.5,7,7,7,7,5,5,5.949999809265137,7,7,4.5,5.5,5.75
Bangladesh,2009,4,6,8,5,7,7,5,5,6.050000190734863,7,6.75,5,5.5,6
Bangladesh,2011,4,6,8,7,8,7,6,5,6.25,7,7.5,5,5.5,6.25
Bangladesh,2013,3,6,8,6,7,6,5,4,5.949999809265137,7,6.75,4.25,5.5,6.25
Bangladesh,2015,3,5.5,6,6,5,4,5,4,5.349999904632568,6.75,5.25,4.25,4.5,6
Bangladesh,2017,2,6,5,3,5,4,4,4,4.616666793823242,6.75,4.25,3.75,3,5.3333333
Bangladesh,2019,2,6.5,4,2,4,3,3,4,4.416666666666666,7,3.25,3.5,3,5.333333333333333
Bangladesh,2021,2,7,4,2,3,3,3,3,4.25,7,3,3.25,3,5
Belarus,2005,1,8,3,1,4,4,2,3,3.966666698455811,8.25,3,3.25,2,3.3333333
Belarus,2007,1,8,2,2,3,3,2,2,3.933333396911621,8.5,2.5,3,2,3.6666667
