"entity","year","value"
"Australia",1983,6.052
"Australia",1984,6.024
"Australia",1985,6.075
"Australia",1986,6.274
"Australia",1987,6.112
"Australia",1988,6.067
"Australia",1989,6.12
"Australia",1990,6.48
"Australia",1991,6.776
"Australia",1992,6.84
"Australia",1993,6.857
"Australia",1994,6.889
"Australia",1995,6.935
"Australia",1996,7.074
"Australia",1997,7.088
"Australia",1998,7.244
"Australia",1999,7.331
"Australia",2000,7.614
"Australia",2001,7.696
"Australia",2002,7.893
"Australia",2003,7.904
"Australia",2004,8.109
"Australia",2005,7.99
"Australia",2006,7.989
"Australia",2007,8.068
"Australia",2008,8.256
"Australia",2009,8.563
"Australia",2010,8.431
"Australia",2011,8.542
"Australia",2012,8.676
"Australia",2013,8.761
"Australia",2014,9.036
"Australia",2015,9.328
"Australia",2016,9.248
"Australia",2017,9.267
"Australia",2018,9.155
"Australia",2019,9.418
"Austria",1970,4.838
"Austria",1971,4.77
"Austria",1972,4.765
"Austria",1973,4.857
"Austria",1974,5.086
"Austria",1975,6.507
"Austria",1976,6.74
"Austria",1977,6.681
"Austria",1978,6.949
"Austria",1979,6.924
"Austria",1980,7.022
"Austria",1981,6.024
"Austria",1982,5.999
"Austria",1983,5.832
"Austria",1984,5.879
"Austria",1985,6.008
"Austria",1986,6.115
"Austria",1987,6.405
"Austria",1988,6.397
"Austria",1989,6.54
"Austria",1990,7.718
"Austria",1991,7.782
"Austria",1992,8.077
"Austria",1993,8.601
"Austria",1994,8.99
"Austria",1995,8.924
"Austria",1996,8.884
"Austria",1997,8.984
"Austria",1998,9.15
"Austria",1999,9.302
"Austria",2000,9.204
"Austria",2001,9.269
"Austria",2002,9.395
"Austria",2003,9.547
"Austria",2004,9.709
"Austria",2005,9.627
"Austria",2006,9.531
"Austria",2007,9.532
"Austria",2008,9.726
"Austria",2009,10.226
"Austria",2010,10.221
"Austria",2011,10.026
"Austria",2012,10.199
"Austria",2013,10.286
"Austria",2014,10.368
"Austria",2015,10.368
"Austria",2016,10.352
"Austria",2017,10.385
"Austria",2018,10.318
"Austria",2019,10.434
"Austria",2020,11.498
"Belgium",1970,3.856
"Belgium",1971,3.943
"Belgium",1972,4.098
"Belgium",1973,4.378
"Belgium",1974,4.443
"Belgium",1975,5.547
"Belgium",1976,5.755
"Belgium",1977,6.226
"Belgium",1978,6.416
"Belgium",1979,6.398
"Belgium",1980,6.181
"Belgium",1981,6.596
"Belgium",1982,6.824
"Belgium",1983,6.991
"Belgium",1984,6.833
"Belgium",1985,6.883
"Belgium",1986,7.054
"Belgium",1987,7.162
"Belgium",1988,7.161
"Belgium",1989,7.104
"Belgium",1990,7.147
"Belgium",1991,7.459
"Belgium",1992,7.639
"Belgium",1993,7.763
"Belgium",1994,7.56
"Belgium",1995,7.519
"Belgium",1996,7.814
"Belgium",1997,7.675
"Belgium",1998,7.797
"Belgium",1999,7.963
"Belgium",2000,7.999
"Belgium",2001,8.15
"Belgium",2002,8.318
"Belgium",2003,9.208
"Belgium",2004,9.367
"Belgium",2005,9.261
"Belgium",2006,9.161
"Belgium",2007,9.166
"Belgium",2008,9.63
"Belgium",2009,10.355
"Belgium",2010,10.233
"Belgium",2011,10.392
"Belgium",2012,10.507
"Belgium",2013,10.561
"Belgium",2014,10.594
"Belgium",2015,10.431
"Belgium",2016,10.773
"Belgium",2017,10.785
"Belgium",2018,10.764
"Belgium",2019,10.659
"Canada",1970,6.353
"Canada",1971,6.611
"Canada",1972,6.528
"Canada",1973,6.207
"Canada",1974,6.091
"Canada",1975,6.538
"Canada",1976,6.574
"Canada",1977,6.553
"Canada",1978,6.526
"Canada",1979,6.414
"Canada",1980,6.588
"Canada",1981,6.789
"Canada",1982,7.522
"Canada",1983,7.694
"Canada",1984,7.58
"Canada",1985,7.588
"Canada",1986,7.83
"Canada",1987,7.771
"Canada",1988,7.769
"Canada",1989,7.976
"Canada",1990,8.394
"Canada",1991,9.081
"Canada",1992,9.332
"Canada",1993,9.216
"Canada",1994,8.862
"Canada",1995,8.559
"Canada",1996,8.363
"Canada",1997,8.318
"Canada",1998,8.547
"Canada",1999,8.329
"Canada",2000,8.248
"Canada",2001,8.625
"Canada",2002,8.857
"Canada",2003,9.011
"Canada",2004,9.066
"Canada",2005,9.035
"Canada",2006,9.342
"Canada",2007,9.445
"Canada",2008,9.607
"Canada",2009,10.717
"Canada",2010,10.696
"Canada",2011,10.401
"Canada",2012,10.506
"Canada",2013,10.405
"Canada",2014,10.249
"Canada",2015,10.733
"Canada",2016,11.023
"Canada",2017,10.835
"Canada",2018,10.806
"Canada",2019,10.844
"Czechia",1990,3.713
"Czechia",1991,3.848
"Czechia",1992,3.971
"Czechia",1993,5.318
"Czechia",1994,5.479
"Czechia",1995,5.701
"Czechia",1996,5.586
"Czechia",1997,5.596
"Czechia",1998,5.593
"Czechia",1999,5.769
"Czechia",2000,5.701
"Czechia",2001,5.863
"Czechia",2002,6.177
"Czechia",2003,6.524
"Czechia",2004,6.351
"Czechia",2005,6.341
"Czechia",2006,6.164
"Czechia",2007,5.986
"Czechia",2008,6.33
"Czechia",2009,7.249
"Czechia",2010,6.875
"Czechia",2011,6.928
"Czechia",2012,6.979
"Czechia",2013,7.722
"Czechia",2014,7.597
"Czechia",2015,7.196
"Czechia",2016,7.107
"Czechia",2017,7.142
"Czechia",2018,7.525
"Czechia",2019,7.835
"Czechia",2020,9.068
"Denmark",1971,7.677
"Denmark",1972,7.768
"Denmark",1973,7.585
"Denmark",1974,8.291
"Denmark",1975,8.536
"Denmark",1976,8.441
"Denmark",1977,8.259
"Denmark",1978,8.377
"Denmark",1979,8.474
"Denmark",1980,8.416
"Denmark",1981,8.575
"Denmark",1982,8.624
"Denmark",1983,8.418
"Denmark",1984,7.97
"Denmark",1985,7.947
"Denmark",1986,7.734
"Denmark",1987,8.054
"Denmark",1988,8.191
"Denmark",1989,8.061
"Denmark",1990,8.038
"Denmark",1991,7.94
"Denmark",1992,7.956
"Denmark",1993,8.289
"Denmark",1994,8.077
"Denmark",1995,7.771
"Denmark",1996,7.839
"Denmark",1997,7.75
"Denmark",1998,7.552
"Denmark",1999,8.342
"Denmark",2000,8.104
"Denmark",2001,8.448
"Denmark",2002,8.703
"Denmark",2003,8.904
"Denmark",2004,9.007
"Denmark",2005,9.091
"Denmark",2006,9.169
"Denmark",2007,9.325
"Denmark",2008,9.511
"Denmark",2009,10.674
"Denmark",2010,10.333
"Denmark",2011,10.153
"Denmark",2012,10.241
"Denmark",2013,10.17
"Denmark",2014,10.172
"Denmark",2015,10.227
"Denmark",2016,10.145
"Denmark",2017,10.04
"Denmark",2018,10.071
"Denmark",2019,9.956
"Denmark",2020,10.612
"Finland",1970,4.989
"Finland",1971,5.29
"Finland",1972,5.385
"Finland",1973,5.234
"Finland",1974,5.172
"Finland",1975,5.654
"Finland",1976,5.993
"Finland",1977,6.196
"Finland",1978,6.136
"Finland",1979,5.989
"Finland",1980,5.916
"Finland",1981,6.04
"Finland",1982,6.133
"Finland",1983,6.222
"Finland",1984,6.266
"Finland",1985,6.658
"Finland",1986,6.758
"Finland",1987,6.897
"Finland",1988,6.703
"Finland",1989,6.743
"Finland",1990,7.253
"Finland",1991,8.32
"Finland",1992,8.521
"Finland",1993,7.833
"Finland",1994,7.285
"Finland",1995,7.355
"Finland",1996,7.474
"Finland",1997,7.128
"Finland",1998,6.818
"Finland",1999,6.798
"Finland",2000,7.093
"Finland",2001,7.251
"Finland",2002,7.628
"Finland",2003,7.938
"Finland",2004,8.059
"Finland",2005,8.288
"Finland",2006,8.284
"Finland",2007,8.084
"Finland",2008,8.343
"Finland",2009,9.161
"Finland",2010,9.142
"Finland",2011,9.223
"Finland",2012,9.586
"Finland",2013,9.805
"Finland",2014,9.781
"Finland",2015,9.645
"Finland",2016,9.378
"Finland",2017,9.127
"Finland",2018,9.034
"Finland",2019,9.153
"Finland",2020,9.55
"France",1970,5.201
"France",1975,6.156
"France",1980,6.759
"France",1985,7.671
"France",1990,7.997
"France",1991,8.221
"France",1992,8.446
"France",1993,8.857
"France",1994,8.841
"France",1995,9.884
"France",1996,9.886
"France",1997,9.761
"France",1998,9.659
"France",1999,9.66
"France",2000,9.584
"France",2001,9.706
"France",2002,10.022
"France",2003,10.083
"France",2004,10.164
"France",2005,10.215
"France",2006,10.386
"France",2007,10.316
"France",2008,10.501
"France",2009,11.288
"France",2010,11.226
"France",2011,11.185
"France",2012,11.297
"France",2013,11.416
"France",2014,11.544
"France",2015,11.448
"France",2016,11.472
"France",2017,11.333
"France",2018,11.198
"France",2019,11.112
"France",2020,12.377
"Germany",1970,5.713
"Germany",1971,6.185
"Germany",1972,6.509
"Germany",1973,6.828
"Germany",1974,7.353
"Germany",1975,8.017
"Germany",1976,8.038
"Germany",1977,7.971
"Germany",1978,8.046
"Germany",1979,7.899
"Germany",1980,8.098
"Germany",1981,8.397
"Germany",1982,8.228
"Germany",1983,8.22
"Germany",1984,8.336
"Germany",1985,8.481
"Germany",1986,8.376
"Germany",1987,8.48
"Germany",1988,8.66
"Germany",1989,8.063
"Germany",1990,8.031
"Germany",1992,8.994
"Germany",1993,8.987
"Germany",1994,9.238
"Germany",1995,9.531
"Germany",1996,9.825
"Germany",1997,9.717
"Germany",1998,9.729
"Germany",1999,9.807
"Germany",2000,9.888
"Germany",2001,9.92
"Germany",2002,10.184
"Germany",2003,10.402
"Germany",2004,10.146
"Germany",2005,10.312
"Germany",2006,10.18
"Germany",2007,10.051
"Germany",2008,10.251
"Germany",2009,11.238
"Germany",2010,11.096
"Germany",2011,10.778
"Germany",2012,10.853
"Germany",2013,10.998
"Germany",2014,11.022
"Germany",2015,11.184
"Germany",2016,11.236
"Germany",2017,11.329
"Germany",2018,11.45
"Germany",2019,11.697
"Germany",2020,12.53
"Greece",1988,5.484
"Greece",1989,6.013
"Greece",1990,6.07
"Greece",1991,5.923
"Greece",1992,6.48
"Greece",1993,7.271
"Greece",1994,7.978
"Greece",1995,7.974
"Greece",1996,7.878
"Greece",1997,7.694
"Greece",1998,7.578
"Greece",1999,7.762
"Greece",2000,7.243
"Greece",2001,7.988
"Greece",2002,8.234
"Greece",2003,8.449
"Greece",2004,8.094
"Greece",2005,8.565
"Greece",2006,8.259
"Greece",2007,8.398
"Greece",2008,8.828
"Greece",2009,9.407
"Greece",2010,9.597
"Greece",2011,9.193
"Greece",2012,8.924
"Greece",2013,8.367
"Greece",2014,7.908
"Greece",2015,8.069
"Greece",2016,8.321
"Greece",2017,8.103
"Greece",2018,7.959
"Greece",2019,7.838
"Hungary",1991,6.357
"Hungary",1992,6.845
"Hungary",1993,6.91
"Hungary",1994,7.385
"Hungary",1995,6.725
"Hungary",1996,6.643
"Hungary",1997,6.304
"Hungary",1998,6.675
"Hungary",1999,6.884
"Hungary",2000,6.778
"Hungary",2001,6.826
"Hungary",2002,7.121
"Hungary",2003,8.119
"Hungary",2004,7.77
"Hungary",2005,8.001
"Hungary",2006,7.787
"Hungary",2007,7.215
"Hungary",2008,7.097
"Hungary",2009,7.239
"Hungary",2010,7.463
"Hungary",2011,7.491
"Hungary",2012,7.43
"Hungary",2013,7.249
"Hungary",2014,7.06
"Hungary",2015,6.859
"Hungary",2016,6.995
"Hungary",2017,6.756
"Hungary",2018,6.546
"Hungary",2019,6.35
"Iceland",1970,4.66
"Iceland",1971,5.093
"Iceland",1972,4.993
"Iceland",1973,4.575
"Iceland",1974,5.223
"Iceland",1975,5.642
"Iceland",1976,5.294
"Iceland",1977,5.241
"Iceland",1978,5.639
"Iceland",1979,6.373
"Iceland",1980,5.902
"Iceland",1981,6.03
"Iceland",1982,6.317
"Iceland",1983,6.926
"Iceland",1984,6.529
"Iceland",1985,6.762
"Iceland",1986,7.216
"Iceland",1987,7.391
"Iceland",1988,7.973
"Iceland",1989,7.795
"Iceland",1990,7.445
"Iceland",1991,7.622
"Iceland",1992,7.823
"Iceland",1993,7.912
"Iceland",1994,7.737
"Iceland",1995,7.861
"Iceland",1996,7.912
"Iceland",1997,7.765
"Iceland",1998,8.463
"Iceland",1999,8.849
"Iceland",2000,8.929
"Iceland",2001,8.785
"Iceland",2002,9.466
"Iceland",2003,9.729
"Iceland",2004,9.329
"Iceland",2005,8.947
"Iceland",2006,8.557
"Iceland",2007,8.354
"Iceland",2008,8.344
"Iceland",2009,8.775
"Iceland",2010,8.362
"Iceland",2011,8.203
"Iceland",2012,8.181
"Iceland",2013,8.176
"Iceland",2014,8.229
"Iceland",2015,8.07
"Iceland",2016,8.097
"Iceland",2017,8.309
"Iceland",2018,8.43
"Iceland",2019,8.566
"Iceland",2020,9.813
"Ireland",1970,4.913
"Ireland",1971,5.822
"Ireland",1972,5.889
"Ireland",1973,6.024
"Ireland",1974,6.512
"Ireland",1975,6.6
"Ireland",1976,6.443
"Ireland",1977,6.14
"Ireland",1978,6.466
"Ireland",1979,6.803
"Ireland",1980,7.505
"Ireland",1981,7.099
"Ireland",1982,6.955
"Ireland",1983,6.98
"Ireland",1984,6.822
"Ireland",1985,6.839
"Ireland",1986,6.746
"Ireland",1987,6.45
"Ireland",1988,6.139
"Ireland",1989,5.762
"Ireland",1990,5.613
"Ireland",1991,6.065
"Ireland",1992,6.326
"Ireland",1993,6.376
"Ireland",1994,6.274
"Ireland",1995,6.106
"Ireland",1996,5.933
"Ireland",1997,5.846
"Ireland",1998,5.635
"Ireland",1999,5.588
"Ireland",2000,5.904
"Ireland",2001,6.397
"Ireland",2002,6.675
"Ireland",2003,7.01
"Ireland",2004,7.223
"Ireland",2005,7.646
"Ireland",2006,7.517
"Ireland",2007,7.805
"Ireland",2008,9.109
"Ireland",2009,10.506
"Ireland",2010,10.506
"Ireland",2011,10.677
"Ireland",2012,10.653
"Ireland",2013,10.297
"Ireland",2014,9.535
"Ireland",2015,7.316
"Ireland",2016,7.425
"Ireland",2017,7.064
"Ireland",2018,6.86
"Ireland",2019,6.679
"Ireland",2020,7.194
"Italy",1988,6.648
"Italy",1989,6.635
"Italy",1990,6.992
"Italy",1991,7.226
"Italy",1992,7.095
"Italy",1993,7.064
"Italy",1994,6.911
"Italy",1995,6.848
"Italy",1996,6.945
"Italy",1997,7.208
"Italy",1998,7.247
"Italy",1999,7.316
"Italy",2000,7.567
"Italy",2001,7.738
"Italy",2002,7.867
"Italy",2003,7.833
"Italy",2004,8.165
"Italy",2005,8.339
"Italy",2006,8.437
"Italy",2007,8.136
"Italy",2008,8.533
"Italy",2009,8.952
"Italy",2010,8.916
"Italy",2011,8.774
"Italy",2012,8.784
"Italy",2013,8.775
"Italy",2014,8.868
"Italy",2015,8.857
"Italy",2016,8.725
"Italy",2017,8.678
"Italy",2018,8.675
"Italy",2019,8.669
"Italy",2020,9.716
"Japan",1970,4.362
"Japan",1971,4.474
"Japan",1972,4.58
"Japan",1973,4.459
"Japan",1974,4.895
"Japan",1975,5.413
"Japan",1976,5.413
"Japan",1977,5.549
"Japan",1978,5.736
"Japan",1979,5.857
"Japan",1980,6.247
"Japan",1981,6.33
"Japan",1982,6.479
"Japan",1983,6.549
"Japan",1984,6.368
"Japan",1985,6.481
"Japan",1986,6.414
"Japan",1987,6.388
"Japan",1988,6.105
"Japan",1989,5.896
"Japan",1990,5.757
"Japan",1991,5.774
"Japan",1992,6.025
"Japan",1993,6.332
"Japan",1994,6.584
"Japan",1995,6.282
"Japan",1996,6.124
"Japan",1997,6.4
"Japan",1998,6.615
"Japan",1999,6.976
"Japan",2000,7.151
"Japan",2001,7.359
"Japan",2002,7.473
"Japan",2003,7.611
"Japan",2004,7.657
"Japan",2005,7.781
"Japan",2006,7.808
"Japan",2007,7.89
"Japan",2008,8.2
"Japan",2009,9.058
"Japan",2010,9.157
"Japan",2011,10.617
"Japan",2012,10.791
"Japan",2013,10.792
"Japan",2014,10.832
"Japan",2015,10.886
"Japan",2016,10.835
"Japan",2017,10.796
"Japan",2018,10.926
"Japan",2019,11.037
"South Korea",1970,2.575
"South Korea",1971,2.235
"South Korea",1972,2.036
"South Korea",1973,1.744
"South Korea",1974,1.516
"South Korea",1975,2.297
"South Korea",1976,2.322
"South Korea",1977,2.203
"South Korea",1978,2.393
"South Korea",1979,3.116
"South Korea",1980,3.436
"South Korea",1981,3.571
"South Korea",1982,3.529
"South Korea",1983,3.42
"South Korea",1984,3.248
"South Korea",1985,3.283
"South Korea",1986,3.156
"South Korea",1987,3.071
"South Korea",1988,3.202
"South Korea",1989,3.681
"South Korea",1990,3.628
"South Korea",1991,3.468
"South Korea",1992,3.588
"South Korea",1993,3.5
"South Korea",1994,3.374
"South Korea",1995,3.377
"South Korea",1996,3.553
"South Korea",1997,3.53
"South Korea",1998,3.654
"South Korea",1999,3.846
"South Korea",2000,3.898
"South Korea",2001,4.428
"South Korea",2002,4.165
"South Korea",2003,4.424
"South Korea",2004,4.389
"South Korea",2005,4.617
"South Korea",2006,4.944
"South Korea",2007,5.115
"South Korea",2008,5.399
"South Korea",2009,5.782
"South Korea",2010,5.917
"South Korea",2011,6.008
"South Korea",2012,6.133
"South Korea",2013,6.249
"South Korea",2014,6.479
"South Korea",2015,6.658
"South Korea",2016,6.92
"South Korea",2017,7.086
"South Korea",2018,7.52
"South Korea",2019,8.164
"South Korea",2020,8.405
"Luxembourg",1976,3.898
"Luxembourg",1977,4.24
"Luxembourg",1978,4.475
"Luxembourg",1979,4.544
"Luxembourg",1980,4.642
"Luxembourg",1981,4.763
"Luxembourg",1982,4.641
"Luxembourg",1983,4.557
"Luxembourg",1984,4.47
"Luxembourg",1985,4.53
"Luxembourg",1986,4.501
"Luxembourg",1987,4.899
"Luxembourg",1988,5.072
"Luxembourg",1989,4.941
"Luxembourg",1990,5.127
"Luxembourg",1991,4.92
"Luxembourg",1992,5.162
"Luxembourg",1993,5.228
"Luxembourg",1994,5.093
"Luxembourg",1995,5.331
"Luxembourg",1996,5.341
"Luxembourg",1997,5.249
"Luxembourg",1998,5.427
"Luxembourg",1999,5.526
"Luxembourg",2000,5.901
"Luxembourg",2001,6.41
"Luxembourg",2002,6.738
"Luxembourg",2003,6.971
"Luxembourg",2004,7.347
"Luxembourg",2005,7.184
"Luxembourg",2006,6.71
"Luxembourg",2007,6.234
"Luxembourg",2008,6.538
"Luxembourg",2009,7.34
"Luxembourg",2010,7.031
"Luxembourg",2011,6.112
"Luxembourg",2012,5.584
"Luxembourg",2013,5.528
"Luxembourg",2014,5.437
"Luxembourg",2015,5.284
"Luxembourg",2016,5.195
"Luxembourg",2017,5.258
"Luxembourg",2018,5.286
"Luxembourg",2019,5.371
"Mexico",1999,4.395
"Mexico",2000,4.449
"Mexico",2001,4.82
"Mexico",2002,5.072
"Mexico",2003,5.815
"Mexico",2004,5.954
"Mexico",2005,5.836
"Mexico",2006,5.655
"Mexico",2007,5.766
"Mexico",2008,5.699
"Mexico",2009,6.13
"Mexico",2010,5.737
"Mexico",2011,5.519
"Mexico",2012,5.665
"Mexico",2013,5.809
"Mexico",2014,5.553
"Mexico",2015,5.723
"Mexico",2016,5.553
"Mexico",2017,5.458
"Mexico",2018,5.379
"Mexico",2019,5.433
"Mexico",2020,6.211
"Netherlands",1972,5.585
"Netherlands",1973,5.659
"Netherlands",1974,5.702
"Netherlands",1975,6.183
"Netherlands",1976,6.132
"Netherlands",1977,6.246
"Netherlands",1978,6.342
"Netherlands",1979,6.46
"Netherlands",1980,6.514
"Netherlands",1981,6.604
"Netherlands",1982,6.829
"Netherlands",1983,6.829
"Netherlands",1984,6.555
"Netherlands",1985,6.544
"Netherlands",1986,6.63
"Netherlands",1987,6.738
"Netherlands",1988,6.667
"Netherlands",1989,6.834
"Netherlands",1990,6.992
"Netherlands",1991,7.169
"Netherlands",1992,7.376
"Netherlands",1993,7.476
"Netherlands",1994,7.359
"Netherlands",1995,7.27
"Netherlands",1996,7.213
"Netherlands",1997,7.026
"Netherlands",1998,7.796
"Netherlands",1999,7.825
"Netherlands",2000,7.707
"Netherlands",2001,8.059
"Netherlands",2002,8.649
"Netherlands",2003,9.057
"Netherlands",2004,9.111
"Netherlands",2005,9.097
"Netherlands",2006,9.081
"Netherlands",2007,9.053
"Netherlands",2008,9.277
"Netherlands",2009,9.993
"Netherlands",2010,10.155
"Netherlands",2011,10.234
"Netherlands",2012,10.539
"Netherlands",2013,10.584
"Netherlands",2014,10.567
"Netherlands",2015,10.324
"Netherlands",2016,10.294
"Netherlands",2017,10.108
"Netherlands",2018,10.032
"Netherlands",2019,10.165
"Netherlands",2020,11.218
"New Zealand",1970,5.073
"New Zealand",1971,5.106
"New Zealand",1972,5.145
"New Zealand",1973,5.358
"New Zealand",1974,5.984
"New Zealand",1975,6.533
"New Zealand",1976,6.058
"New Zealand",1977,6.335
"New Zealand",1978,6.768
"New Zealand",1979,6.281
"New Zealand",1980,5.739
"New Zealand",1981,5.66
"New Zealand",1982,5.802
"New Zealand",1983,5.65
"New Zealand",1984,5.37
"New Zealand",1985,4.937
"New Zealand",1986,5.037
"New Zealand",1987,5.57
"New Zealand",1988,6.129
"New Zealand",1989,6.275
"New Zealand",1990,6.668
"New Zealand",1991,7.1
"New Zealand",1992,7.228
"New Zealand",1993,6.925
"New Zealand",1994,6.934
"New Zealand",1995,6.948
"New Zealand",1996,6.891
"New Zealand",1997,7.098
"New Zealand",1998,7.513
"New Zealand",1999,7.397
"New Zealand",2000,7.47
"New Zealand",2001,7.579
"New Zealand",2002,7.9
"New Zealand",2003,7.722
"New Zealand",2004,7.901
"New Zealand",2005,8.273
"New Zealand",2006,8.638
"New Zealand",2007,8.329
"New Zealand",2008,9.124
"New Zealand",2009,9.621
"New Zealand",2010,9.593
"New Zealand",2011,9.52
"New Zealand",2012,9.652
"New Zealand",2013,9.36
"New Zealand",2014,9.402
"New Zealand",2015,9.283
"New Zealand",2016,9.239
"New Zealand",2017,8.953
"New Zealand",2018,9.024
"New Zealand",2019,9.069
"Norway",1970,3.993
"Norway",1971,4.263
"Norway",1972,4.637
"Norway",1973,4.788
"Norway",1974,4.788
"Norway",1975,5.194
"Norway",1976,5.324
"Norway",1977,5.547
"Norway",1978,6.093
"Norway",1979,5.569
"Norway",1980,5.41
"Norway",1981,5.44
"Norway",1982,5.64
"Norway",1983,5.822
"Norway",1984,5.479
"Norway",1985,5.477
"Norway",1986,5.918
"Norway",1987,6.154
"Norway",1988,6.291
"Norway",1989,6.118
"Norway",1990,7.075
"Norway",1991,7.35
"Norway",1992,7.501
"Norway",1993,7.38
"Norway",1994,7.293
"Norway",1995,7.273
"Norway",1996,7.189
"Norway",1997,7.743
"Norway",1998,8.427
"Norway",1999,8.436
"Norway",2000,7.712
"Norway",2001,8.022
"Norway",2002,9.001
"Norway",2003,9.215
"Norway",2004,8.821
"Norway",2005,8.328
"Norway",2006,7.913
"Norway",2007,8.051
"Norway",2008,7.961
"Norway",2009,9.074
"Norway",2010,8.906
"Norway",2011,8.789
"Norway",2012,8.778
"Norway",2013,8.93
"Norway",2014,9.345
"Norway",2015,10.131
"Norway",2016,10.591
"Norway",2017,10.316
"Norway",2018,10.024
"Norway",2019,10.521
"Norway",2020,11.344
"Poland",1990,4.328
"Poland",1991,4.79
"Poland",1992,5.017
"Poland",1993,5.116
"Poland",1994,4.999
"Poland",1995,4.918
"Poland",1996,5.234
"Poland",1997,5.099
"Poland",1998,5.022
"Poland",1999,5.456
"Poland",2000,5.288
"Poland",2001,5.667
"Poland",2002,6.067
"Poland",2003,5.954
"Poland",2004,5.868
"Poland",2005,5.807
"Poland",2006,5.803
"Poland",2007,5.873
"Poland",2008,6.376
"Poland",2009,6.588
"Poland",2010,6.412
"Poland",2011,6.24
"Poland",2012,6.224
"Poland",2013,6.415
"Poland",2014,6.28
"Poland",2015,6.395
"Poland",2016,6.535
"Poland",2017,6.56
"Poland",2018,6.328
"Poland",2019,6.462
"Poland",2020,7.15
"Portugal",1970,2.261
"Portugal",1971,2.422
"Portugal",1972,2.988
"Portugal",1973,3.232
"Portugal",1974,3.456
"Portugal",1975,4.731
"Portugal",1976,4.579
"Portugal",1977,4.086
"Portugal",1978,4.214
"Portugal",1979,4.095
"Portugal",1980,4.789
"Portugal",1981,5.024
"Portugal",1982,5.085
"Portugal",1983,4.824
"Portugal",1984,4.95
"Portugal",1985,5.368
"Portugal",1986,5.932
"Portugal",1987,5.769
"Portugal",1988,6.009
"Portugal",1989,5.538
"Portugal",1990,5.516
"Portugal",1991,6.039
"Portugal",1992,6.187
"Portugal",1993,6.453
"Portugal",1994,6.427
"Portugal",1995,7.2
"Portugal",1996,7.452
"Portugal",1997,7.414
"Portugal",1998,7.383
"Portugal",1999,7.622
"Portugal",2000,8.601
"Portugal",2001,8.628
"Portugal",2002,8.786
"Portugal",2003,9.124
"Portugal",2004,9.533
"Portugal",2005,9.653
"Portugal",2006,9.354
"Portugal",2007,9.252
"Portugal",2008,9.583
"Portugal",2009,10.131
"Portugal",2010,10.033
"Portugal",2011,9.731
"Portugal",2012,9.654
"Portugal",2013,9.405
"Portugal",2014,9.343
