country,year,region,PIP: Top 1pc share – all observations,WID: Top 1pc share – pretax – all observations,PIP: Top 1pc share – only matching observations,WID: Top 1pc share – pretax – only matching observations
Albania,1996,EE & CA,3.27914699000027,8.14,3.27914699000027,8.14
Albania,2015,EE & CA,3.91395232866633,9.62,3.91395232866633,9.62
Angola,1995,SS Africa,,21.98,,
Angola,2018,SS Africa,,25.98,,
Argentina,1993,LAC,7.50358048693691,13.98,7.50358048693691,13.98
Argentina,2015,LAC,,15.6,,15.6
Argentina,2016,LAC,6.17665211179959,,6.17665211179959,
Armenia,1996,EE & CA,9.99062323430586,18.97,9.99062323430586,18.97
Armenia,2015,EE & CA,6.36207207789318,15.04,6.36207207789318,15.04
Australia,1993,W. Offshoots,,8.16,,8.16
Australia,1995,W. Offshoots,4.57024421203998,,4.57024421203998,
Australia,2015,W. Offshoots,,11.82,,11.82
Australia,2016,W. Offshoots,5.65783112396257,,5.65783112396257,
Austria,1994,W. Europe,4.70457090110135,,,
Austria,2015,W. Europe,5.23138555819697,,,
Bahrain,1995,MENA,,20.83,,
Bahrain,2015,MENA,,24.34,,
Bangladesh,1991,S & SE Asia,4.70635074384799,12.58,4.70635074384799,12.58
Bangladesh,2016,S & SE Asia,6.406799370837719,16.150000000000002,6.406799370837719,16.150000000000002
Belarus,1993,EE & CA,2.9567625993747,8.66,2.9567625993747,8.66
Belarus,2015,EE & CA,3.50538289250446,9.03,3.50538289250446,9.03
Belgium,1992,W. Europe,3.21333727026496,,3.21333727026496,
Belgium,1993,W. Europe,,7.56,,7.56
Belgium,2015,W. Europe,4.3773745187897,8.48,4.3773745187897,8.48
Bolivia,1992,LAC,10.66956512781969,,,
Bolivia,2015,LAC,9.6960070200893,,,
Bosnia and Herzegovina,1990,EE & CA,,6.4,,
Bosnia and Herzegovina,2015,EE & CA,,9.86,,
Botswana,1993,SS Africa,24.0511644258452,36.08,24.0511644258452,36.08
Botswana,2015,SS Africa,12.291384682700633,22.74,12.291384682700633,22.74
Brazil,1993,LAC,15.10398642343517,23.74,15.10398642343517,23.74
Brazil,2015,LAC,10.74483815577829,22.75,10.74483815577829,22.75
Bulgaria,1992,EE & CA,4.70559790379763,,4.70559790379763,
Bulgaria,1993,EE & CA,,10.47,,10.47
Bulgaria,2015,EE & CA,6.950027604714499,14.26,6.950027604714499,14.26
Burkina Faso,1994,SS Africa,11.18406288779953,21.27,11.18406288779953,21.27
Burkina Faso,2014,SS Africa,6.831744254294351,14.56,6.831744254294351,14.56
Burundi,1992,SS Africa,5.03113987146942,12.53,5.03113987146942,12.53
Burundi,2013,SS Africa,7.064598904855051,14.74,7.064598904855051,14.74
Cameroon,1996,SS Africa,9.48708104825986,18.49,9.48708104825986,18.49
Cameroon,2014,SS Africa,7.98931024160091,15.85,7.98931024160091,15.85
Canada,1993,W. Offshoots,,10.61,,10.61
Canada,1994,W. Offshoots,4.0898021713884205,,4.0898021713884205,
Canada,2015,W. Offshoots,4.85988070085998,15.7,4.85988070085998,15.7
Chile,1992,LAC,14.13865380236505,,,
Chile,2015,LAC,9.19542247945916,,,
China,1993,East Asia,,9.29,,
China,2015,East Asia,,14.000000000000002,,
Colombia,1992,LAC,9.82709025013761,,9.82709025013761,
Colombia,1993,LAC,,19.93,,19.93
Colombia,2015,LAC,11.12603171152787,16.48,11.12603171152787,16.48
Comoros,1995,SS Africa,,29.13,,
Comoros,2014,SS Africa,,14.15,,
Costa Rica,1993,LAC,7.45828431677929,,,
Costa Rica,2015,LAC,8.06751219070822,,,
Cote d'Ivoire,1992,SS Africa,6.00489645263402,,6.00489645263402,
Cote d'Ivoire,1993,SS Africa,,15.22,,15.22
Cote d'Ivoire,2015,SS Africa,7.23729217497536,17.21,7.23729217497536,17.21
Cyprus,1990,EE & CA,,11.57,,
Cyprus,2015,EE & CA,,11.52,,
Czechia,1992,EE & CA,,8.95,,8.95
Czechia,1993,EE & CA,5.11104779673359,,5.11104779673359,
Czechia,2015,EE & CA,4.52147751531937,11.39,4.52147751531937,11.39
Denmark,1992,W. Europe,4.1493010351910495,,4.1493010351910495,
Denmark,1993,W. Europe,,8.43,,8.43
Denmark,2015,W. Europe,6.89826704929062,12.95,6.89826704929062,12.95
Dominican Republic,1992,LAC,16.47575312829411,,,
Dominican Republic,2015,LAC,8.799095659388941,,,
Ecuador,1994,LAC,12.865414766013918,,,
Ecuador,2015,LAC,8.80923106768838,,,
Egypt,1993,MENA,,16.29,,16.29
Egypt,1995,MENA,6.462508711686669,,6.462508711686669,
