country,year,region,PIP: Top 1pc share – all observations,WID: Top 1pc share – pretax – all observations,PIP: Top 1pc share – only matching observations,WID: Top 1pc share – pretax – only matching observations
Argentina,1980,LAC,,13.98,,
Argentina,2018,LAC,,14.499999999999998,,
Australia,1980,W. Offshoots,,5.800000000000001,,5.800000000000001
Australia,1981,W. Offshoots,3.610855096747681,,3.610855096747681,
Australia,2018,W. Offshoots,6.35645567193189,11.23,6.35645567193189,11.23
Bangladesh,1983,S & SE Asia,3.81305074489213,11.64,3.81305074489213,11.64
Bangladesh,2016,S & SE Asia,6.406799370837719,16.150000000000002,6.406799370837719,16.150000000000002
Belgium,1985,W. Europe,3.5021789294381898,7.5,3.5021789294381898,7.5
Belgium,2017,W. Europe,,8.5,,8.5
Belgium,2018,W. Europe,4.866594579833531,,4.866594579833531,
Bosnia and Herzegovina,1980,EE & CA,,6.9,,
Bosnia and Herzegovina,2015,EE & CA,,9.86,,
Botswana,1985,SS Africa,13.39880766755918,21.8,13.39880766755918,21.8
Botswana,2015,SS Africa,12.291384682700633,22.74,12.291384682700633,22.74
Brazil,1980,LAC,,23.74,,23.74
Brazil,1981,LAC,12.47653868998215,,12.47653868998215,
Brazil,2018,LAC,11.68311560705175,20.68,11.68311560705175,20.68
Bulgaria,1980,EE & CA,,3.29,,
Bulgaria,2018,EE & CA,,19.06,,
Canada,1980,W. Offshoots,,9.66,,9.66
Canada,1981,W. Offshoots,4.1491715245873095,,4.1491715245873095,
Canada,2017,W. Offshoots,5.02244707022162,,5.02244707022162,
Canada,2018,W. Offshoots,,13.95,,13.95
China,1980,East Asia,,6.569999999999999,,
China,2016,East Asia,,14.05,,
Colombia,1980,LAC,,19.93,,
Colombia,2018,LAC,,17.669999999999998,,
Costa Rica,1981,LAC,6.01449684369295,,,
Costa Rica,2018,LAC,8.3111916814702,,,
Cote d'Ivoire,1985,SS Africa,9.90953940594714,21.03,9.90953940594714,21.03
Cote d'Ivoire,2015,SS Africa,,17.21,,17.21
Cote d'Ivoire,2018,SS Africa,5.89583124047849,,5.89583124047849,
Croatia,1984,EE & CA,,4.17,,
Croatia,2018,EE & CA,,9.83,,
Czechia,1980,EE & CA,,2.56,,
Czechia,2018,EE & CA,,10.32,,
Denmark,1980,W. Europe,,6.9,,
Denmark,2017,W. Europe,,12.75,,
Egypt,1980,MENA,,15.95,,
Egypt,2016,MENA,,19.76,,
Ethiopia,1981,SS Africa,,14.9,,
Ethiopia,2015,SS Africa,,13.82,,
Finland,1980,W. Europe,,6.41,,
Finland,2017,W. Europe,,10.61,,
France,1980,W. Europe,,8.33,,8.33
France,1984,W. Europe,7.84139823714491,,7.84139823714491,
France,2018,W. Europe,7.194184023314031,9.73,7.194184023314031,9.73
Germany,1980,W. Europe,,9.84,,
Germany,2017,W. Europe,,13.19,,
Greece,1980,W. Europe,,9.91,,
Greece,2017,W. Europe,,11.0,,
Hong Kong,1981,East Asia,,13.33,,
Hong Kong,2016,East Asia,,17.849999999999998,,
Hungary,1980,EE & CA,,2.87,,
Hungary,2018,EE & CA,,10.97,,
Iceland,1980,W. Europe,,7.68,,
Iceland,2016,W. Europe,,8.55,,
India,1980,S & SE Asia,,7.539999999999999,,
India,2013,S & SE Asia,,22.0,,
Indonesia,1980,S & SE Asia,,14.79,,
Indonesia,2017,S & SE Asia,,15.53,,
Ireland,1980,W. Europe,,9.03,,
Ireland,2018,W. Europe,,12.45,,
Israel,1979,MENA,6.37893063483795,17.349999999999998,6.37893063483795,17.349999999999998
Israel,2016,MENA,,16.04,,16.04
Israel,2018,MENA,5.55583309412678,,5.55583309412678,
Italy,1980,W. Europe,,6.03,,
