"","varname","description"
"1","Entity","The name of the entity to which the row relates. Two types of entity are included in this dataset:

1) Countries, whose names have been standardized to a common set of country names used across Our World in Data 
2) Regional aggregates provided as standard within the PIP data according to World Bank region definitions."
"2","Year","The following description is adapted from PIP Methodology Handbook: 

Within the PIP data, observations are alocated two different year variables: Year and Survey Year. 

If all fieldwork for a survey took place during one calendar year, and relate to the consumption or income of that year, Year and Survey year are both equal to this calendar year.

When household surveys span two calendar years, the Survey year noted in the PIP data is not an integer. The Gambia, for example, has a Survey year of 2015.31. This means that 69% of the fieldwork for this particular survey took place in 2015 while 31% of the fieldwork months took place in 2016. In these cases, Year is the floor of Survey year (i.e. Survey year always rounded down)."
"3","welfare_type","Indicates whether the survey data relates to household income or consumption expenditure."
"4","survey_year","The following description is adapted from PIP Methodology Handbook:

Within the PIP data, observations are alocated two different year variables: Year and Survey Year. 

If all fieldwork for a survey took place during one calendar year, and relate to the consumption or income of that year, Year and Survey year are both equal to this calendar year. When household surveys span two calendar years, the Survey year noted in the PIP data is not an integer. The Gambia, for example, has a Survey year of 2015.31. This means that 69% of the fieldwork for this particular survey took place in 2015 while 31% of the fieldwork months took place in 2016. In these cases, Year is the floor of Survey year (i.e. Survey year always rounded down). 

This Survey year variable is used by the World Bank for the purposes of 'linining up' the different country-level estimates in order to calculate regional aggregates."
"5","survey_comparability","A variable produced by the World Bank that codes more comparable spells of survey data over time within individual countries. A change in the spell group number indicates a break in survey comparability.

The following description is adapted from PIP Methodology Handbook:

As countries frequently improve the questionnaire design of household surveys and the methodology for the construction of welfare aggregates, poverty estimates over time for a country are not always comparable to each other.

In order to guide users about when poverty can be compared over time within a country, [the PIP database includes a 'Comparability over time' variable]. Within a country, comparability of poverty estimates over time is assumed unless there is a known change to the survey instrument, survey methodology, measurement, or data structure. The assessment of comparability is country-dependent and relies on the accumulation of knowledge from past and current World Bank staff, as well as close dialogue with national data producers with knowledge of survey design and methodology. The complete documentation of this dataset is available in Atamanov et al. (2019).

Atamanov, Aziz, R. Andres Castaneda Aguilar, Carolina Diaz-Bonilla, Dean Jolliffe, Christoph Lakner, Daniel Gerszon Mahler, Jose Montes, et al. 2019. “September 2019 PovcalNet Update: What’s New.” Global Poverty Monitoring Technical Note 10. https://openknowledge.worldbank.org/handle/10986/32478."
"6","headcount_ratio_100","% of population living in households with an expenditure per person below $1 a day"
"7","headcount_ratio_215","% of population living in households with an expenditure per person below $2.15 a day"
"8","headcount_ratio_365","% of population living in households with an expenditure per person below $3.65 a day"
"9","headcount_ratio_685","% of population living in households with an expenditure per person below $6.85 a day"
"10","headcount_ratio_1000","% of population living in households with an expenditure per person below $10 a day"
"11","headcount_ratio_2000","% of population living in households with an expenditure per person below $20 a day"
"12","headcount_ratio_2435","% of population living in households with an expenditure per person below $24.35 a day"
"13","headcount_ratio_3000","% of population living in households with an expenditure per person below $30 a day"
"14","headcount_ratio_4000","% of population living in households with an expenditure per person below $40 a day"
"15","headcount_ratio_40_median","% of population living in households with an expenditure per person below 40% of the median"
"16","headcount_ratio_50_median","% of population living in households with an expenditure per person below 50% of the median"
"17","headcount_ratio_60_median","% of population living in households with an expenditure per person below 60% of the median"
"18","headcount_100","Number of people living in households with an expenditure per person below $1 a day"
"19","headcount_215","Number of people living in households with an expenditure per person below $2.15 a day"
"20","headcount_365","Number of people living in households with an expenditure per person below $3.65 a day"
"21","headcount_685","Number of people living in households with an expenditure per person below $6.85 a day"
"22","headcount_1000","Number of people living in households with an expenditure per person below $10 a day"
"23","headcount_2000","Number of people living in households with an expenditure per person below $20 a day"
"24","headcount_2435","Number of people living in households with an expenditure per person below $24.35 a day"
"25","headcount_3000","Number of people living in households with an expenditure per person below $30 a day"
"26","headcount_4000","Number of people living in households with an expenditure per person below $40 a day"
"27","headcount_40_median","Number of people living in households with an expenditure per person below 40% of the median"
"28","headcount_50_median","Number of people living in households with an expenditure per person below 50% of the median"
"29","headcount_60_median","Number of people living in households with an expenditure per person below 60% of the median"
"30","avg_shortfall_100","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"31","avg_shortfall_215","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"32","avg_shortfall_365","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"33","avg_shortfall_685","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"34","avg_shortfall_1000","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"35","avg_shortfall_2000","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"36","avg_shortfall_2435","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"37","avg_shortfall_3000","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"38","avg_shortfall_4000","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"39","avg_shortfall_40_median","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"40","avg_shortfall_50_median","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"41","avg_shortfall_60_median","The average shortfall from the poverty line per day (averaged across the population in poverty)."
"42","total_shortfall_100","The total shortfall from a poverty line of $1 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
"43","total_shortfall_215","The total shortfall from a poverty line of $2.15 a day.

This is the amount of money that would be theoretically needed to lift the expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
