Entity,Year,Number of people living in extreme poverty - by world region
East Asia and Pacific,1990,1089568630.0
East Asia and Pacific,1991,1075560868.0
East Asia and Pacific,1992,1048138076.0
East Asia and Pacific,1993,1013435821.0
East Asia and Pacific,1994,951280107.0
East Asia and Pacific,1995,890912957.0
East Asia and Pacific,1996,833996793.0
East Asia and Pacific,1997,839083440.0
East Asia and Pacific,1998,865860522.0
East Asia and Pacific,1999,812889497.0
East Asia and Pacific,2000,761118007.0
East Asia and Pacific,2001,725648758.0
East Asia and Pacific,2002,656530510.0
East Asia and Pacific,2003,598362179.0
East Asia and Pacific,2004,531194733.0
East Asia and Pacific,2005,445613670.0
East Asia and Pacific,2006,436928175.0
East Asia and Pacific,2007,391159034.0
East Asia and Pacific,2008,371201912.0
East Asia and Pacific,2009,332390025.0
East Asia and Pacific,2010,285879727.0
East Asia and Pacific,2011,228119587.0
East Asia and Pacific,2012,196857411.0
East Asia and Pacific,2013,107715530.0
East Asia and Pacific,2014,88003322.0
East Asia and Pacific,2015,68006597.0
East Asia and Pacific,2016,57929132.0
East Asia and Pacific,2017,50255031.0
East Asia and Pacific,2018,40806585.0
East Asia and Pacific,2019,31663490.0
Europe and Central Asia,1990,15504426.0
Europe and Central Asia,1991,18477527.0
Europe and Central Asia,1992,26651277.0
Europe and Central Asia,1993,32174157.0
Europe and Central Asia,1994,41752190.0
Europe and Central Asia,1995,41015239.0
Europe and Central Asia,1996,41045241.0
Europe and Central Asia,1997,35853627.0
Europe and Central Asia,1998,36155911.0
Europe and Central Asia,1999,48127407.0
Europe and Central Asia,2000,44354133.0
Europe and Central Asia,2001,39655384.0
Europe and Central Asia,2002,34746341.0
Europe and Central Asia,2003,34320065.0
Europe and Central Asia,2004,28972781.0
Europe and Central Asia,2005,27927781.0
Europe and Central Asia,2006,23614029.0
Europe and Central Asia,2007,20099016.0
Europe and Central Asia,2008,16557008.0
Europe and Central Asia,2009,15608450.0
Europe and Central Asia,2010,15287730.0
Europe and Central Asia,2011,13577700.0
Europe and Central Asia,2012,12735448.0
Europe and Central Asia,2013,10778252.0
Europe and Central Asia,2014,11842692.0
Europe and Central Asia,2015,10327486.0
Europe and Central Asia,2016,8797687.0
Europe and Central Asia,2017,9006786.0
Europe and Central Asia,2018,7106858.0
Europe and Central Asia,2019,7170845.0
High income countries,1990,4130216.0
High income countries,1991,4133505.0
High income countries,1992,4461038.0
High income countries,1993,4818479.0
High income countries,1994,5310931.0
High income countries,1995,4655984.0
High income countries,1996,5205710.0
High income countries,1997,5214119.0
High income countries,1998,5298383.0
High income countries,1999,4994969.0
High income countries,2000,4727408.0
High income countries,2001,5539318.0
High income countries,2002,4919756.0
High income countries,2003,5960064.0
High income countries,2004,5733469.0
High income countries,2005,5813839.0
High income countries,2006,5360219.0
High income countries,2007,5257759.0
High income countries,2008,5388947.0
High income countries,2009,5540845.0
High income countries,2010,5488136.0
High income countries,2011,6101240.0
High income countries,2012,6324355.0
High income countries,2013,6960029.0
High income countries,2014,7533817.0
High income countries,2015,8194319.0
High income countries,2016,7057452.0
High income countries,2017,7802028.0
High income countries,2018,6842739.0
High income countries,2019,6866715.0
Latin America and the Caribbean,1990,79669167.0
Latin America and the Caribbean,1991,77304705.0
Latin America and the Caribbean,1992,79051718.0
Latin America and the Caribbean,1993,80134017.0
Latin America and the Caribbean,1994,75143452.0
Latin America and the Caribbean,1995,77808130.0
Latin America and the Caribbean,1996,87308606.0
Latin America and the Caribbean,1997,84183479.0
Latin America and the Caribbean,1998,80831954.0
Latin America and the Caribbean,1999,83428797.0
Latin America and the Caribbean,2000,77859021.0
Latin America and the Caribbean,2001,78115741.0
Latin America and the Caribbean,2002,75572152.0
Latin America and the Caribbean,2003,73656831.0
Latin America and the Caribbean,2004,67862071.0
Latin America and the Caribbean,2005,64837735.0
Latin America and the Caribbean,2006,53625225.0
Latin America and the Caribbean,2007,51901299.0
Latin America and the Caribbean,2008,49029121.0
Latin America and the Caribbean,2009,46726603.0
Latin America and the Caribbean,2010,42939959.0
Latin America and the Caribbean,2011,40228410.0
Latin America and the Caribbean,2012,35163946.0
Latin America and the Caribbean,2013,32218442.0
Latin America and the Caribbean,2014,30744647.0
Latin America and the Caribbean,2015,30429731.0
Latin America and the Caribbean,2016,31984269.0
Latin America and the Caribbean,2017,31935639.0
Latin America and the Caribbean,2018,31831909.0
Latin America and the Caribbean,2019,32444501.0
Middle East and North Africa,1990,22235393.0
Middle East and North Africa,1991,32521408.0
Middle East and North Africa,1992,28626489.0
Middle East and North Africa,1993,25279841.0
Middle East and North Africa,1994,25097498.0
Middle East and North Africa,1995,26631677.0
Middle East and North Africa,1996,24635335.0
Middle East and North Africa,1997,22026787.0
Middle East and North Africa,1998,18310060.0
Middle East and North Africa,1999,16899137.0
Middle East and North Africa,2000,15509038.0
Middle East and North Africa,2001,15951229.0
Middle East and North Africa,2002,16057659.0
Middle East and North Africa,2003,20356730.0
Middle East and North Africa,2004,16550079.0
Middle East and North Africa,2005,15723302.0
Middle East and North Africa,2006,15302630.0
Middle East and North Africa,2007,14917406.0
Middle East and North Africa,2008,14554940.0
Middle East and North Africa,2009,13553342.0
Middle East and North Africa,2010,11567844.0
Middle East and North Africa,2011,12252499.0
Middle East and North Africa,2012,11800355.0
Middle East and North Africa,2013,12401305.0
Middle East and North Africa,2014,14538578.0
Middle East and North Africa,2015,23752472.0
Middle East and North Africa,2016,26632314.0
Middle East and North Africa,2017,29761190.0
Middle East and North Africa,2018,36915110.0
Middle East and North Africa,2019,40263700.0
South Asia,1990,670497252.0
