Entity,Year,daily_caloric_supply
Algeria,1947,1279
Algeria,1948,1421
Argentina,1947,3188
Argentina,1948,3191
Australia,1947,3262
Australia,1948,3265
Austria,1947,2397
Austria,1948,2698
Belgium,1800,2840
Belgium,1812,2248
Belgium,1846,2238.5
Belgium,1850,2423
Belgium,1860,2426
Belgium,1870,2553
Belgium,1880,2663
Belgium,1890,2851
Belgium,1900,2987
Belgium,1910,3278
Belgium,1930,2940
Belgium,1947,2667
Belgium,1948,2760
Brazil,1934,2150
Brazil,1946,2340
Brazil,1947,2245
Burma,1947,1986
Burma,1948,1877
Cambodia,1934,1850
Cambodia,1946,1560
Canada,1947,3161
Canada,1948,3141
Chile,1947,2352
Chile,1948,2356
China,1934,2230
China,1946,2030
China,1947,2115
China,1952,1861
China,1953,1879
China,1954,1895
China,1955,2005
China,1956,2051
China,1957,2045
China,1958,2053
China,1959,1722
China,1960,1453
Colombia,1947,1950
Cuba,1947,2682
Cuba,1948,2814
Czechoslovakia,1947,2402
Czechoslovakia,1948,2656
Denmark,1947,3125
Denmark,1948,3206
Egypt,1947,2364
Egypt,1948,2458
El Salvador,1947,1557
Ethiopia,1947,1770
Finland,1860,1900
Finland,1910,3000
Finland,1930,2950
Finland,1947,2617
Finland,1948,2851
France,1705,1657
France,1800,1846
France,1820,1984
France,1830,2118
France,1840,2377
France,1850,2840
France,1860,2854
France,1870,3085
France,1880,3085
France,1890,3220
France,1900,3192
France,1910,3323
France,1920,3133
France,1947,2357
France,1948,2667
Germany,1800,2210
Germany,1860,2120
Germany,1947,2189
Germany,1948,2543
Greece,1947,2266
Greece,1948,2358
Hungary,1947,2432
Iceland,1820,2887
Iceland,1840,3080
Iceland,1850,3381
Iceland,1870,2573
Iceland,1880,3002
Iceland,1890,3106
Iceland,1900,3316
Iceland,1910,3499
Iceland,1947,3268
India,1934,1970
India,1946,1700
India,1947,1685
India,1948,1570
Ireland,1947,3260
Ireland,1948,3276
Italy,1870,2647
Italy,1880,2197
Italy,1890,2119
Italy,1910,2617
Italy,1930,2627
Italy,1947,2249
Italy,1948,2398
Japan,1947,1670
Japan,1948,1795
Kenya,1934,2230
Luxembourg,1947,2693
Luxembourg,1948,2878
Madagascar,1947,2074
Mexico,1934,1800
Mexico,1946,2050
Mexico,1947,2032
Mexico,1948,2101
Morocco,1947,1837
Morocco,1948,1825
Netherlands,1860,2227
Netherlands,1880,2493
Netherlands,1900,2721
Netherlands,1947,2856
New Zealand,1947,3286
New Zealand,1948,3259
Norway,1810,1800
Norway,1840,2250
Norway,1860,3300
Norway,1947,2899
Norway,1948,3051
Pakistan,1947,1685
Peru,1934,1860
Peru,1946,1920
Peru,1947,1925
Peru,1948,2219
Philippines,1947,1770
Poland,1947,2363
Poland,1948,2625
Portugal,1947,2279
Portugal,1948,2184
South Africa,1947,2422
South Africa,1948,2517
South Asia,1934,1970
South Asia,1946,1770
Spain,1947,2180
Spain,1948,2377
Sub-Saharan Africa,1934,2060
Sub-Saharan Africa,1946,2080
Sweden,1947,2871
Sweden,1948,3108
Switzerland,1947,3050
Switzerland,1948,2996
Thailand,1947,2110
Thailand,1948,2020
Tunisia,1947,1498
Tunisia,1948,1545
Turkey,1947,2173
Turkey,1948,2506
Uganda,1946,2100
United Kingdom,1270,1531
United Kingdom,1300,1381
United Kingdom,1310,1334
United Kingdom,1380,2042
United Kingdom,1420,1760
United Kingdom,1450,1823
United Kingdom,1600,1877
United Kingdom,1700,2229
United Kingdom,1750,2237
United Kingdom,1800,2436
United Kingdom,1850,2512
United Kingdom,1880,2773
United Kingdom,1910,2977
United Kingdom,1930,2810
United Kingdom,1940,3060
United Kingdom,1947,2968
United Kingdom,1948,3084
United Kingdom,1950,3120
United States,1800,2952
United States,1810,2935
United States,1820,2904
United States,1830,2888
United States,1840,3013
United States,1850,2585
United States,1860,2826
United States,1870,3029
United States,1880,3237
United States,1890,3134
United States,1900,3212
United States,1910,3068
United States,1920,3259
United States,1930,3400
United States,1940,3300
United States,1947,3244
United States,1948,3186
United States,1950,3200
Uruguay,1947,2490
Uruguay,1948,2529
Yugoslavia,1947,2144
