"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	128	9097744	1.4
	"< 1 year"	"0"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	124	9516132	1.3
	"< 1 year"	"0"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	12	9097744	Unreliable
	"< 1 year"	"0"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	32	9097744	0.4
	"< 1 year"	"0"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	30	9516132	0.3
	"< 1 year"	"0"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	48	9097744	0.5
	"< 1 year"	"0"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	29	9516132	0.3
	"< 1 year"	"0"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	48	9097744	0.5
	"< 1 year"	"0"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	28	9516132	0.3
	"< 1 year"	"0"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	30	9097744	0.3
	"< 1 year"	"0"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	50	9516132	0.5
	"< 1 year"	"0"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	95	9097744	1.0
	"< 1 year"	"0"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	85	9516132	0.9
	"1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	139	9193561	1.5
	"1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	169	9614575	1.8
	"1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	20	9614575	0.2
	"1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	10	9614575	Unreliable
	"1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	25	9193561	0.3
	"1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	28	9614575	0.3
	"1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	63	9193561	0.7
	"1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	68	9614575	0.7
	"1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	62	9193561	0.7
	"1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	66	9614575	0.7
	"1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	45	9193561	0.5
	"1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	40	9614575	0.4
	"1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	31	9193561	0.3
	"1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	33	9614575	0.3
	"2 years"	"2"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	180	9401027	1.9
	"2 years"	"2"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	178	9826269	1.8
	"2 years"	"2"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	10	9401027	Unreliable
	"2 years"	"2"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	11	9401027	Unreliable
	"2 years"	"2"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	23	9401027	0.2
	"2 years"	"2"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	22	9826269	0.2
	"2 years"	"2"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	75	9401027	0.8
	"2 years"	"2"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	70	9826269	0.7
	"2 years"	"2"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	72	9401027	0.8
	"2 years"	"2"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	66	9826269	0.7
	"2 years"	"2"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	61	9401027	0.6
	"2 years"	"2"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	69	9826269	0.7
	"2 years"	"2"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	31	9401027	0.3
	"2 years"	"2"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	28	9826269	0.3
	"3 years"	"3"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	179	9561329	1.9
	"3 years"	"3"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	218	9995003	2.2
	"3 years"	"3"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	11	9995003	Unreliable
	"3 years"	"3"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	37	9561329	0.4
	"3 years"	"3"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	53	9995003	0.5
	"3 years"	"3"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	51	9561329	0.5
	"3 years"	"3"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	64	9995003	0.6
