"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	252	18613876	1.4
	"< 1 year"	"0"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	20	18613876	0.1
	"< 1 year"	"0"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	62	18613876	0.3
	"< 1 year"	"0"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	77	18613876	0.4
	"< 1 year"	"0"	"Leukemia (C91-C95)"	"GR113-040"	76	18613876	0.4
	"< 1 year"	"0"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	80	18613876	0.4
	"< 1 year"	"0"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	180	18613876	1.0
	"1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	308	18808136	1.6
	"1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	24	18808136	0.1
	"1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	11	18808136	Unreliable
	"1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	53	18808136	0.3
	"1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	131	18808136	0.7
	"1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	128	18808136	0.7
	"1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	85	18808136	0.5
