entity,year,cVDPV1,cVDPV2,cVDPV3,total_cVDPV,wild_polio_cases,non_polio_afp_rate,percent_adequate_stool_collection,total_polio,correction_factor,estimated_polio_cases,wild_polio_cases_per_million,cVDPV1_per_million,cVDPV2_per_million,cVDPV3_per_million,total_cVDPV_per_million,total_polio_per_million,estimated_polio_cases_per_million,polio_status,polio_surveillance_status,last_polio_case
Afghanistan,1910,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1911,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1912,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1913,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1914,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1915,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1916,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1917,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1918,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1919,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1920,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1921,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1922,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1923,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1924,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1925,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1926,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1927,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1928,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1929,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1930,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1931,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1932,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1933,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1934,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1935,,,,,,,,,,,,,,,,,,endemic,,
Afghanistan,1936,,,,,,,,,,,,,,,,,,endemic,,
