entity,year,cVDPV1,cVDPV2,cVDPV3,total_cVDPV,wild_polio_cases,non_polio_afp_rate,percent_adequate_stool_collection,total_polio,wild_polio_cases_per_million,cVDPV1_per_million,cVDPV2_per_million,cVDPV3_per_million,total_cVDPV_per_million,total_polio_per_million
Afghanistan,1980,,,,,,,,880.0,,,,,,65.886
Afghanistan,1981,,,,,,,,837.0,,,,,,63.545
Afghanistan,1982,,,,,,,,1390.0,,,,,,107.898
Afghanistan,1983,,,,,,,,1991.0,,,,,,158.801
Afghanistan,1984,,,,,,,,552.0,,,,,,45.23
Afghanistan,1985,,,,,,,,1981.0,,,,,,165.938
Afghanistan,1986,,,,,,,,1843.0,,,,,,157.036
Afghanistan,1987,,,,,,,,628.0,,,,,,54.117
Afghanistan,1988,,,,,,,,307.0,,,,,,26.424
Afghanistan,1989,,,,,,,,55.0,,,,,,4.634
Afghanistan,1990,,,,,,,,48.0,,,,,,3.867
Afghanistan,1991,,,,,,,,2.0,,,,,,0.15
Afghanistan,1992,,,,,,,,,,,,,,
Afghanistan,1993,,,,,,,,,,,,,,
Afghanistan,1994,,,,,,,,,,,,,,
Afghanistan,1995,,,,,,,,0.0,,,,,,0.0
Afghanistan,1996,,,,,,,,,,,,,,
Afghanistan,1997,,,,,,,,19.0,,,,,,0.982
Afghanistan,1998,,,,,,,,59.0,,,,,,2.989
Afghanistan,1999,,,,,,,,150.0,,,,,,7.436
Afghanistan,2000,,,,,,,,120.0,,,,,,5.775
Afghanistan,2001,,,,0.0,11.0,1.7,73.0,11.0,0.509,,,,0.0,0.509
Afghanistan,2002,,,,0.0,10.0,2.7,80.0,10.0,0.442,,,,0.0,0.442
Afghanistan,2003,,,,0.0,8.0,3.93,88.0,8.0,0.338,,,,0.0,0.338
Afghanistan,2004,,,,0.0,4.0,4.58,91.0,4.0,0.162,,,,0.0,0.162
Afghanistan,2005,,,,0.0,9.0,5.37,92.0,9.0,0.351,,,,0.0,0.351
Afghanistan,2006,,,,0.0,31.0,6.17,89.0,31.0,1.173,,,,0.0,1.173
Afghanistan,2007,,,,0.0,17.0,6.8,92.0,17.0,0.627,,,,0.0,0.627
Afghanistan,2008,,,,0.0,31.0,8.21,92.0,31.0,1.118,,,,0.0,1.118
Afghanistan,2009,,,,0.0,38.0,8.58,93.0,38.0,1.338,,,,0.0,1.338
Afghanistan,2010,,,,5.0,25.0,10.91,93.0,30.0,0.857,,,,0.171,1.028
Afghanistan,2011,,,,1.0,80.0,11.97,92.0,81.0,2.656,,,,0.033,2.689
Afghanistan,2012,,,,9.0,37.0,11.94,92.0,46.0,1.187,,,,0.289,1.476
Afghanistan,2013,,,,3.0,14.0,12.19,90.0,17.0,0.434,,,,0.093,0.527
Afghanistan,2014,,,,0.0,28.0,15.11,92.0,28.0,0.839,,,,0.0,0.839
Afghanistan,2015,,,,0.0,20.0,16.41,93.0,20.0,0.581,,,,0.0,0.581
Afghanistan,2016,0.0,0.0,0.0,0.0,13.0,17.8,92.0,13.0,0.367,0.0,0.0,0.0,0.0,0.367
Afghanistan,2017,0.0,0.0,0.0,0.0,14.0,18.97,94.0,14.0,0.386,0.0,0.0,0.0,0.0,0.386
Afghanistan,2018,0.0,0.0,0.0,0.0,21.0,20.68,94.0,21.0,0.565,0.0,0.0,0.0,0.0,0.565
Afghanistan,2019,0.0,0.0,0.0,0.0,29.0,23.03,94.0,29.0,0.762,0.0,0.0,0.0,0.0,0.762
Afghanistan,2020,0.0,308.0,0.0,308.0,56.0,21.79,92.0,364.0,1.439,0.0,7.912,0.0,7.912,9.351
Afghanistan,2021,0.0,43.0,0.0,43.0,4.0,24.91,93.0,47.0,0.1,0.0,1.079,0.0,1.079,1.18
Albania,1980,,,,,,,,1.0,,,,,,0.373
Albania,1981,,,,,,,,1.0,,,,,,0.365
Albania,1982,,,,,,,,0.0,,,,,,0.0
Albania,1983,,,,,,,,0.0,,,,,,0.0
Albania,1984,,,,,,,,0.0,,,,,,0.0
Albania,1985,,,,,,,,1.0,,,,,,0.337
Albania,1986,,,,,,,,0.0,,,,,,0.0
Albania,1987,,,,,,,,0.0,,,,,,0.0
Albania,1988,,,,,,,,0.0,,,,,,0.0
Albania,1989,,,,,,,,0.0,,,,,,0.0
Albania,1990,,,,,,,,0.0,,,,,,0.0
Albania,1991,,,,,,,,1.0,,,,,,0.305
Albania,1992,,,,,,,,0.0,,,,,,0.0
Albania,1993,,,,,,,,1.0,,,,,,0.313
Albania,1994,,,,,,,,0.0,,,,,,0.0
Albania,1995,,,,,,,,0.0,,,,,,0.0
Albania,1996,,,,,,,,138.0,,,,,,44.535
Albania,1997,,,,,,,,0.0,,,,,,0.0
Albania,1998,,,,,,,,0.0,,,,,,0.0
Albania,1999,,,,,,,,0.0,,,,,,0.0
Albania,2000,,,,,,,,0.0,,,,,,0.0
Albania,2001,,,,0.0,0.0,1.11,92.0,0.0,0.0,,,,0.0,0.0
Albania,2002,,,,0.0,0.0,1.02,100.0,0.0,0.0,,,,0.0,0.0
Albania,2003,,,,0.0,0.0,0.99,100.0,0.0,0.0,,,,0.0,0.0
Albania,2004,,,,0.0,0.0,0.9,100.0,0.0,0.0,,,,0.0,0.0
Albania,2005,,,,0.0,0.0,0.9,100.0,0.0,0.0,,,,0.0,0.0
Albania,2006,,,,0.0,0.0,0.36,100.0,0.0,0.0,,,,0.0,0.0
Albania,2007,,,,0.0,0.0,1.21,100.0,0.0,0.0,,,,0.0,0.0
Albania,2008,,,,0.0,0.0,0.48,100.0,0.0,0.0,,,,0.0,0.0
Albania,2009,,,,0.0,0.0,1.45,100.0,0.0,0.0,,,,0.0,0.0
Albania,2010,,,,0.0,0.0,1.69,100.0,0.0,0.0,,,,0.0,0.0
Albania,2011,,,,0.0,0.0,0.53,100.0,0.0,0.0,,,,0.0,0.0
Albania,2012,,,,0.0,0.0,0.79,100.0,0.0,0.0,,,,0.0,0.0
Albania,2013,,,,0.0,0.0,0.8,80.0,0.0,0.0,,,,0.0,0.0
Albania,2014,,,,0.0,0.0,0.67,100.0,0.0,0.0,,,,0.0,0.0
Albania,2015,,,,0.0,0.0,0.66,100.0,0.0,0.0,,,,0.0,0.0
Albania,2016,,,,0.0,0.0,1.07,100.0,0.0,0.0,,,,0.0,0.0
Albania,2017,,,,0.0,0.0,0.94,100.0,0.0,0.0,,,,0.0,0.0
Albania,2018,,,,0.0,0.0,0.27,100.0,0.0,0.0,,,,0.0,0.0
Albania,2019,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Albania,2020,,,,0.0,0.0,0.26,100.0,0.0,0.0,,,,0.0,0.0
Albania,2021,,,,0.0,0.0,0.13,100.0,0.0,0.0,,,,0.0,0.0
Algeria,1980,,,,,,,,116.0,,,,,,6.035
Algeria,1981,,,,,,,,114.0,,,,,,5.751
Algeria,1982,,,,,,,,71.0,,,,,,3.471
Algeria,1983,,,,,,,,132.0,,,,,,6.255
Algeria,1984,,,,,,,,108.0,,,,,,4.962
Algeria,1985,,,,,,,,66.0,,,,,,2.942
Algeria,1986,,,,,,,,29.0,,,,,,1.255
Algeria,1987,,,,,,,,35.0,,,,,,1.472
Algeria,1988,,,,,,,,9.0,,,,,,0.368
Algeria,1989,,,,,,,,18.0,,,,,,0.717
Algeria,1990,,,,,,,,2.0,,,,,,0.078
Algeria,1991,,,,,,,,0.0,,,,,,0.0
Algeria,1992,,,,,,,,1.0,,,,,,0.037
Algeria,1993,,,,,,,,1.0,,,,,,0.036
Algeria,1994,,,,,,,,4.0,,,,,,0.142
Algeria,1995,,,,,,,,4.0,,,,,,0.139
Algeria,1996,,,,,,,,7.0,,,,,,0.239
Algeria,1997,,,,,,,,0.0,,,,,,0.0
Algeria,1998,,,,,,,,0.0,,,,,,0.0
Algeria,1999,,,,,,,,10.0,,,,,,0.327
Algeria,2000,,,,,,,,0.0,,,,,,0.0
Algeria,2001,,,,0.0,1.0,1.23,98.0,1.0,0.032,,,,0.0,0.032
Algeria,2002,,,,0.0,0.0,0.8,84.0,0.0,0.0,,,,0.0,0.0
Algeria,2003,,,,0.0,0.0,0.6,67.0,0.0,0.0,,,,0.0,0.0
Algeria,2004,,,,0.0,0.0,0.8,65.0,0.0,0.0,,,,0.0,0.0
Algeria,2005,,,,0.0,0.0,0.6,85.0,0.0,0.0,,,,0.0,0.0
Algeria,2006,,,,0.0,0.0,0.7,77.0,0.0,0.0,,,,0.0,0.0
Algeria,2007,,,,0.0,0.0,1.04,76.0,0.0,0.0,,,,0.0,0.0
Algeria,2008,,,,0.0,0.0,1.01,66.0,0.0,0.0,,,,0.0,0.0
Algeria,2009,,,,0.0,0.0,1.05,60.0,0.0,0.0,,,,0.0,0.0
Algeria,2010,,,,0.0,0.0,1.3,64.0,0.0,0.0,,,,0.0,0.0
Algeria,2011,,,,0.0,0.0,1.88,62.0,0.0,0.0,,,,0.0,0.0
Algeria,2012,,,,0.0,0.0,2.15,55.0,0.0,0.0,,,,0.0,0.0
Algeria,2013,,,,0.0,0.0,1.91,50.0,0.0,0.0,,,,0.0,0.0
Algeria,2014,,,,0.0,0.0,1.86,61.0,0.0,0.0,,,,0.0,0.0
Algeria,2015,,,,0.0,0.0,1.73,56.0,0.0,0.0,,,,0.0,0.0
Algeria,2016,,,,0.0,0.0,5.69,85.0,0.0,0.0,,,,0.0,0.0
Algeria,2017,,,,0.0,0.0,6.87,90.0,0.0,0.0,,,,0.0,0.0
Algeria,2018,,,,0.0,0.0,5.23,72.0,0.0,0.0,,,,0.0,0.0
Algeria,2019,,,,0.0,0.0,5.34,98.0,0.0,0.0,,,,0.0,0.0
Algeria,2020,,,,0.0,0.0,2.91,69.0,0.0,0.0,,,,0.0,0.0
Algeria,2021,,,,0.0,0.0,3.14,51.0,0.0,0.0,,,,0.0,0.0
Andorra,1980,,,,,,,,,,,,,,
Andorra,1981,,,,,,,,,,,,,,
Andorra,1982,,,,,,,,,,,,,,
Andorra,1983,,,,,,,,,,,,,,
Andorra,1984,,,,,,,,,,,,,,
Andorra,1985,,,,,,,,,,,,,,
Andorra,1986,,,,,,,,,,,,,,
Andorra,1987,,,,,,,,,,,,,,
Andorra,1988,,,,,,,,,,,,,,
Andorra,1989,,,,,,,,,,,,,,
Andorra,1990,,,,,,,,,,,,,,
Andorra,1991,,,,,,,,,,,,,,
Andorra,1992,,,,,,,,,,,,,,
Andorra,1993,,,,,,,,,,,,,,
Andorra,1994,,,,,,,,,,,,,,
Andorra,1995,,,,,,,,,,,,,,
Andorra,1996,,,,,,,,,,,,,,
Andorra,1997,,,,,,,,,,,,,,
Andorra,1998,,,,,,,,,,,,,,
Andorra,1999,,,,,,,,0.0,,,,,,0.0
Andorra,2000,,,,,,,,0.0,,,,,,0.0
Andorra,2001,,,,,,,,0.0,,,,,,0.0
Andorra,2002,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
Andorra,2003,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
Andorra,2004,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
Andorra,2005,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
Andorra,2006,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
Andorra,2007,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
Andorra,2008,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
Andorra,2009,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2010,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2011,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2012,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2013,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2014,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2015,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2016,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2017,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2018,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2019,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2020,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Andorra,2021,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Angola,1980,,,,,,,,32.0,,,,,,3.836
Angola,1981,,,,,,,,12.0,,,,,,1.389
Angola,1982,,,,,,,,6.0,,,,,,0.67
Angola,1983,,,,,,,,0.0,,,,,,0.0
Angola,1984,,,,,,,,3.0,,,,,,0.312
Angola,1985,,,,,,,,14.0,,,,,,1.405
Angola,1986,,,,,,,,37.0,,,,,,3.585
Angola,1987,,,,,,,,15.0,,,,,,1.403
Angola,1988,,,,,,,,0.0,,,,,,0.0
Angola,1989,,,,,,,,0.0,,,,,,0.0
Angola,1990,,,,,,,,,,,,,,
Angola,1991,,,,,,,,0.0,,,,,,0.0
Angola,1992,,,,,,,,0.0,,,,,,0.0
Angola,1993,,,,,,,,149.0,,,,,,11.396
Angola,1994,,,,,,,,54.0,,,,,,3.999
Angola,1995,,,,,,,,152.0,,,,,,10.9
Angola,1996,,,,,,,,81.0,,,,,,5.625
Angola,1997,,,,,,,,15.0,,,,,,1.009
Angola,1998,,,,,,,,7.0,,,,,,0.456
Angola,1999,,,,,,,,1103.0,,,,,,69.516
Angola,2000,,,,,,,,115.0,,,,,,7.014
Angola,2001,,,,0.0,1.0,2.4,66.0,1.0,0.059,,,,0.0,0.059
Angola,2002,,,,0.0,0.0,3.0,85.0,0.0,0.0,,,,0.0,0.0
Angola,2003,,,,0.0,0.0,1.7,89.0,0.0,0.0,,,,0.0,0.0
Angola,2004,,,,0.0,0.0,1.9,89.0,0.0,0.0,,,,0.0,0.0
Angola,2005,,,,0.0,10.0,2.0,92.0,10.0,0.515,,,,0.0,0.515
Angola,2006,,,,0.0,2.0,2.4,94.0,2.0,0.099,,,,0.0,0.099
Angola,2007,,,,0.0,8.0,3.0,91.0,8.0,0.383,,,,0.0,0.383
Angola,2008,,,,0.0,29.0,3.56,94.0,29.0,1.337,,,,0.0,1.337
Angola,2009,,,,0.0,29.0,3.21,92.0,29.0,1.288,,,,0.0,1.288
Angola,2010,,,,0.0,33.0,3.93,87.0,33.0,1.413,,,,0.0,1.413
Angola,2011,,,,0.0,5.0,2.78,91.0,5.0,0.206,,,,0.0,0.206
Angola,2012,,,,0.0,0.0,3.5,90.0,0.0,0.0,,,,0.0,0.0
Angola,2013,,,,0.0,0.0,3.26,90.0,0.0,0.0,,,,0.0,0.0
Angola,2014,,,,0.0,0.0,3.34,94.0,0.0,0.0,,,,0.0,0.0
Angola,2015,,,,0.0,0.0,4.21,96.0,0.0,0.0,,,,0.0,0.0
Angola,2016,0.0,0.0,0.0,0.0,0.0,4.03,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,2017,0.0,0.0,0.0,0.0,0.0,4.25,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,2018,0.0,0.0,0.0,0.0,0.0,3.41,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,2019,0.0,138.0,0.0,138.0,0.0,4.39,84.0,138.0,0.0,0.0,4.336,0.0,4.336,4.336
Angola,2020,0.0,3.0,0.0,3.0,0.0,3.74,75.0,3.0,0.0,0.0,0.091,0.0,0.091,0.091
Angola,2021,0.0,0.0,0.0,0.0,0.0,5.6,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1980,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1981,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1982,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1983,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1984,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1985,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1986,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1987,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1988,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1989,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1990,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1991,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1992,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1993,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1994,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1995,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1996,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1997,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1998,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,1999,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2000,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2001,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2002,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2003,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2004,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2005,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2006,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2007,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2008,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2009,,,,,,,,,,,,,,
Antigua and Barbuda,2010,,,,,,,,0.0,,,,,,0.0
Antigua and Barbuda,2011,,,,,,,,,,,,,,
Antigua and Barbuda,2012,,,,,,,,,,,,,,
Antigua and Barbuda,2013,,,,,,,,,,,,,,
Antigua and Barbuda,2014,,,,,,,,,,,,,,
Antigua and Barbuda,2015,,,,,,,,,,,,,,
Antigua and Barbuda,2016,,,,0.0,,,,,,,,,0.0,
Antigua and Barbuda,2017,,,,0.0,,,,,,,,,0.0,
Antigua and Barbuda,2018,,,,0.0,,,,,,,,,0.0,
Antigua and Barbuda,2019,,,,0.0,,,,,,,,,0.0,
Antigua and Barbuda,2020,,,,0.0,,,,,,,,,0.0,
Antigua and Barbuda,2021,,,,0.0,,,,,,,,,0.0,
Argentina,1980,,,,,,,,32.0,,,,,,1.147
Argentina,1981,,,,,,,,2.0,,,,,,0.071
Argentina,1982,,,,,,,,12.0,,,,,,0.417
Argentina,1983,,,,,,,,26.0,,,,,,0.889
Argentina,1984,,,,,,,,1.0,,,,,,0.034
Argentina,1985,,,,,,,,2.0,,,,,,0.066
Argentina,1986,,,,,,,,0.0,,,,,,0.0
Argentina,1987,,,,,,,,0.0,,,,,,0.0
Argentina,1988,,,,,,,,0.0,,,,,,0.0
Argentina,1989,,,,,,,,0.0,,,,,,0.0
Argentina,1990,,,,,,,,0.0,,,,,,0.0
Argentina,1991,,,,,,,,0.0,,,,,,0.0
Argentina,1992,,,,,,,,0.0,,,,,,0.0
Argentina,1993,,,,,,,,0.0,,,,,,0.0
Argentina,1994,,,,,,,,0.0,,,,,,0.0
Argentina,1995,,,,,,,,0.0,,,,,,0.0
Argentina,1996,,,,,,,,0.0,,,,,,0.0
Argentina,1997,,,,,,,,0.0,,,,,,0.0
Argentina,1998,,,,,,,,0.0,,,,,,0.0
Argentina,1999,,,,,,,,0.0,,,,,,0.0
Argentina,2000,,,,,,,,0.0,,,,,,0.0
Argentina,2001,,,,0.0,0.0,0.95,74.0,0.0,0.0,,,,0.0,0.0
Argentina,2002,,,,0.0,0.0,1.2,71.0,0.0,0.0,,,,0.0,0.0
Argentina,2003,,,,0.0,0.0,1.09,64.0,0.0,0.0,,,,0.0,0.0
Argentina,2004,,,,0.0,0.0,1.27,72.0,0.0,0.0,,,,0.0,0.0
Argentina,2005,,,,0.0,0.0,1.35,65.0,0.0,0.0,,,,0.0,0.0
Argentina,2006,,,,0.0,0.0,1.4,80.0,0.0,0.0,,,,0.0,0.0
Argentina,2007,,,,0.0,0.0,1.3,83.0,0.0,0.0,,,,0.0,0.0
Argentina,2008,,,,0.0,0.0,1.45,76.0,0.0,0.0,,,,0.0,0.0
Argentina,2009,,,,0.0,0.0,1.34,82.0,0.0,0.0,,,,0.0,0.0
Argentina,2010,,,,0.0,0.0,1.42,75.0,0.0,0.0,,,,0.0,0.0
Argentina,2011,,,,0.0,0.0,1.69,85.0,0.0,0.0,,,,0.0,0.0
Argentina,2012,,,,0.0,0.0,1.78,80.0,0.0,0.0,,,,0.0,0.0
Argentina,2013,,,,0.0,0.0,1.79,70.0,0.0,0.0,,,,0.0,0.0
Argentina,2014,,,,0.0,0.0,2.05,84.0,0.0,0.0,,,,0.0,0.0
Argentina,2015,,,,0.0,0.0,2.09,84.0,0.0,0.0,,,,0.0,0.0
Argentina,2016,,,,0.0,0.0,2.04,73.0,0.0,0.0,,,,0.0,0.0
Argentina,2017,,,,0.0,0.0,2.01,81.0,0.0,0.0,,,,0.0,0.0
Argentina,2018,,,,0.0,0.0,1.96,81.0,0.0,0.0,,,,0.0,0.0
Argentina,2019,,,,0.0,0.0,1.78,76.0,0.0,0.0,,,,0.0,0.0
Argentina,2020,,,,0.0,0.0,0.83,76.0,0.0,0.0,,,,0.0,0.0
Argentina,2021,,,,0.0,0.0,0.03,33.0,0.0,0.0,,,,0.0,0.0
Armenia,1980,,,,,,,,,,,,,,
Armenia,1981,,,,,,,,,,,,,,
Armenia,1982,,,,,,,,,,,,,,
Armenia,1983,,,,,,,,,,,,,,
Armenia,1984,,,,,,,,,,,,,,
Armenia,1985,,,,,,,,,,,,,,
Armenia,1986,,,,,,,,,,,,,,
Armenia,1987,,,,,,,,,,,,,,
Armenia,1988,,,,,,,,,,,,,,
Armenia,1989,,,,,,,,,,,,,,
Armenia,1990,,,,,,,,,,,,,,
Armenia,1991,,,,,,,,3.0,,,,,,0.856
Armenia,1992,,,,,,,,1.0,,,,,,0.29
Armenia,1993,,,,,,,,0.0,,,,,,0.0
Armenia,1994,,,,,,,,5.0,,,,,,1.523
Armenia,1995,,,,,,,,3.0,,,,,,0.932
Armenia,1996,,,,,,,,0.0,,,,,,0.0
Armenia,1997,,,,,,,,0.0,,,,,,0.0
Armenia,1998,,,,,,,,0.0,,,,,,0.0
Armenia,1999,,,,,,,,0.0,,,,,,0.0
Armenia,2000,,,,,,,,0.0,,,,,,0.0
Armenia,2001,,,,0.0,0.0,2.16,90.0,0.0,0.0,,,,0.0,0.0
Armenia,2002,,,,0.0,0.0,1.83,88.0,0.0,0.0,,,,0.0,0.0
Armenia,2003,,,,0.0,0.0,1.69,92.0,0.0,0.0,,,,0.0,0.0
Armenia,2004,,,,0.0,0.0,1.51,91.0,0.0,0.0,,,,0.0,0.0
Armenia,2005,,,,0.0,0.0,1.1,100.0,0.0,0.0,,,,0.0,0.0
Armenia,2006,,,,0.0,0.0,0.33,50.0,0.0,0.0,,,,0.0,0.0
Armenia,2007,,,,0.0,0.0,2.67,69.0,0.0,0.0,,,,0.0,0.0
Armenia,2008,,,,0.0,0.0,3.33,85.0,0.0,0.0,,,,0.0,0.0
Armenia,2009,,,,0.0,0.0,1.5,89.0,0.0,0.0,,,,0.0,0.0
Armenia,2010,,,,0.0,0.0,2.25,58.0,0.0,0.0,,,,0.0,0.0
Armenia,2011,,,,0.0,0.0,3.99,90.0,0.0,0.0,,,,0.0,0.0
Armenia,2012,,,,0.0,0.0,5.56,97.0,0.0,0.0,,,,0.0,0.0
Armenia,2013,,,,0.0,0.0,4.23,100.0,0.0,0.0,,,,0.0,0.0
Armenia,2014,,,,0.0,0.0,4.61,100.0,0.0,0.0,,,,0.0,0.0
Armenia,2015,,,,0.0,0.0,3.2,100.0,0.0,0.0,,,,0.0,0.0
Armenia,2016,,,,0.0,0.0,3.83,90.0,0.0,0.0,,,,0.0,0.0
Armenia,2017,,,,0.0,0.0,2.3,92.0,0.0,0.0,,,,0.0,0.0
Armenia,2018,,,,0.0,0.0,3.07,100.0,0.0,0.0,,,,0.0,0.0
Armenia,2019,,,,0.0,0.0,3.07,100.0,0.0,0.0,,,,0.0,0.0
Armenia,2020,,,,0.0,0.0,1.69,100.0,0.0,0.0,,,,0.0,0.0
Armenia,2021,,,,0.0,0.0,1.34,100.0,0.0,0.0,,,,0.0,0.0
Australia,1980,,,,,,,,0.0,,,,,,0.0
Australia,1981,,,,,,,,0.0,,,,,,0.0
Australia,1982,,,,,,,,0.0,,,,,,0.0
Australia,1983,,,,,,,,0.0,,,,,,0.0
Australia,1984,,,,,,,,0.0,,,,,,0.0
Australia,1985,,,,,,,,0.0,,,,,,0.0
Australia,1986,,,,,,,,1.0,,,,,,0.063
Australia,1987,,,,,,,,0.0,,,,,,0.0
Australia,1988,,,,,,,,0.0,,,,,,0.0
Australia,1989,,,,,,,,0.0,,,,,,0.0
Australia,1990,,,,,,,,0.0,,,,,,0.0
Australia,1991,,,,,,,,0.0,,,,,,0.0
Australia,1992,,,,,,,,0.0,,,,,,0.0
Australia,1993,,,,,,,,0.0,,,,,,0.0
Australia,1994,,,,,,,,0.0,,,,,,0.0
Australia,1995,,,,,,,,0.0,,,,,,0.0
Australia,1996,,,,,,,,0.0,,,,,,0.0
Australia,1997,,,,,,,,0.0,,,,,,0.0
Australia,1998,,,,,,,,0.0,,,,,,0.0
Australia,1999,,,,,,,,0.0,,,,,,0.0
Australia,2000,,,,,,,,0.0,,,,,,0.0
Australia,2001,,,,0.0,0.0,1.0,33.0,0.0,0.0,,,,0.0,0.0
Australia,2002,,,,0.0,0.0,0.75,23.0,0.0,0.0,,,,0.0,0.0
Australia,2003,,,,0.0,0.0,0.68,33.0,0.0,0.0,,,,0.0,0.0
Australia,2004,,,,0.0,0.0,1.1,38.0,0.0,0.0,,,,0.0,0.0
Australia,2005,,,,0.0,0.0,0.76,19.0,0.0,0.0,,,,0.0,0.0
Australia,2006,,,,0.0,0.0,1.08,23.0,0.0,0.0,,,,0.0,0.0
Australia,2007,,,,0.0,0.0,0.68,48.0,0.0,0.0,,,,0.0,0.0
